No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối tiêu đề màn","画面ヘッダー","Screen header block","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: dải đầu trang định vị người đọc — màn nào; thoả tính năng nào; ai là actor
Thành phần hiển thị: một tiêu đề màn; một dòng meta truy vết yêu cầu; và một thẻ trạng thái thi công
Chức năng và logic: chỉ hiển thị — không có tương tác và không có trường nhập",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","page_title",,,,,,,,,"Mục đích và ngữ cảnh: tên màn đặt ngay đầu trang
Thành phần hiển thị: một dòng chữ đậm gồm mã màn SC-04 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース情報","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: chuỗi truy vết của màn theo Feature List — màn này và SC-03 cùng thoả một FE-003 nhưng chia nhau hai nửa của FR-IAM-02
Thành phần hiển thị: mã FE-003; nhóm FN-01; ưu tiên P0; yêu cầu khách FR-IAM-02; loại màn Detail; và actor là quản trị hệ thống
Chức năng và logic: văn bản tĩnh — các mã không phải liên kết điều hướng",,,,,,
"1.3","img-004","Thẻ trạng thái thi công",,"Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn này chưa có bản thi công để đối chiếu
Thành phần hiển thị: một thẻ chữ nhỏ viền bo với chữ ""Chưa thi công""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"2","img-005","Khối chú dẫn ràng buộc hiển thị before/after","before/after表示要件の注記","Before/after display constraint note","label","scope_note",,,,,,,,,"Mục đích và ngữ cảnh: chốt ràng buộc cứng của màn — before/after là yêu cầu HIỂN THỊ nên khối lịch sử không được cắt
Thành phần hiển thị: một khối chú dẫn nền vàng gồm nguyên văn nghiệm thu FR-IAM-02 (RFP:628); nhắc lại ràng buộc từ Screen List; và câu nói rõ đây là màn bảo mật nên chỉ vẽ khung và nhãn
Chức năng và logic: khối 2 là phần không được cắt của màn này; cắt nó đi là màn không thoả nghiệm thu dù dữ liệu có được lưu đầy đủ",,,,,,"- Ràng buộc ""bắt buộc hiển thị before/after"" có áp cho cả người kiểm ngoài quản trị hệ thống không? Nếu bộ phận kiểm toán nội bộ phải xem được thì diện đọc màn này rộng hơn diện ghi."
"3","img-006","Khối thông tin tài khoản và thay đổi quyền","アカウント情報と権限変更ブロック","Account info and permission change block","others","form_section",,,,,,,,,"Mục đích và ngữ cảnh: xem một tài khoản nội bộ ở mức chi tiết; và thực hiện thay đổi quyền cho tài khoản đó
Thành phần hiển thị: một nhãn khối; năm trường bên trái gồm cả ô lý do; ba trường chỉ đọc và ba nút bên phải
Chức năng và logic: mỗi lần thay đổi quyền sinh một dòng lịch sử ở khối 2; đọc giá trị cũ trước khi ghi để dòng lịch sử có đủ cặp trước và sau",,,"app_user",,"Thực thể tài khoản người dùng nội bộ của miền D-PARTY (RFP:602); bảng đã tồn tại thật và phủ được sáu trong tám trường của khối.",
"3.1","img-007","Tiêu đề khối thông tin tài khoản",,"Account info block title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: nhãn khối kèm hai việc khối này làm
Thành phần hiển thị: một dòng chữ in hoa nhỏ gồm số thứ tự khối và tên khối
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"3.2","img-008","Trường Định danh người dùng nội bộ (chỉ đọc)","内部利用者ID","Internal user identifier (read-only)","label","readonly_field",,,,,,,,,"Mục đích và ngữ cảnh: cho quản trị biết đang xem tài khoản nào — khoá nhận dạng của cả màn
Thành phần hiển thị: nhãn; một vùng chỉ đọc mang định danh; và một dòng chú thích giải thích vì sao không cho đổi ở đây
Chức năng và logic: chỉ đọc có chủ đích: đổi định danh là đổi danh tính chứ không phải đổi quyền; để ở đây thì lịch sử quyền lẫn với lịch sử đổi danh tính",,,"app_user","email","Cột định danh của thực thể tài khoản nội bộ trong D-PARTY (RFP:602); đã tồn tại thật với ràng buộc duy nhất. Là thông tin cá nhân theo RFP §09-06 (RFP:883).","- Có luồng đổi định danh nội bộ không; và nếu có thì màn nào? Thiết kế đóng cửa ở đây nhưng không chỉ ra cửa khác.
- Định danh hiện đầy đủ trên màn chi tiết — có che một phần không? Đây là thông tin cá nhân theo RFP §09-06 (RFP:883)."
"3.3","img-009","Trường Tên hiển thị","表示名","Display name input","text_form","text_input",,"string","false",,,,"Nhân viên B","Điều kiện: không bắt buộc — nhãn không có dấu sao.
Điều kiện: bỏ khoảng trắng đầu và cuối trước khi ghi.
Điều kiện: sửa tên hiển thị KHÔNG sinh dòng lịch sử quyền — chỉ vào vết thao tác chung theo FR-AUDIT-01 (RFP:710).
Điều kiện: độ dài tối đa là giả định cần chốt — RFP không khai.","Mục đích và ngữ cảnh: tên người đọc được của tài khoản; dùng ở cột chủ thể của mọi bảng lịch sử trong hệ thống
Thành phần hiển thị: nhãn không dấu sao; một ô nhập chữ mang giá trị hiện tại; và một dòng chú thích tách rõ đây không phải thay đổi quyền
Chức năng và logic: sửa trường này đi vào vết thao tác chung chứ không vào lịch sử quyền — gộp hai loại vết làm bảng lịch sử quyền loãng và mất ý nghĩa kiểm toán",,,"app_user","display_name","Cột tên hiển thị của thực thể tài khoản nội bộ trong D-PARTY (RFP:602); đã tồn tại thật và cho phép rỗng.","- Độ dài tối đa của tên hiển thị là bao nhiêu? RFP không khai nên cột định dạng để trống; nhưng không chặn thì cột chủ thể của các bảng lịch sử bị kéo dài vô hạn.
- Tên hiển thị có bắt buộc duy nhất không? Nếu không thì hai người cùng tên làm cột chủ thể của lịch sử quyền khó đọc."
"3.4","img-010","Trường Vai trò","ロール","Role selector","dropdown","select_single",,"string","true","một trong 7 vai trò nội bộ",,,"ROLE-INTAKE","Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: tập giá trị đúng 7 vai trò nội bộ của TBL-ROLE-01 (RFP:245); ràng buộc dữ liệu là chốt cuối và tầng ứng dụng không tự nới.
Điều kiện: đổi vai trò là THAY ĐỔI QUYỀN nên bắt buộc sinh một dòng lịch sử mang cặp trước và sau — FR-IAM-02 (RFP:628).
Điều kiện: KHÔNG cho tự đổi vai trò của chính mình ra khỏi ROLE-SYS-ADMIN.
Lỗi: ""Vai trò không hợp lệ."" — không ghi thay đổi.
Lỗi: ""Không thể tự đổi vai trò của chính bạn ra khỏi vai quản trị hệ thống."" — không ghi thay đổi.","Mục đích và ngữ cảnh: đổi vai trò của tài khoản — chuyển tiếp quyền thứ tư; ba chuyển tiếp còn lại là cấp; tạm ngừng; mở lại
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một select bảy giá trị đang chọn vai trò hiện tại; và một dòng chú thích nêu rõ đây là thay đổi quyền
Chức năng và logic: đổi vai trò sang một vai thuộc diện bắt buộc MFA làm phiên đang dùng của người đó không còn đủ mức — lần điều hướng kế tiếp của họ quay về SC-02 (NFR-SEC-01; RFP:809)","on_click",,"app_user","role","Cột vai trò của thực thể tài khoản nội bộ trong D-PARTY (RFP:602); đã tồn tại thật với ràng buộc đúng 7 giá trị. Kèm một dòng ở bảng lịch sử quyền — bảng đó CHƯA tồn tại.","- Một tài khoản có được giữ nhiều hơn một vai trò không? Select đơn ở đây vẽ quan hệ một-một; đa vai làm cặp trước/sau của lịch sử quyền phức tạp hơn nhiều.
- Đổi vai trò có cần bước xác nhận hai lớp không? Thiết kế chỉ chặn ca tự hạ quyền của chính mình.
- Đổi vai trò xong; dữ liệu nghiệp vụ tài khoản đó đã tạo ở vai cũ xử lý ra sao? Thiết kế không đòi gì; nhưng người kiểm cần biết vai nào đang giữ tại thời điểm thao tác."
