No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Đầu trang màn danh sách người tham gia","参加者一覧ヘッダー","Participant list page header","others","page_header",,,,,,,,,"Mục đích và ngữ cảnh: khối đầu trang neo màn vào chuỗi truy vết FE-005 → FN-02 → FR-PARTY-01 để người đọc biết màn phải thoả yêu cầu nào
Thành phần hiển thị: tiêu đề màn; dòng meta yêu cầu; nhãn trạng thái thi công
Chức năng và logic: tĩnh — không có thao tác; chỉ định danh màn và phạm vi yêu cầu",,,,,,"- Đầu trang có cần hiện tổng số người tham gia đang có hiệu lực hôm nay không? Thiết kế không khai con số tổng nào ở đây."
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-05 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai chuỗi truy vết để không ai đọc màn này như một danh sách chung chung
Thành phần hiển thị: mã FE-005; nhóm FN-02; ưu tiên P0; yêu cầu FR-PARTY-01; loại màn List; actor đọc và actor ghi
Chức năng và logic: văn bản tĩnh — actor ghi tách khỏi actor đọc vì hai trục quyền khác nhau",,,,,,"- Dòng meta này là chú thích của wireframe hay nội dung sẽ có trên màn thật? Thiết kế không khai."
"1.3","img-004","Nhãn trạng thái thi công","実装状況タグ","Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn đã có bản thi công để đối chiếu; không phải một trạng thái nghiệp vụ
Thành phần hiển thị: một nhãn chữ ngắn
Chức năng và logic: tĩnh — không đổi theo dữ liệu",,,,,,
"2","img-005","Khối bốn phân loại là bốn ranh giới","四区分の境界ブロック","Four-category boundary block","others","reference_block",,,,,,,,,"Mục đích và ngữ cảnh: đặt ngay đầu màn quy tắc gốc của FN-02 — bốn phân loại là bốn ranh giới pháp lý; RFP §02-08 cấm gộp 許可 và 承認 thành một quy tắc chung
Thành phần hiển thị: tiêu đề khối; bảng bốn dòng phân loại theo FIG-004; ghi chú về dòng còn thiếu của 買出人
Chức năng và logic: khối tham chiếu chỉ đọc — nó là căn cứ cho việc bộ lọc và bảng danh sách không được có giá trị gộp",,,,,,
"2.1","img-006","Bảng căn cứ tham gia theo FIG-004","参加根拠マトリクス","Participation basis matrix","table","reference_matrix",,,,,,,,,"Mục đích và ngữ cảnh: chép nguyên bảng FIG-004 để người dùng thấy ba trục khác nhau của một phân loại; đây là căn cứ để cột Căn cứ tham gia trong bảng danh sách không nhập tự do
Thành phần hiển thị: bốn cột — Phân loại; Điều kiện tham gia; Thực hiện giao dịch; Gỡ tạm ngừng — và bốn dòng phân loại
Chức năng và logic: chỉ đọc; ba ô của dòng 買出人 mang nhãn chưa chốt vì FIG-004 không có dòng cho phân loại đó",,,"participant","category; license_type","Cột Phân loại ứng với thực thể người tham gia; cột Điều kiện tham gia ứng với căn cứ tham gia. Prototype có `participant.category` với CHECK bốn giá trị và `participant.license_type` nhưng không có CHECK — cặp chỉ được kiểm ở tầng ứng dụng.","- Ba ô chưa chốt của 買出人 hiện là nhãn tĩnh; khi khách chốt xong thì màn cập nhật bằng cấu hình hay bằng bản phát hành mới? Thiết kế không khai."
"2.1.1","img-007","Hàng phân loại (đại diện cho bốn hàng)","区分行","Category row","label","table_row",,,,,,,,,"Mục đích và ngữ cảnh: một phân loại và ba trục của nó; bốn hàng lặp cùng cấu trúc nên gộp thành một hàng đại diện
Thành phần hiển thị: tên phân loại tiếng Nhật; căn cứ tham gia; thủ tục thực hiện giao dịch; thủ tục gỡ tạm ngừng
Chức năng và logic: chỉ đọc; thủ tục gỡ tạm ngừng khác nhau theo phân loại — đó là điều kiện tiền đề trên một cạnh trạng thái duy nhất chứ không phải nhiều cạnh",,,"participant","category","Bốn phân loại 卸売業者/仲卸/売買参加者/買出人 khớp CHECK của `participant.category` trong prototype.",
"2.1.2","img-008","Nhãn chưa chốt của dòng 買出人 (đại diện cho ba ô)","未確定タグ","Undecided tag","label","open_question_tag",,,,,,,,,"Mục đích và ngữ cảnh: đánh dấu chỗ tài liệu khách không có dữ liệu; thay vì lấp bằng suy luận; ba ô của dòng 買出人 dùng cùng một nhãn nên gộp một đại diện
Thành phần hiển thị: một nhãn chữ ngắn trong ô bảng
Chức năng và logic: chỉ đọc; ô mang nhãn này không được dùng làm giá trị mặc định ở bất kỳ chỗ nào khác của màn",,,,,,"- 買出人 dùng thủ tục nào cho ba trục của FIG-004? Câu này phải khách trả lời trước khi màn hiện giá trị thật thay cho nhãn chưa chốt."
"2.2","img-009","Ghi chú FIG-004 không có dòng cho 買出人","FIG-004 欠落行の注記","Note on the missing FIG-004 row","label","design_note",,,,,,,,,"Mục đích và ngữ cảnh: nói thẳng chỗ tài liệu khách thiếu để không ai suy ra căn cứ của 買出人 từ dòng gần giống
Thành phần hiển thị: một đoạn ghi chú dưới bảng tham chiếu
Chức năng và logic: tĩnh; kèm hệ quả cho màn — bộ lọc không có lựa chọn gộp kiểu tất cả các loại đối tác vì bốn phân loại luôn đứng riêng",,,,,,
"3","img-010","Khối bộ lọc","絞り込みブロック","Filter block","others","filter_bar",,,,,,,,,"Mục đích và ngữ cảnh: thu hẹp danh sách theo phân loại; trạng thái hiệu lực; và tên — ba trục tra cứu của nhân viên vận hành
Thành phần hiển thị: ba trường lọc nằm ngang; mỗi trường có nhãn song ngữ và một dòng gợi ý hành vi
Chức năng và logic: đổi bộ lọc thì nạp lại danh sách; ba trục kết hợp bằng phép và; không có giá trị gộp cho phân loại",,,,,,
