No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối tiêu đề màn hình",,"Screen header block","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: dải đầu trang định vị người dùng — cho biết đang ở màn nào; màn thoả tính năng nào và vai nào được ghi
Thành phần hiển thị: tiêu đề màn; một dòng meta liệt kê mã FE / FN / ưu tiên / yêu cầu khách / actor; và hai thẻ ghi chú
Chức năng và logic: chỉ hiển thị — không có tương tác nào trong khối này",,,,,,
"1.1","img-002","Tiêu đề màn hình",,"Screen title","label","page_title",,,,,,,,,"Mục đích và ngữ cảnh: tên màn đặt ngay đầu trang
Thành phần hiển thị: một dòng chữ đậm gồm mã màn SC-11 và tên màn tiếng Việt kèm 相対取引
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu",,"Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: chuỗi truy vết của màn theo Feature List — người đọc spec biết màn này phải thoả điều gì
Thành phần hiển thị: ba mã FE (FE-014 · FE-015 · FE-007); nhóm FN-04 và FN-02; ưu tiên P0; danh sách mã yêu cầu khách; và actor kèm vai ROLE-TRADE
Chức năng và logic: văn bản tĩnh — các phần tách nhau bằng dấu chấm giữa",,,,,,"- Dòng meta này là chú thích của wireframe hay là nội dung sẽ có trên màn thật? Thiết kế không khai.
- Nếu giữ trên màn thật thì các mã yêu cầu có cần dẫn được sang tài liệu tương ứng không?"
"1.3","img-004","Thẻ trạng thái thi công",,"Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn này đã có bản thi công để đối chiếu
Thành phần hiển thị: một thẻ chữ nhỏ viền bo với chữ ""Đã dựng""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"1.4","img-005","Thẻ ghi chú trọng số nghiệp vụ",,"Business weight note tag","label","scope_tag",,,,,,,,,"Mục đích và ngữ cảnh: nhắc trọng số nghiệp vụ của luồng — FN-04 là luồng chính của chợ nên màn này nằm trên đường nóng nhất
Thành phần hiển thị: một thẻ chữ nhỏ với chữ ""FN-04 gánh ~90% giá trị giao dịch của chợ""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"2","img-006","Khối form nhập giao dịch",,"Transaction input form section","others","form_section",,,,,,,,,"Mục đích và ngữ cảnh: toàn bộ phần nhập tay của màn — bốn trường mà FR-AITAI-01 đòi cho một giao dịch 相対取引
Thành phần hiển thị: tiêu đề khối; bốn trường xếp hai cột mỗi trường kèm một dòng chú thích quy tắc; và hai nút gửi kèm một thẻ ghi chú
Chức năng và logic: người vận hành nhập bốn trường rồi gửi — thiết kế đặt hai cửa kiểm của FE-015 ở bước chốt chứ không ở bước nhập; NFR-USE-01 đòi luồng chốt giao dịch dùng được bằng bàn phím",,,"transaction",,"Bốn trường của khối ghi vào thực thể giao dịch của miền D-TRADE (RFP:604). Ba trường do hệ thống gán nằm ở khối kế tiếp.",
"2.1","img-007","Tiêu đề khối form nhập",,"Input form section title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: nói rõ khối này chứa đúng các trường mà yêu cầu khách đòi — không thêm trường ngoài phạm vi
Thành phần hiển thị: một dòng tiêu đề ""Form nhập — các trường FR-AITAI-01 đòi""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"2.2","img-008","Trường Lô hàng","ロット","Lot selector","dropdown","select_single",,"string","true","LOT-<NNNN> — <tên mặt hàng>",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: option chỉ gồm lô đang ở chặng bán được của FIG-011 (RFP:616) và còn số lượng khả dụng.
Điều kiện: ràng buộc số lượng khả dụng của BR-LOT-02 (RFP:596) đánh giá ở bước chốt — không ở bước nhập.
Lỗi: ""Không có lô hàng nào đang ở chặng bán được."" — khi danh sách rỗng thì khối form nhường chỗ cho trạng thái rỗng.","Mục đích và ngữ cảnh: chọn lô hàng đang bán — lô là gốc truy vết của cả giao dịch theo FR-LOT-01 (RFP:632)
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một select hiện mã lô và tên mặt hàng; và một dòng chú thích quy tắc chọn lô
Chức năng và logic: danh sách chỉ nhận lô ở chặng bán được của FIG-011 còn số lượng khả dụng; mã lô luôn hiện dạng người đọc được chứ không phải khoá nội bộ","on_click",,"transaction","lot_id","Khoá ngoại tới thực thể lô hàng của miền D-LOT (RFP:603). Thiết kế đòi số lượng khả dụng của lô là tồn dùng chung cho cả hai kênh bán.","- Option có cần hiện số lượng khả dụng còn lại để người nhập tự cân số lượng trước khi chốt không? Thiết kế chỉ đòi lô ở chặng bán được.
- Khi lô đang chọn bị bán hết bởi người khác trong lúc form còn mở thì màn tự làm mới danh sách hay chỉ báo lỗi ở bước chốt?
- Danh sách lô dài thì select có ô tìm theo mã lô không? Ảnh chỉ cho thấy một select thường."
"2.3","img-009","Trường Người mua","買出人","Buyer selector","dropdown","select_single",,"string","true","<tên người tham gia>",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: option chỉ gồm người tham gia đúng phân loại 買出人 của FR-PARTY-01 (RFP:629) — không gộp với ba phân loại còn lại.
Điều kiện: danh sách KHÔNG lọc theo hiệu lực — BR-PERM-01 (RFP:595) đòi kiểm 許可/承認 tại thời điểm giao dịch nên cửa hiệu lực đặt ở bước chốt.
Lỗi: ""Người tham gia A đã mất hiệu lực từ <ngày>; không thể chốt giao dịch."" — phát sinh ở bước chốt theo FR-PARTY-02 (RFP:630).","Mục đích và ngữ cảnh: chọn 買出人 của giao dịch — một trong bốn trường FR-AITAI-01 (RFP:650) đòi
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một select hiện tên người tham gia; và một dòng chú thích nói rõ vì sao danh sách không lọc hiệu lực
Chức năng và logic: chỉ nhận đúng phân loại 買出人; hiệu lực 許可/承認 được kiểm ở bước chốt chứ không ở bước nhập nên một người còn hiệu lực lúc nhập vẫn có thể bị từ chối lúc chốt","on_click",,"transaction","buyer_participant_id","Khoá ngoại tới thực thể người tham gia của miền D-PARTY (RFP:602). Bốn phân loại người tham gia là ràng buộc dữ liệu của FR-PARTY-01 và không được gộp.","- Người tham gia đã mất hiệu lực vẫn nằm trong danh sách theo thiết kế — có cần đánh dấu trên option để người nhập biết trước rằng bước chốt sẽ bị từ chối không?
- Danh sách người tham gia dài thì select có tìm theo tên hoặc mã không? Thiết kế không khai.
- Option có cần hiện phân loại người tham gia để người nhập tự kiểm là đúng 買出人 không?"
"2.4","img-010","Trường Số lượng","数量","Quantity input","text_form","number_input",,"number","true","<số> với dấu phẩy thập phân — ảnh cho thấy 2 chữ số lẻ",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: cùng đơn vị đo với số lượng ban đầu của lô theo FR-LOT-01 (RFP:632).
Điều kiện: không được làm số lượng khả dụng của lô bị âm — BR-LOT-02 (RFP:596); FR-LOT-03 (RFP:634) đòi kiểm trước khi cho phép giao dịch.
Lỗi: ""LOT-0001 chỉ còn 80;00 khả dụng; giao dịch cần 120;00."" — từ chối chốt và không trừ số lượng theo FR-AITAI-02 (RFP:651).","Mục đích và ngữ cảnh: số lượng đã thống nhất tại quầy — một trong bốn trường FR-AITAI-01 đòi
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một ô nhập số; và một dòng chú thích nói rõ đơn vị đo và ràng buộc không âm
Chức năng và logic: giá trị dùng để trừ số lượng khả dụng của lô ở bước chốt; cửa số lượng đánh giá tại bước chốt nên bước nhập không so với số khả dụng",,,"transaction","qty","Số lượng của giao dịch trong miền D-TRADE. Trừ vào số lượng khả dụng của thực thể lô hàng (D-LOT) khi chốt — BR-LOT-02 đòi truy vết được tới lịch sử điều chỉnh.","- Đơn vị đo có hiện cạnh ô nhập không? Thiết kế chỉ nói cùng đơn vị với số lượng ban đầu của lô.
- Số chữ số thập phân tối đa là bao nhiêu? Ảnh cho thấy hai chữ số nhưng thiết kế không khai ngưỡng.
- Ô nhập có hiện số khả dụng của lô đang chọn để người nhập biết mình đang vượt tồn không? Ảnh không có thành phần nào cho việc đó."
