No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn hộp thông báo",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết; cho biết đây là điểm vào của nhóm thông báo và cảnh báo vận hành.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt kê FE-038 · FE-039 · FN-12 · ưu tiên P1 · ba mã yêu cầu · loại màn · route đề xuất · actor là toàn bộ bảy vai trò · một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác nào.",,,,,,
"1.1","img-002","Tiêu đề màn","アプリ内通知ボックス","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở hộp thông báo trong ứng dụng của chính mình.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-28 và tên màn.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về hai tính năng FE-038 và FE-039 cùng ba mã yêu cầu khách; nêu rõ đây là màn không giới hạn vai trò.
Thành phần hiển thị: Hai dòng chữ nhỏ liệt tính năng · nhóm chức năng · ưu tiên · yêu cầu FR-NOTIFY-01 và FR-NOTIFY-02 và BR-NOTIFY-01 · loại màn · route đề xuất kèm badge đếm chưa đọc · actor · thẻ trạng thái.
Chức năng và logic: Tĩnh; không có liên kết điều hướng.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn chưa có bản thi công nào để đối chiếu.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn trong dòng metadata với nội dung Chưa thi công.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu chứ không từ dữ liệu nghiệp vụ.",,,,,,
"2","img-005","Dải chú thích yêu cầu và điều kiện nghiệm thu",,"Requirement and acceptance notice","label","dải chú thích đầu màn",,,,,,,,,"Mục đích và ngữ cảnh: Ghim đúng ba điều khoản mà màn phải thoả; kèm điều kiện nghiệm thu để phần dựng không hiểu chệch.
Thành phần hiển thị: Một dải chú thích nền vàng nhạt ba đoạn: đoạn khai màn chưa thi công; đoạn FR-NOTIFY-01 nêu hai kênh in-app và email cùng bốn nhóm event và ranh giới SMS FAX ngoài phạm vi; đoạn BR-NOTIFY-01 và FR-NOTIFY-02 nêu trần retry ba lần; mốc năm phút cho Critical và queue cảnh báo vận hành.
Chức năng và logic: Tĩnh. Điều kiện nghiệm thu của FR-NOTIFY-01 là bốn thứ kênh · người nhận · kết quả · số lần thử phải xem được từ màn này; queue cảnh báo vận hành là một trạng thái thấy được chứ không gộp vào gửi lỗi chung.",,,,,,
"3","img-006","Khối danh sách thông báo",,"Notification list block","others","khối bảng chín cột kèm ghi chú và một nút",,,,,,,,,"Mục đích và ngữ cảnh: Hộp thư của người dùng: nơi các việc cần xử lý tự tìm đến người phụ trách thay vì phải gọi điện.
Thành phần hiển thị: Tiêu đề khối nêu phạm vi field số 1 tới số 8; bảng chín cột với ba hàng dữ liệu mẫu ở ba trạng thái gửi khác nhau; đoạn ghi chú bốn field; một nút hành động dưới bảng.
Chức năng và logic: Mỗi người chỉ thấy thông báo gửi cho chính mình hoặc cho vai trò mình giữ. Hộp rỗng là trạng thái hợp lệ.",,,,,,
"3.1","img-007","Bảng danh sách thông báo","通知一覧","Notification list table","table","bảng chín cột",,,,,,,,,"Mục đích và ngữ cảnh: Trình bày từng thông báo trên một hàng; đủ để người dùng quyết định mở đối tượng nào trước.
Thành phần hiển thị: Chín cột: mức độ · loại event · tiêu đề · nội dung · liên kết đối tượng · thời điểm · đã đọc · kết quả gửi · ô hành động; ba hàng dữ liệu mẫu.
Chức năng và logic: Sắp xếp mặc định theo thời điểm giảm dần và thông báo Critical chưa đọc lên trước. Cột kết quả gửi là bản thu gọn của khối log gửi bên dưới.",,,,,"CHƯA TỒN TẠI: thiết kế đòi một bảng thông báo nhưng hệ hiện chưa có bảng nào giữ thông báo.","Danh sách phân trang bao nhiêu dòng một trang; hay cuộn vô hạn?
Thông báo Critical chưa đọc có được ghim lên đầu bất kể thời điểm không?
Một thông báo gửi cho cả một vai trò thì mọi người trong vai đó thấy cùng một dòng hay mỗi người một dòng riêng?"
"3.1.1","img-008","Hàng tiêu đề bảng thông báo",,"Notification table header row","label","hàng tiêu đề bảng",,,,,,,,,"Mục đích và ngữ cảnh: Đặt tên chín cột của bảng thông báo.
Thành phần hiển thị: Một hàng nền xám nhạt với tám nhãn cột và một ô cuối để trống dành cho nút hành động.
Chức năng và logic: Tĩnh; không sắp xếp được từ hàng tiêu đề.",,,,,,
"3.1.2","img-009","Hàng thông báo Critical đang trong hạn",,"Critical notification row in-window","others","hàng dữ liệu bảng",,,,"YYYY-MM-DD hh:mm",,,,,"Mục đích và ngữ cảnh: Ca bình thường của một thông báo Critical: cả hai kênh đã gửi được ngay lần thử đầu.
Thành phần hiển thị: Thẻ mức độ critical; thẻ loại event lỗi xuất dữ liệu; tiêu đề và nội dung ngắn bị cắt bớt; liên kết Mở đối tượng; thời điểm dạng YYYY-MM-DD hh:mm; thẻ chưa đọc; ô kết quả gửi ghi in_app thành công và email thành công một trên ba; nút Đánh dấu đã đọc.
Chức năng và logic: Số lần thử hiện dạng phân số trên trần ba lần theo BR-NOTIFY-01. Mức độ critical kéo theo mốc năm phút của FR-NOTIFY-02 nên hàng này phải hiện được là trong hạn hay quá hạn.",,,,,"CHƯA TỒN TẠI: thiết kế đòi một bảng thông báo nhưng hệ hiện chưa có bảng nào giữ thông báo. Riêng nguồn event lỗi xuất dữ liệu: bảng batch kế toán đã tồn tại nhưng chỉ ghi lần xuất thành công nên hiện không có dòng nào cho ca lỗi.","Nội dung ngắn bị cắt ở bao nhiêu ký tự; và cắt rồi có mở xem đầy đủ được không?
Mức độ critical hiện thêm dấu hiệu gì để phân biệt trong một danh sách dài?"
"3.1.3","img-010","Hàng thông báo đã vào queue cảnh báo vận hành",,"Notification row escalated to ops queue","others","hàng dữ liệu bảng",,,,,,,,,"Mục đích và ngữ cảnh: Ca nghiệm thu của FR-NOTIFY-02: gửi vẫn thất bại sau khi hết trần retry nên phải thấy được là đã chuyển sang cảnh báo vận hành.
Thành phần hiển thị: Thẻ mức độ critical; thẻ loại event tranh chấp đang mở; ô kết quả gửi mang một thẻ riêng đã vào queue cảnh báo vận hành kèm chữ email thất bại ba trên ba; nút Xem log gửi thay cho nút đánh dấu đã đọc.
Chức năng và logic: Đây là một trạng thái riêng; không gộp vào gửi lỗi chung. Hết ba lần thử là chốt trạng thái cuối cùng và không retry tiếp.",,,,,"CHƯA TỒN TẠI: thiết kế đòi một bảng thông báo nhưng hệ hiện chưa có bảng nào giữ thông báo. CHƯA TỒN TẠI: thiết kế đòi một bảng log gửi (kênh · người nhận · kết quả · số lần thử) nhưng hệ hiện chưa có bảng nào giữ nó.","Trạng thái đã vào queue cảnh báo vận hành có tự chuyển về trạng thái khác khi vận hành xử lý xong không; ai được đóng nó?
Người nhận thường có thấy thẻ này hay chỉ vai trò quản trị hệ thống thấy?
Định dạng hiển thị số lần thử là phân số trên trần hay chỉ số lần đã thử?"
