No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Đầu trang màn chi tiết người tham gia","参加者詳細ヘッダー","Participant detail page header","others","page_header",,,,,,,,,"Mục đích và ngữ cảnh: neo màn vào chuỗi truy vết FE-005 và FE-006 → FN-02 → FR-PARTY-01 và nói rõ màn gồm bốn khối
Thành phần hiển thị: tiêu đề màn; dòng meta yêu cầu; nhãn trạng thái thi công
Chức năng và logic: tĩnh — chỉ định danh màn và phạm vi yêu cầu",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-06 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai hai tính năng cùng đổ về một màn — quản lý profile và vòng đời hiệu lực
Thành phần hiển thị: mã FE-005 và FE-006; nhóm FN-02; ưu tiên P0; yêu cầu FR-PARTY-01; loại màn Detail bốn khối; actor đọc và actor ghi
Chức năng và logic: văn bản tĩnh — hai actor tách nhau vì đọc và ghi là hai trục quyền khác nhau",,,,,,
"1.3","img-004","Nhãn trạng thái thi công","実装状況タグ","Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn đã có bản thi công để đối chiếu; không phải trạng thái nghiệp vụ
Thành phần hiển thị: một nhãn chữ ngắn
Chức năng và logic: tĩnh — không đổi theo dữ liệu",,,,,,
"2","img-005","Khối profile chỉ đọc","プロフィール参照ブロック","Read-only profile block","others","content_block",,,,,,,,,"Mục đích và ngữ cảnh: khối đọc dành cho mọi vai vận hành — ai cũng cần biết một người tham gia thuộc loại nào và còn hiệu lực đến khi nào
Thành phần hiển thị: tên người tham gia làm tiêu đề; bốn trường chỉ đọc gồm phân loại; căn cứ tham gia; trạng thái hiệu lực; khoảng hiệu lực
Chức năng và logic: chỉ đọc; không có trường nào của khối này bị ẩn theo vai trò",,,,,,
"2.1","img-006","Trường phân loại (chỉ đọc)","区分","Category","label","readonly_field",,"string",,,,,,,"Mục đích và ngữ cảnh: một trong bốn phân loại của FR-PARTY-01; quyết định thủ tục áp cho profile này ở mọi chỗ khác của màn
Thành phần hiển thị: nhãn song ngữ Phân loại · 区分 và giá trị phân loại trong ô chỉ đọc
Chức năng và logic: chỉ đọc ở khối này; giá trị bất biến sau khi tạo nên không có đường sửa nào trên màn",,,"participant","category","Prototype có `participant.category` với CHECK đúng bốn giá trị; tính bất biến thì chỉ chặn ở tầng ứng dụng.",
"2.2","img-007","Trường căn cứ tham gia (chỉ đọc)","参加根拠","Participation basis","label","readonly_field",,"string",,,,,,,"Mục đích và ngữ cảnh: căn cứ pháp lý cho việc tham gia — đăng ký chợ; giấy phép 許可; hoặc chấp thuận 承認; RFP §02-08 cấm gộp hai căn cứ sau thành một quy tắc chung
Thành phần hiển thị: nhãn song ngữ Căn cứ tham gia · 参加根拠; giá trị căn cứ; một dòng gợi ý nói rõ giá trị suy từ phân loại
Chức năng và logic: suy từ phân loại theo FIG-004 và không nhập tự do; nên nó không phải một trường độc lập mà là hệ quả của phân loại",,,"participant","license_type","Prototype có cột này nhưng là chuỗi tự do không có CHECK; cặp phân loại và căn cứ chỉ được kiểm ở tầng ứng dụng nên ghi thẳng vào cơ sở dữ liệu là vào được cặp sai.",
"2.3","img-008","Trường trạng thái hiệu lực (chỉ đọc)","有効状態","Eligibility status","label","readonly_field",,"string",,"một trong bốn trạng thái của FIG-010",,,,,"Mục đích và ngữ cảnh: trạng thái vòng đời đã lưu theo FIG-010; là điểm xuất phát để tính những cạnh chuyển trạng thái còn hợp lệ
Thành phần hiển thị: nhãn song ngữ Trạng thái hiệu lực · 有効状態 và giá trị trạng thái
Chức năng và logic: chỉ đọc; giá trị đã lưu chứ không phải kết luận hôm nay giao dịch được hay không",,,"participant","status","Prototype có CHECK bốn giá trị FIG-010; đường đi giữa các trạng thái thì chỉ được kiểm ở tầng ứng dụng.",
"2.4","img-009","Trường khoảng hiệu lực (chỉ đọc)","有効期間","Validity period","label","readonly_field",,"date",,"YYYY-MM-DD → YYYY-MM-DD",,,,,"Mục đích và ngữ cảnh: khoảng ngày hiệu lực; là dữ liệu để SC-07 tính danh sách cảnh báo sắp hết hiệu lực
Thành phần hiển thị: nhãn song ngữ Khoảng hiệu lực · 有効期間; hai ngày nối bằng dấu mũi tên; một dòng gợi ý về ngày kết thúc rỗng
Chức năng và logic: ngày kết thúc để trống nghĩa là vô hạn hạn; ngày neo theo múi giờ Nhật vì ngày nghiệp vụ neo theo múi giờ đó",,,"participant","valid_from; valid_to","Prototype cho phép cột hiệu lực đến rỗng nghĩa là vô hạn; không có tác vụ định kỳ nào lật trạng thái khi qua ngày đó.",
"3","img-010","Khối sửa profile","プロフィール編集ブロック","Profile edit block","others","form_block",,,,,,,,,"Mục đích và ngữ cảnh: phép sửa trong bộ CRUD của FE-005; chỉ vai quản trị người tham gia được dùng
Thành phần hiển thị: năm trường gồm phân loại đã khoá; tên; hiệu lực từ; hiệu lực đến; lý do cập nhật — cộng một nút lưu
Chức năng và logic: vai không có quyền ghi thì khối vẫn hiện nhưng nội dung đổi thành dòng nhắc vai trò phụ trách; mọi lần sửa ghi audit kèm lý do và giá trị trước và sau",,,,,,
