No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn kết quả tính thưởng","画面ヘッダー","Screen header block","others","khối đầu trang",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn SC-22 — nơi bộ phận quyết toán đọc kết quả tính 完納奨励金 của một kỳ.
Thành phần hiển thị: Tiêu đề màn ở dòng trên; dưới là dòng metadata gồm mã FE; mã FN; mức ưu tiên; danh sách yêu cầu khách và thẻ trạng thái dựng.
Chức năng và logic: Thuần hiển thị; không có tương tác. Vai trò ngoài bộ phận quyết toán không vào được màn nên không thấy khối này.",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","tiêu đề trang",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết đang ở màn kết quả tính thưởng; không phải màn quản lý biểu suất.
Thành phần hiển thị: Một dòng chữ gồm mã màn SC-22 và tên màn Kết quả tính 完納奨励金.
Chức năng và logic: Tĩnh; không đổi theo kỳ đang xem hay theo vai trò.",,,,,,
"1.2","img-003","Dòng metadata màn","画面メタ情報","Screen metadata line","label","dòng metadata",,,,,,,,,"Mục đích và ngữ cảnh: Truy được từ màn về đúng tính năng và đúng yêu cầu khách mà màn phải thoả.
Thành phần hiển thị: Chuỗi phân tách bằng dấu · gồm ba mã FE; hai mã FN; mức ưu tiên; bốn mã yêu cầu khách; actor; mã thi công SCR021_IncentiveResult; loại List chỉ đọc; route /incentive và thẻ trạng thái.
Chức năng và logic: Tĩnh. FE-043 mang ưu tiên P1 trong khi FE-030 và FE-032 là P0 — khác biệt này ảnh hưởng thứ tự thi công; nêu ngay ở đây để không bị đọc gộp.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn","実装状況タグ","Build status tag","label","thẻ trạng thái",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn đã có bản thi công để đối chiếu; không phải cam kết rằng thiết kế đã đạt.
Thành phần hiển thị: Một thẻ chữ nhỏ nằm cuối dòng metadata.
Chức năng và logic: Tĩnh. Thẻ này nói về sự tồn tại của bản thi công; mức đạt hay chưa đạt nằm ở khối đối chiếu prototype cuối màn.",,,,,,
"2","img-005","Khối yêu cầu khách phải thấy trên màn","受入条件ブロック","Acceptance criteria block","others","khối tài liệu yêu cầu",,,,,,,,,"Mục đích và ngữ cảnh: Ghi lại đúng phần Nghiệm thu của bốn yêu cầu khách mà màn này phải chứng minh; để người dựng không phải mở lại tài liệu gốc.
Thành phần hiển thị: Tiêu đề khối và một bảng hai cột: mã yêu cầu và điều phải thấy được trên màn.
Chức năng và logic: Thuần hiển thị tài liệu. Đây là chuẩn nghiệm thu cho chính màn này; mọi thành phần bên dưới phải truy về được một dòng trong bảng.",,,,,,
"2.1","img-006","Bảng yêu cầu và điểm nghiệm thu","要求・受入条件テーブル","Requirement and acceptance table","table","bảng tài liệu",,,,,,,,,"Mục đích và ngữ cảnh: Bốn dòng yêu cầu mà màn phải thoả; mỗi dòng nói rõ điều gì phải nhìn thấy được.
Thành phần hiển thị: Bốn dòng: BR-INC-01 (hệ số 110/100; làm tròn xuống JPY; không gia hạn; JST; quá hạn thì thưởng bằng 0); FR-INC-01 (số tiền tính từ số tiền đủ điều kiện; tỷ lệ chi trả và phiên bản rule đang hiệu lực); FR-INC-03 với FE-032 (delta ở kỳ sau có nguyên nhân rõ ràng; báo cáo kỳ trước giữ nguyên); FR-AUDIT-03 với FE-043 (mở bản ghi là thấy version rule và ngày hiệu lực).
Chức năng và logic: Bảng tĩnh; không lọc; không sắp xếp. Bốn dòng là cố định theo Feature List của màn.",,,,,,
"3","img-007","Khối quy tắc nghiệp vụ BR-INC-01","業務ルールブロック","Business rule block","others","khối tài liệu quy tắc",,,,,,,,,"Mục đích và ngữ cảnh: Đưa bảy yếu tố đã cố định của BR-INC-01 lên bề mặt màn; quy tắc sinh ra tiền phải đọc được chứ không nằm ẩn trong cài đặt.
Thành phần hiển thị: Tiêu đề khối và một bảng ba cột: yếu tố; giá trị khách đã cố định; chỗ nhìn thấy được trên màn.
Chức năng và logic: Thuần hiển thị. Cột thứ ba là ràng buộc thiết kế: mỗi yếu tố quy tắc phải có một chỗ tương ứng trên màn để kiểm chứng.",,,,,,
"3.1","img-008","Bảng yếu tố quy tắc và giá trị đã cố định","ルール要素テーブル","Rule element table","table","bảng tài liệu",,,,,,,,,"Mục đích và ngữ cảnh: Bảy yếu tố khách đã cố định trong BR-INC-01; kèm nơi kiểm chứng từng yếu tố trên màn.
Thành phần hiển thị: Bảy dòng: hệ số 110/100; làm tròn xuống cắt phần lẻ theo đơn vị JPY; thời gian gia hạn không áp dụng; quá hạn thanh toán thì thưởng bằng 0 và không chia tỷ lệ; mốc thời gian theo JST và ngày nghiệp vụ; điều chỉnh sau khi chốt sinh delta ở kỳ tiếp theo; version áp dụng theo ngày hiệu lực.
Chức năng và logic: Bảng tĩnh. Ba yếu tố ràng buộc trực tiếp cách trình bày: không có cột hạn gia hạn; cột số tiền không bao giờ có phần thập phân; dòng 0 JPY là dữ liệu thật kèm nhãn lý do.",,,,,,
"4","img-009","Khối bộ lọc kỳ và người tham gia","絞り込みブロック","Filter block","others","khối bộ lọc",,,,,,,,,"Mục đích và ngữ cảnh: Chọn kỳ và người tham gia để đọc đúng tập kết quả cần đối chiếu.
Thành phần hiển thị: Tiêu đề khối; ô chọn Kỳ theo ngày nghiệp vụ JST; ô chọn Người tham gia và nút Xem đặt cùng một hàng.
Chức năng và logic: Gửi bằng phương thức GET về chính màn; không ghi dữ liệu. Kỳ là điều kiện bắt buộc; người tham gia là điều kiện tuỳ chọn.",,,,,,
"4.1","img-010","Ô chọn Kỳ — ngày nghiệp vụ JST","対象期間(営業日 JST)","Period date input","date_picker","ô chọn ngày bắt buộc",,"date","true","YYYY-MM-DD",,,"Ngày nghiệp vụ JST của hôm nay","Điều kiện: giá trị phải đúng dạng YYYY-MM-DD và là một ngày lịch thật.
Lỗi: báo lỗi ngay tại field; tuyệt đối không âm thầm đổi sang kỳ khác rồi hiện số của kỳ đó.
Điều kiện: không nhận ngày ở tương lai.
Lỗi: báo lỗi tại field và giữ nguyên kỳ đang xem.","Mục đích và ngữ cảnh: Chọn kỳ cần đọc; một kỳ là một ngày nghiệp vụ JST đã chốt.
Thành phần hiển thị: Nhãn Kỳ — ngày nghiệp vụ JST kèm dấu bắt buộc; ô ngày mang giá trị mẫu 2026-09-09; dòng gợi ý bên dưới nói mặc định là hôm nay và không chọn được ngày tương lai.
Chức năng và logic: Mốc thời gian là JST theo BR-INC-01; cột kỳ là ngày nghiệp vụ chứ không phải thời điểm chạy engine. Kỳ chưa chốt thì bảng kết quả rỗng vì thưởng chỉ tính sau khi chốt kỳ ở SC-18.",,"Không điều hướng; nạp lại chính màn SC-22 theo kỳ đã chọn.","incentive_result","period","Điều kiện lọc trên kỳ của kết quả tính thưởng; giá trị bộ lọc không được lưu. Prototype có đúng cột này và lọc theo nó.","- Văn bản lỗi hiển thị cho kỳ sai định dạng và cho kỳ ở tương lai là gì?
- Kỳ mặc định khi mở màn lúc chưa có kỳ nào đã chốt: giữ hôm nay và hiện rỗng; hay nhảy về kỳ đã chốt gần nhất?"
