No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối tiêu đề màn","画面ヘッダー","Screen header block","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: dải đầu trang định vị người đọc — màn nào; thoả tính năng nào; ai là actor
Thành phần hiển thị: một tiêu đề màn; một dòng meta truy vết yêu cầu; và một thẻ trạng thái thi công
Chức năng và logic: chỉ hiển thị — không có tương tác và không có trường nhập",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","page_title",,,,,,,,,"Mục đích và ngữ cảnh: tên màn đặt ngay đầu trang
Thành phần hiển thị: một dòng chữ đậm gồm mã màn SC-01 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース情報","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: chuỗi truy vết của màn theo Feature List — người đọc biết màn phải thoả điều gì
Thành phần hiển thị: mã FE-001; nhóm FN-01; ưu tiên P0; yêu cầu khách FR-IAM-01; loại màn Form; và actor là toàn bộ người dùng nội bộ
Chức năng và logic: văn bản tĩnh — các mã không phải liên kết điều hướng",,,,,,"- Dòng meta này là chú thích của wireframe hay là nội dung sẽ có trên màn thật? Thiết kế không khai."
"1.3","img-004","Thẻ trạng thái thi công",,"Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn này đã có bản thi công để đối chiếu
Thành phần hiển thị: một thẻ chữ nhỏ viền bo với chữ ""Đã thi công"" kèm mã màn và đường dẫn của bản thi công
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"2","img-005","Khối xác thực người dùng nội bộ","内部利用者認証ブロック","Internal user authentication block","others","form_section",,,,,,,,,"Mục đích và ngữ cảnh: nửa ""xác thực người dùng nội bộ"" của FR-IAM-01 (RFP:627) — cổng duy nhất vào hệ thống
Thành phần hiển thị: một vùng nhận diện tĩnh bên trái; bốn trường bên phải; và một nút chính ở đáy
Chức năng và logic: gửi hai trường bắt buộc; nhánh từ chối dùng một thông báo duy nhất để không cho dò định danh tồn tại",,,"app_user",,"Thực thể tài khoản người dùng nội bộ thuộc miền D-PARTY (RFP:602). Bảng đã tồn tại thật và mang đủ cột cho khối này.",
"2.1","img-006","Tiêu đề khối xác thực",,"Authentication block title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: nhãn khối kèm mã yêu cầu khách mà khối này thoả
Thành phần hiển thị: một dòng chữ in hoa nhỏ gồm số thứ tự khối; tên khối và mã FR-IAM-01
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"2.2","img-007","Vùng nhận diện","識別表示エリア","Branding area","others","branding_area",,,,,,,,,"Mục đích và ngữ cảnh: vùng tĩnh mang dấu hiệu nhận diện của chợ; đặt cạnh form để người dùng biết mình vào đúng hệ thống
Thành phần hiển thị: một khung viền nét đứt chiếm khoảng 42% chiều rộng khối; bên trong là nhãn vùng và một đoạn chú thích
Chức năng và logic: không có trường nhập và không có liên kết điều hướng — thiết kế đòi cổng vào hệ thống chỉ có một đường",,,,,,"- Vùng nhận diện có chứa nội dung nào cần cấu hình được theo môi trường không? Thiết kế chỉ nói là vùng tĩnh."
"2.3","img-008","Trường Định danh người dùng nội bộ","内部利用者ID","Internal user identifier input","text_form","identity_input",,"string","true","<phần cục bộ>@<miền>",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: phải là định danh tồn tại trong danh bạ người dùng nội bộ — FR-IAM-01 (RFP:627) chỉ cấp đường vào cho người dùng nội bộ.
Lỗi: dùng chung một thông báo từ chối duy nhất với nhánh sai bí mật — không phân biệt sai định danh hay sai bí mật; kể cả qua mã trả về.","Mục đích và ngữ cảnh: định danh dùng để xác thực người dùng nội bộ — nửa thứ nhất của cặp thông tin đăng nhập
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một ô nhập chữ với giá trị gợi ý dạng địa chỉ thư; và một dòng chú thích về tính duy nhất
Chức năng và logic: giá trị phải duy nhất trong danh bạ người dùng nội bộ; sai định danh và sai bí mật trả về cùng một thông báo để chống dò tài khoản tồn tại",,,"app_user","email","Cột định danh của thực thể tài khoản nội bộ trong miền D-PARTY (RFP:602). Bảng và cột đã tồn tại thật; cột mang ràng buộc duy nhất.","- Định danh có bắt buộc theo dạng địa chỉ thư không? Thiết kế chỉ đòi ""duy nhất trong danh bạ người dùng nội bộ""; ảnh cho thấy giá trị gợi ý dạng địa chỉ thư nhưng đó là ví dụ.
- Độ dài tối đa của định danh là bao nhiêu? Thiết kế và RFP không khai.
- Định danh có phân biệt chữ hoa chữ thường không? Thiết kế không khai."
"2.4","img-009","Trường Bí mật xác thực","認証シークレット","Authentication secret input","text_form","secret_input",,"string","true",,,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: không rỗng.
Lỗi: dùng chung một thông báo từ chối duy nhất với nhánh sai định danh.","Mục đích và ngữ cảnh: bí mật xác thực của người dùng nội bộ — nửa thứ hai của cặp thông tin đăng nhập
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một ô nhập che ký tự; và một dòng chú thích về ba điều cấm
Chức năng và logic: giá trị không hiển thị lại; không ghi vào log; không đi qua URL — nên phải gửi bằng phương thức không đặt dữ liệu lên đường dẫn",,,,,"Thiết kế đặt việc giữ bí mật xác thực ở nhà cung cấp xác thực; thực thể tài khoản nội bộ của D-PARTY (RFP:602) không có cột tương ứng.","- Yêu cầu độ mạnh của bí mật xác thực là gì — độ dài tối thiểu; tập ký tự; thời hạn đổi? Thiết kế và RFP không khai nên cột định dạng để trống.
- Có luồng tự đặt lại bí mật xác thực không? Màn này cố ý không có liên kết điều hướng nào."
"2.5","img-010","Trường Ngôn ngữ hiển thị","表示言語","Display language selector","dropdown","select_single",,"string","false","VI | JA",,,"Tiếng Việt","Điều kiện: không bắt buộc — nhãn không có dấu sao.
Điều kiện: chỉ nhận hai giá trị VI và JA; giá trị lạ rơi về mặc định thay vì báo lỗi hệ thống.","Mục đích và ngữ cảnh: chọn ngôn ngữ hiển thị ngay tại cổng vào — người dùng chưa đăng nhập nên chưa có nơi nào khác để chọn
Thành phần hiển thị: nhãn không dấu sao; một select hai giá trị VI và JA đang chọn Tiếng Việt; và một dòng chú thích
Chức năng và logic: đổi ngôn ngữ áp ngay cho chính màn này; không điều hướng và không gửi dữ liệu xác thực","on_click","Đổi giá trị áp ngay cho ngôn ngữ hiển thị của màn; không điều hướng sang màn khác.",,,"Thiết kế không đòi lưu lựa chọn ngôn ngữ vào thực thể tài khoản nội bộ của D-PARTY (RFP:602); không có cột tương ứng.","- Ngôn ngữ chọn trước khi đăng nhập có được ghi nhớ cho phiên sau khi đăng nhập không? Thiết kế không khai.
- Lựa chọn này có ghi vào tài khoản để dùng lại ở thiết bị khác không; hay chỉ sống trong trình duyệt hiện tại?"
