No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Đầu trang màn chi tiết lô hàng","ロット詳細ヘッダー","Lot detail page header","others","page_header",,,,,,,,,"Mục đích và ngữ cảnh: neo màn vào chuỗi truy vết FE-011; FE-012 và FE-013 → FN-03 → bốn yêu cầu khách của lô hàng
Thành phần hiển thị: tiêu đề màn; dòng meta yêu cầu; nhãn trạng thái thi công
Chức năng và logic: tĩnh — chỉ định danh màn và phạm vi yêu cầu",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-10 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai ba tính năng cùng đổ về một màn và hai mức ưu tiên khác nhau; đây là màn tập trung của FN-03
Thành phần hiển thị: ba mã FE; nhóm FN-03; hai mức ưu tiên; bốn yêu cầu khách; loại màn Detail nhiều khối; hai actor
Chức năng và logic: văn bản tĩnh — hai actor tách nhau vì đọc mở cho vận hành còn điều chỉnh thuộc bộ phận đối chiếu",,,,,,
"1.3","img-004","Nhãn trạng thái thi công","実装状況タグ","Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn đã có bản thi công để đối chiếu; không phải trạng thái nghiệp vụ
Thành phần hiển thị: một nhãn chữ ngắn
Chức năng và logic: tĩnh — không đổi theo dữ liệu",,,,,,
"2","img-005","Khối tổng quan lô hàng","概要ブロック","Overview block","others","content_block",,,,,,,,,"Mục đích và ngữ cảnh: trả lời bốn câu ngay khi mở màn — lô đang ở bước nào; thuộc kỳ nào; kỳ đó đã chốt chưa; và còn bao nhiêu khả dụng
Thành phần hiển thị: dải tiến trình năm bước; bốn trường số liệu gồm ngày nghiệp vụ kèm cờ lock; số lượng ban đầu; đã giữ cho giao dịch; số lượng khả dụng
Chức năng và logic: chỉ đọc; ba số phải hiện cùng nhau vì hiệu của chúng chính là ràng buộc BR-LOT-02",,,,,,
"2.1","img-006","Dải tiến trình năm trạng thái FIG-011","進行状況","Status progress","label","progress_indicator",,"string",,"một trong năm trạng thái của FIG-011",,,,,"Mục đích và ngữ cảnh: FE-013 đòi trạng thái lô đi theo máy trạng thái FIG-011; dải tiến trình cho thấy cả năm bước nên số bước là một yêu cầu nghiệm thu nhìn thấy được
Thành phần hiển thị: nhãn song ngữ Trạng thái · 状態; dải năm bước với bước hiện tại làm nổi; một dòng nói ai làm bước tiếp theo
Chức năng và logic: năm bước của FIG-011; giá trị trạng thái ngoài tập năm phải hiển thị là không xác định chứ không suy đoán bừa",,,"lot","status","Prototype có bốn giá trị trên cột này nên dải tiến trình chỉ hiện được bốn bước và thiếu bước thứ hai của FIG-011.",
"2.2","img-007","Trường ngày nghiệp vụ và cờ lock","業務日とロック表示","Business date with lock flag","label","readonly_field",,"date",,"YYYY-MM-DD kèm cờ trạng thái lock",,,,,"Mục đích và ngữ cảnh: ngày nghiệp vụ và cờ lock là thứ quyết định điều chỉnh có được phép hay không; người dùng phải biết trước khi nhập thay vì biết sau khi bị từ chối
Thành phần hiển thị: nhãn song ngữ Ngày nghiệp vụ · 業務日; ô chỉ đọc mang ngày kèm cờ đã lock; dòng gợi ý nói rõ lý do phải hiện
Chức năng và logic: chỉ đọc; cờ lock quyết định khối điều chỉnh có mở hay không nên hai chỗ phải đọc cùng một nguồn",,,"lot","business_date","Prototype có cột này và dùng nó để kiểm lock ở tầng ứng dụng; nhưng màn hiện không hiển thị ngày nghiệp vụ ở đâu.",
"2.3","img-008","Trường số lượng ban đầu","初期数量","Initial quantity","label","readonly_field",,"integer",,"số với hai chữ số thập phân",,,,,"Mục đích và ngữ cảnh: số lượng lúc tiếp nhận; là mốc để đối chiếu với hai số còn lại
Thành phần hiển thị: nhãn song ngữ Số lượng ban đầu · 初期数量 và một ô chỉ đọc dạng số liệu nổi bật
Chức năng và logic: chỉ đọc và không nằm trong danh sách trường sửa được; sửa nó là làm lệch cả sổ số lượng",,,"lot","initial_qty","Prototype có cột này với ràng buộc lớn hơn không và loại nó khỏi danh sách trường sửa được.",
"2.4","img-009","Trường đã giữ cho giao dịch","引当済","Reserved for trades","label","readonly_field",,"integer",,"số với hai chữ số thập phân",,,,,"Mục đích và ngữ cảnh: phần đã bị giữ cho các giao dịch; là số giải thích vì sao khả dụng nhỏ hơn ban đầu
Thành phần hiển thị: nhãn song ngữ Đã giữ cho giao dịch · 引当済 và một ô chỉ đọc dạng số liệu
Chức năng và logic: chỉ đọc và là giá trị dẫn xuất từ sổ số lượng; hiện cùng hai số kia để người dùng tự kiểm được phép tính",,,,,"Thiết kế đòi số này để giải thích hiệu giữa số lượng ban đầu và số lượng khả dụng; prototype chưa có cột hay sổ nào cho phần đã giữ nên để trống.","- Phần đã giữ cho giao dịch tính theo giao dịch đang ở trạng thái nào — chỉ giao dịch đã chốt; hay cả giao dịch đang chờ xác nhận? Hai cách cho hai con số khác nhau."
"2.5","img-010","Trường số lượng khả dụng","利用可能数量","Available quantity","label","readonly_field",,"integer",,"số với hai chữ số thập phân; không âm",,,,,"Mục đích và ngữ cảnh: số chịu lực của BR-LOT-02 và của FR-LOT-03 — là con số mà mọi cửa kiểm trước giao dịch và trước giao hàng đọc
Thành phần hiển thị: nhãn song ngữ Số lượng khả dụng · 利用可能数量; ô chỉ đọc dạng số liệu; dòng gợi ý nêu hai nửa của BR-LOT-02
Chức năng và logic: chỉ đọc và không bao giờ sửa trực tiếp; chỉ đổi qua đường giữ và hoàn số lượng của giao dịch và giao hàng — đó là cách giữ ràng buộc không âm",,,"lot","available_qty","Prototype có ràng buộc lớn hơn hoặc bằng không ở tầng dữ liệu; mọi thay đổi đi qua một vòng so-rồi-ghi ở tầng ứng dụng và cột bị loại khỏi mọi đường sửa tự do.",
"3","img-011","Khối truy vết số lượng khả dụng","数量履歴ブロック","Quantity trace block","others","content_block",,,,,,,,,"Mục đích và ngữ cảnh: BR-LOT-02 đòi hai thứ — số lượng khả dụng không âm và truy vết được tới lịch sử điều chỉnh; khối này là nửa thứ hai và thường bị bỏ
Thành phần hiển thị: bảng sáu cột theo thứ tự mới nhất trước; một đoạn ghi chú nêu rõ hai nửa của quy tắc
Chức năng và logic: chỉ đọc và chỉ ghi thêm; mỗi lần giữ hoặc hoàn số lượng phải để lại đúng một dòng",,,,,,
"3.1","img-012","Bảng sổ số lượng khả dụng","数量履歴テーブル","Quantity ledger table","table","data_table",,,,,,,,,"Mục đích và ngữ cảnh: sổ mọi lần số lượng khả dụng đổi; cột chứng từ nguồn là thứ nối một lần giữ số lượng về đúng giao dịch gây ra nó
Thành phần hiển thị: sáu cột gồm thời điểm; việc; chứng từ nguồn; thay đổi; khả dụng sau; người thực hiện — theo thứ tự mới nhất trước
Chức năng và logic: chỉ đọc; cột khả dụng sau cho phép cộng dồn về đúng con số đang hiển thị ở khối tổng quan; thời điểm neo múi giờ Nhật",,,,,"Thiết kế đòi một sổ riêng cho mọi lần đổi số lượng khả dụng; prototype không có sổ nào — đường giữ và hoàn chỉ ghi lại giá trị mới vào lô nên để trống.","- Sổ số lượng giữ bao lâu; và có cần xuất được ra báo cáo lịch sử lô hàng không? Yêu cầu khách chỉ nói phải truy vết được."
"3.1.1","img-013","Dòng sổ số lượng (đại diện cho bốn dòng mẫu)","数量履歴行","Quantity ledger row","label","table_row",,"integer",,"thay đổi mang dấu; thời điểm theo YYYY-MM-DD HH:mm JST",,,,,"Mục đích và ngữ cảnh: một lần số lượng khả dụng đổi; bốn dòng mẫu cùng cấu trúc nên gộp một đại diện
Thành phần hiển thị: thời điểm; loại việc; mã chứng từ nguồn; lượng thay đổi mang dấu; số khả dụng sau lần đó; người thực hiện
Chức năng và logic: dòng tiếp nhận lô không có chứng từ nguồn nên ô đó để trống; lượng thay đổi mang dấu âm khi giữ và dấu dương khi hoàn lại",,,,,"Thiết kế đòi thực thể sổ số lượng với sáu cột này; prototype chưa có nên để trống.",
"3.2","img-014","Ghi chú hai nửa của BR-LOT-02","BR-LOT-02 の注記","Note on BR-LOT-02","label","design_note",,,,,,,,,"Mục đích và ngữ cảnh: quy tắc này thường chỉ được thi hành nửa đầu; nửa sau là truy vết và nó cần một sổ riêng chứ không phải một ràng buộc
Thành phần hiển thị: một đoạn ghi chú dưới bảng sổ
Chức năng và logic: tĩnh; đòi mỗi lần giữ hoặc hoàn để lại đúng một dòng nói rõ chứng từ nguồn; và cộng dồn phải về đúng giá trị đang hiển thị ở khối tổng quan",,,,,,
"4","img-015","Khối kết quả đánh giá","評価結果ブロック","Appraisal result block","others","content_block",,,,,,,,,"Mục đích và ngữ cảnh: nghiệm thu FR-LOT-02 đòi với mỗi kết quả truy ngược được người ghi và thời điểm; nên khối này phải đọc từ chính bản ghi đánh giá
Thành phần hiển thị: ba trường chỉ đọc gồm kết quả thẩm định; người xác nhận; thời điểm ghi nhận — cộng một ghi chú
Chức năng và logic: chỉ đọc; không suy kết quả từ một dòng kiểm toán vì mất dòng đó là mất kết quả trên màn dù bản ghi vẫn còn",,,,,,
"4.1","img-016","Trường kết quả thẩm định","目利き結果","Appraisal result","label","readonly_field",,"string",,,,,,,"Mục đích và ngữ cảnh: phán đoán của người đánh giá được ghi ở màn SC-09; hiện lại ở đây để người đọc chi tiết lô thấy căn cứ chất lượng
Thành phần hiển thị: nhãn song ngữ Kết quả thẩm định · 目利き結果 và một ô chỉ đọc
Chức năng và logic: chỉ đọc; là văn bản tự do nên hiện nguyên văn chứ không cắt thành hạng hay nhãn",,,"mekiki_record","grade","Prototype có cột này nhưng màn không đọc thực thể bản ghi đánh giá; kết quả chỉ tới màn qua một dòng kiểm toán.",
"4.2","img-017","Trường người xác nhận","評価担当者","Confirmed by","label","readonly_field",,"string",,,,,,,"Mục đích và ngữ cảnh: một nửa của nghiệm thu FR-LOT-02; kết quả không có người xác nhận thì không truy vết được
Thành phần hiển thị: nhãn song ngữ Người xác nhận · 評価担当者 và một ô chỉ đọc
Chức năng và logic: chỉ đọc; hiện bằng tên và không hiện địa chỉ thư điện tử",,,"mekiki_record","assessor_id","Prototype có cột này nhưng màn không đọc nó; nên người xác nhận hiện không xuất hiện ở đâu trên chi tiết lô.",
"4.3","img-018","Trường thời điểm ghi nhận","評価日時","Assessed at","label","readonly_field",,"date",,"YYYY-MM-DD HH:mm JST",,,,,"Mục đích và ngữ cảnh: nửa còn lại của nghiệm thu FR-LOT-02; là thời điểm thực của việc ghi chứ không phải ngày nghiệp vụ
Thành phần hiển thị: nhãn song ngữ Thời điểm ghi nhận · 評価日時 và một ô chỉ đọc kèm hậu tố múi giờ
Chức năng và logic: chỉ đọc; neo múi giờ Nhật và hiện hậu tố để không đọc lệch theo máy người dùng",,,"mekiki_record","assessed_at","Prototype có cột này nhưng màn không đọc nó.",
"4.4","img-019","Ghi chú nguồn của kết quả đánh giá","評価データ源の注記","Note on appraisal data source","label","design_note",,,,,,,,,"Mục đích và ngữ cảnh: chốt nguồn dữ liệu của khối; suy kết quả từ dòng kiểm toán là một đường gián tiếp dễ mất
Thành phần hiển thị: một đoạn ghi chú dưới ba trường
Chức năng và logic: tĩnh; đòi đọc từ bản ghi đánh giá chứ không suy từ dòng kiểm toán",,,,,,
"5","img-020","Khối chứng từ tiếp nhận","受付証憑ブロック","Intake document block","others","content_block",,,,,,,,,"Mục đích và ngữ cảnh: FR-LOT-01 đòi lưu được các chứng từ tiếp nhận; màn này là nơi tra lại và là nơi bù khi chứng từ lỗi lúc tiếp nhận
Thành phần hiển thị: bảng bốn cột danh sách tệp; một nút đính kèm thêm; một đoạn ghi chú về đường bù
Chức năng và logic: đọc danh sách chứng từ của lô; có đường đính kèm thật vì màn tiếp nhận chỉ người dùng sang đây khi chứng từ lỗi",,,,,,
