No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn danh sách phiên bản biểu suất","画面ヘッダー","Screen header block","others","khối đầu trang",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn SC-23 — nơi quản trị rule đọc toàn bộ vòng đời các phiên bản biểu suất 完納奨励金.
Thành phần hiển thị: Tiêu đề màn ở dòng trên; dưới là dòng metadata gồm mã FE; mã FN; mức ưu tiên; danh sách yêu cầu khách; actor và thẻ trạng thái dựng.
Chức năng và logic: Thuần hiển thị; không có tương tác. Cả vai người lập và vai người duyệt dùng chung màn này; tách nhau ở SC-24 theo người tạo từng phiên bản.",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","tiêu đề trang",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết đang ở màn danh sách phiên bản; không phải màn tạo hay duyệt phiên bản.
Thành phần hiển thị: Một dòng chữ gồm mã màn SC-23 và tên màn Danh sách phiên bản biểu suất.
Chức năng và logic: Tĩnh; không đổi theo bộ lọc trạng thái đang chọn.",,,,,,
"1.2","img-003","Dòng metadata màn","画面メタ情報","Screen metadata line","label","dòng metadata",,,,,,,,,"Mục đích và ngữ cảnh: Truy được từ màn về đúng tính năng và đúng yêu cầu khách mà màn phải thoả.
Thành phần hiển thị: Chuỗi phân tách bằng dấu · gồm mã FE-031; mã FN-09; mức ưu tiên P0; bốn mã yêu cầu khách kèm baseline TBL-RATE-01 và năng lực CAP-06; actor quản trị rule; mã thi công SCR022_RuleVersionList; loại List; route /incentive/rules và thẻ trạng thái.
Chức năng và logic: Tĩnh. Dòng này khai rõ actor gồm cả vai người lập và vai người duyệt — điều kiện tách hai vai không nằm ở vai trò mà ở người tạo từng phiên bản.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn","実装状況タグ","Build status tag","label","thẻ trạng thái",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn đã có bản thi công để đối chiếu; không phải cam kết rằng thiết kế đã đạt.
Thành phần hiển thị: Một thẻ chữ nhỏ nằm cuối dòng metadata.
Chức năng và logic: Tĩnh. Mức đạt hay chưa đạt của từng yêu cầu nằm ở khối đối chiếu prototype cuối màn.",,,,,,
"2","img-005","Khối yêu cầu khách phải thấy trên màn","受入条件ブロック","Acceptance criteria block","others","khối tài liệu yêu cầu",,,,,,,,,"Mục đích và ngữ cảnh: Ghi lại đúng phần Nghiệm thu của bốn yêu cầu khách mà màn này phải chứng minh.
Thành phần hiển thị: Tiêu đề khối và một bảng hai cột: mã yêu cầu và điều phải thấy được trên màn.
Chức năng và logic: Thuần hiển thị tài liệu. Đây là chuẩn nghiệm thu cho chính màn này; mọi cột bảng bên dưới phải truy về được một dòng ở đây.",,,,,,
"2.1","img-006","Bảng yêu cầu và điểm nghiệm thu","要求・受入条件テーブル","Requirement and acceptance table","table","bảng tài liệu",,,,,,,,,"Mục đích và ngữ cảnh: Bốn dòng yêu cầu mà màn phải thoả; mỗi dòng nói rõ điều gì phải nhìn thấy được.
Thành phần hiển thị: Bốn dòng: FR-RULE-01 (mọi phiên bản ghi đủ người tạo; người phê duyệt; ngày hiệu lực và trạng thái); FR-INC-02 với TBL-RATE-01 (bản nháp chưa có hiệu lực cho tới khi được phê duyệt và rollback được theo từng version); GOV-RULE-01 (thay đổi tối đa 4 lần mỗi năm kèm maker-checker; ngày hiệu lực và rollback); NFR-OPS-02 với CAP-06 (biểu suất cập nhật bằng thay đổi cấu hình có kiểm soát; nghiệm thu bằng demo đổi rule bằng version mới).
Chức năng và logic: Bảng tĩnh; không lọc; không sắp xếp. Bốn dòng là cố định theo Feature List của màn.",,,,,,
"3","img-007","Khối hạn mức thay đổi trong năm","年間変更上限ブロック","Annual change quota block","others","khối chỉ số chỉ đọc",,,,,,,,,"Mục đích và ngữ cảnh: Đưa hạn mức 4 lần đổi rule mỗi năm của GOV-RULE-01 lên bề mặt màn; hạn mức không thấy được thì không ai giữ được.
Thành phần hiển thị: Tiêu đề khối và hai ô hiển thị chỉ đọc đặt cạnh nhau: số lần đổi rule đã dùng và phiên bản đang có hiệu lực.
Chức năng và logic: Chỉ đọc; không nhận nhập. Hết hạn mức thì nút tạo phiên bản phải tắt ngay tại màn kèm lý do; không để người lập gửi rồi mới bị từ chối.",,,,,,
"3.1","img-008","Ô hiển thị Số lần đổi rule đã dùng","年間ルール変更回数","Annual rule change count","label","ô hiển thị chỉ đọc",,"integer",,"<đã dùng> / 4 lần — còn <còn lại> lần",,,"3 / 4 lần — còn 1 lần",,"Mục đích và ngữ cảnh: Cho quản trị rule biết còn được đổi rule mấy lần trong năm theo GOV-RULE-01.
Thành phần hiển thị: Nhãn Số lần đổi rule đã dùng; một ô chữ chỉ đọc mang giá trị 3 / 4 lần — còn 1 lần; dòng gợi ý nói đếm theo phiên bản đã được phê duyệt trong năm.
Chức năng và logic: Đếm theo phiên bản đã được phê duyệt; bản nháp chờ duyệt không tính. Khi đã dùng 4 trên 4 thì nút tạo phiên bản mới ở khối bộ lọc phải tắt kèm lý do.",,,,,"Thiết kế đòi một chỉ số đếm số phiên bản đã được phê duyệt trong năm; hiện chưa có thực thể hay cột nào giữ mốc năm và số đếm này nên phần mapping để trống. Prototype không đếm và không chặn.","- Mốc năm của hạn mức là năm dương lịch hay năm tài chính Nhật; vì hai cách cho hai thời điểm đặt lại khác nhau?
- Rollback có bị tính là một lần đổi trong hạn mức không?
- Khi đã hết hạn mức mà khách cần đổi rule gấp thì màn cho đường ngoại lệ nào; hay chặn tuyệt đối?"
"3.2","img-009","Ô hiển thị Phiên bản đang có hiệu lực","有効中バージョン","Active rule version","label","ô hiển thị chỉ đọc",,"string",,"v<số phiên bản> · hiệu lực từ YYYY-MM-DD",,,"v3 · hiệu lực từ 2026-09-01",,"Mục đích và ngữ cảnh: Cho biết phiên bản nào đang chi phối cách tính thưởng ở SC-22 ngay lúc này.
Thành phần hiển thị: Nhãn Phiên bản đang có hiệu lực; một ô chữ chỉ đọc mang giá trị v3 · hiệu lực từ 2026-09-01; dòng gợi ý nói luôn có đúng một phiên bản đang chi phối cách tính ở SC-22.
Chức năng và logic: Thiết kế đòi đúng một phiên bản đang hiệu lực tại mỗi thời điểm. Nếu không có phiên bản nào thì màn phải cảnh báo vì SC-22 sẽ không tính được thưởng.",,,"incentive_rule_version","effective_from","Phiên bản đang chi phối cách tính là phiên bản đã duyệt có ngày hiệu lực gần nhất đã tới. Prototype có bảng và cột này; nhưng nhiều dòng cùng mang trạng thái đang hiệu lực và việc chọn một dòng chỉ xảy ra lúc đọc.",
"4","img-010","Khối bộ lọc trạng thái","絞り込みブロック","Filter block","others","khối bộ lọc",,,,,,,,,"Mục đích và ngữ cảnh: Thu hẹp danh sách phiên bản theo trạng thái vòng đời; và là chỗ đặt đường sang màn tạo phiên bản.
Thành phần hiển thị: Tiêu đề khối; ô chọn Lọc theo trạng thái; nút Lọc và nút Tạo phiên bản mới đặt cùng một hàng.
Chức năng và logic: Gửi bằng phương thức GET về chính màn; không ghi dữ liệu. Nút tạo phiên bản chỉ điều hướng; việc tạo nằm ở SC-24.",,,,,,
