No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn phê duyệt yêu cầu điều chỉnh",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết của nó; cho biết đây là cửa quyết định của nhóm điều chỉnh sau khi chốt.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt kê FE-029 · FN-08 · ưu tiên P0 · FR-CORR-02 cùng ba ràng buộc kèm và actor; dòng tham chiếu phụ nêu mã thi công · loại màn List-Detail · route và một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác.",,,,,,
"1.1","img-002","Tiêu đề màn","修正依頼の承認","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở màn duyệt hoặc từ chối yêu cầu điều chỉnh và sinh bản ghi đảo ngược hoặc phần chênh lệch.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-21 và tên màn.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về đúng tính năng và điều khoản yêu cầu; nêu rõ maker-checker đến từ GOV-RULE-01 chứ không từ FR-CORR-02.
Thành phần hiển thị: Ba dòng chữ nhỏ: dòng tính năng · ưu tiên và yêu cầu; dòng actor nêu bộ phận quyết toán vai người duyệt; dòng tham chiếu phụ nêu mã thi công · loại màn · route và thẻ trạng thái.
Chức năng và logic: Tĩnh; không có liên kết điều hướng.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn đã có bản thi công để đối chiếu.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn cuối dòng tham chiếu phụ với nội dung Đã dựng.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu.",,,,,,
"2","img-005","Khối thiết kế đòi theo cột nghiệm thu",,"Acceptance-criteria block","others","khối bảng hai cột",,,,,,,,,"Mục đích và ngữ cảnh: Dịch cột nghiệm thu của bốn yêu cầu thành điều phải thấy được trên màn; là bảng kiểm khi nghiệm thu màn này.
Thành phần hiển thị: Tiêu đề khối; bên dưới là bảng hai cột bốn dòng cho FR-CORR-02 · GOV-RULE-01 · FR-AUDIT-01 · FR-INC-03.
Chức năng và logic: Chỉ đọc; nội dung là ràng buộc phạm vi áp lên panel quyết định và bảng kết quả.",,,,,,
"2.1","img-006","Bảng yêu cầu và điều phải thấy trên màn",,"Requirement-to-screen mapping table","table","bảng hai cột",,,,,,,,,"Mục đích và ngữ cảnh: Neo từng khối của màn về đúng câu chữ nghiệm thu; bốn dòng là bốn ràng buộc độc lập chứ không suy ra được lẫn nhau.
Thành phần hiển thị: Bốn dòng: FR-CORR-02 đòi duyệt hoặc từ chối được và sau khi duyệt bản ghi gốc vẫn giữ nguyên cùng bản ghi đảo ngược hoặc chênh lệch truy được về yêu cầu; GOV-RULE-01 đòi người phê duyệt khác người lập; FR-AUDIT-01 đòi thao tác phê duyệt truy được chủ thể · thời điểm · trước sau và lý do; FR-INC-03 đòi phần chênh lệch tiền thưởng xuất hiện ở kỳ tiếp theo.
Chức năng và logic: Chỉ đọc; dòng GOV-RULE-01 in đậm cụm ràng buộc riêng vì maker-checker không suy ra được từ vai trò.",,,"correction_request; transaction_adjustment","status; approved_by; requested_by; kind; qty_delta; unit_price_delta; amount_delta","Miền dữ liệu D-SETTLE và D-TRADE. Hai bảng thi công có thật và khớp thiết kế; cả hai chỉ thêm dòng. Sắc thái: điều kiện người duyệt khác người lập KHÔNG được cài bằng ràng buộc cơ sở dữ liệu mà chỉ so ở tầng ứng dụng.",
"3","img-007","Khối danh sách yêu cầu",,"Request list block","others","khối lọc và bảng danh sách",,,,,,,,,"Mục đích và ngữ cảnh: Hàng đợi quyết định của người duyệt: thấy yêu cầu nào đang chờ · lý do người lập nêu · bằng chứng và trạng thái maker-checker của chính mình trên từng dòng.
Thành phần hiển thị: Tiêu đề khối; một ô lọc theo trạng thái; bảng năm cột bốn dòng mẫu; một đoạn ghi chú về liên kết bằng chứng.
Chức năng và logic: Mặc định lọc chờ duyệt; cột Maker-checker nói rõ dòng nào người đang xem được phép quyết định.",,,"correction_request","status; reason; requested_by; approved_by; evidence_path","Danh sách đọc từ bảng yêu cầu điều chỉnh; mã giao dịch lấy qua khoá ngoại tới bảng giao dịch.","Danh sách có phân trang không; và sắp xếp mặc định theo thời điểm gửi cũ nhất trước hay mới nhất trước?"
"3.1","img-008","Ô lọc theo trạng thái","状態で絞り込み","Status filter","dropdown","ô chọn một giá trị",,"string","false",,,,"Chờ duyệt","Điều kiện: chỉ nhận bốn lựa chọn tất cả · chờ duyệt · đã duyệt · bị từ chối.
Lỗi: giá trị ngoài tập phải bị từ chối và nói rõ là lọc sai; không được trả danh sách rỗng im lặng vì người dùng sẽ đọc thành hết việc.","Mục đích và ngữ cảnh: Chọn nhóm yêu cầu cần xem; mặc định là chờ duyệt vì màn này là hàng đợi quyết định.
Thành phần hiển thị: Nhãn Lọc theo trạng thái; ô chọn rộng hết khối hiện Chờ duyệt; dòng nhắc bên dưới liệt bốn lựa chọn và nêu lựa chọn mặc định.
Chức năng và logic: Bộ lọc phải là ô chọn ngay trên màn; và phải phân biệt được trạng thái rỗng do hết việc với trạng thái rỗng do lọc không khớp.","on_click","Đổi giá trị thì tải lại bảng danh sách theo trạng thái mới; không rời màn.","correction_request","status","Cột trạng thái nhận đúng ba giá trị chờ duyệt · đã duyệt · bị từ chối; lựa chọn tất cả là bộ lọc rỗng chứ không phải một giá trị của cột.","Bộ lọc có nhớ lựa chọn lần trước khi người dùng trở lại màn không?
Có cần thêm bộ lọc theo ngày nghiệp vụ hoặc theo người lập khi hàng đợi dài không?"
"3.2","img-009","Bảng danh sách yêu cầu năm cột","修正依頼一覧","Correction request list table","table","bảng năm cột",,,,,,,,,"Mục đích và ngữ cảnh: Cho người duyệt đủ dữ liệu để quyết định ngay trên danh sách: sửa cái gì · vì sao · đang ở trạng thái nào · có bằng chứng gì và mình có được quyết định dòng này không.
Thành phần hiển thị: Năm cột; bốn dòng mẫu phủ đủ bốn tình huống: chờ duyệt và duyệt được · chờ duyệt nhưng chính mình là người lập · đã duyệt · bị từ chối. Cột Trạng thái là nhãn màu; cột Bằng chứng là liên kết; cột Maker-checker hiện tên người lập và người duyệt.
Chức năng và logic: Chỉ đọc; dòng bị từ chối không có liên kết bằng chứng nào là một khả năng cần xử lý; cột Maker-checker phải nói thẳng khi người đang xem không được quyết định dòng đó.",,,"correction_request","target_txn_id; reason; status; evidence_path; requested_by; approved_by","Mã giao dịch lấy qua khoá ngoại tới bảng giao dịch. Cột Maker-checker là giá trị dẫn xuất từ việc so người lập với người đang xem.","Dòng bị từ chối trong ảnh mẫu để dấu gạch ở cột Bằng chứng — bằng chứng bị thu hồi sau khi từ chối hay chỉ là trạng thái không tạo được liên kết?
Cột Lý do dài thì cắt bớt kèm chỗ mở rộng hay hiện đủ và để dòng cao lên?"
"3.2.1","img-010","Nhãn trạng thái yêu cầu trong dòng",,"Request status badge","label","nhãn trong ô bảng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết ngay dòng nào còn phải quyết định.
Thành phần hiển thị: Nhãn chữ nhỏ viền tròn trong ô cột Trạng thái; bốn dòng mẫu cho ba giá trị Chờ duyệt · Đã duyệt · Bị từ chối. Các nhãn gộp thành một hạng mục vì cùng cấu trúc và cùng vai trò.
Chức năng và logic: Chỉ đọc; trạng thái đổi được đúng một lần từ chờ duyệt sang đã duyệt hoặc bị từ chối.",,,"correction_request","status","Ba giá trị của cột trạng thái; giá trị khi tạo luôn là chờ duyệt và do phía hệ thống đặt.",
