No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn cấu hình thông báo",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết; cho biết đây là màn quản trị của nhóm thông báo.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt kê FE-040 · FN-12 · ưu tiên P1 · FR-NOTIFY-03 · loại màn Form · route đề xuất · actor quản trị vận hành ánh xạ sang một vai trò · một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác nào.",,,,,,
"1.1","img-002","Tiêu đề màn","通知設定","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở màn cấu hình thông báo.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-29 và tên màn.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về FE-040 và FR-NOTIFY-03; khai luôn ánh xạ actor sang vai trò của hệ.
Thành phần hiển thị: Hai dòng chữ nhỏ liệt tính năng · nhóm chức năng · ưu tiên · yêu cầu · loại màn · route đề xuất · actor quản trị vận hành ánh xạ ROLE-SYS-ADMIN · thẻ trạng thái.
Chức năng và logic: Tĩnh. Ánh xạ actor là một giả định phải chốt vì hệ không có vai trò nào mang đúng tên quản trị vận hành.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn chưa có bản thi công nào để đối chiếu.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn cuối dòng metadata với nội dung Chưa thi công.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu chứ không từ dữ liệu nghiệp vụ.",,,,,,
"2","img-005","Dải chú thích yêu cầu và điều kiện nghiệm thu",,"Requirement and acceptance notice","label","dải chú thích đầu màn",,,,,,,,,"Mục đích và ngữ cảnh: Ghim đúng ba thứ bắt buộc của FR-NOTIFY-03 và biến điều kiện nghiệm thu thành một ràng buộc kiến trúc.
Thành phần hiển thị: Một dải chú thích nền vàng nhạt ba đoạn: đoạn khai màn chưa thi công; đoạn dẫn FR-NOTIFY-03 với ba thứ người nhận và ngưỡng và thời điểm gửi; cùng điều kiện nghiệm thu là đổi cấu hình không làm mất lịch sử gửi; đoạn nói rõ nghiệm thu đó là ràng buộc kiến trúc nên cấu hình chỉ áp cho lần gửi sau và lịch sử gửi là bất biến.
Chức năng và logic: Tĩnh. Ba thứ FR-NOTIFY-03 đòi là bắt buộc; mọi field khác trên màn chỉ là phương tiện để đặt được ba thứ đó.",,,,,,
"3","img-006","Khối cấu hình một loại event",,"Per-event config block","others","khối form mười field và ba nút",,,,,,,,,"Mục đích và ngữ cảnh: Nơi quản trị đặt người nhận · ngưỡng · thời điểm gửi cho một loại event; là thân chính của màn.
Thành phần hiển thị: Tiêu đề khối dẫn ba thứ FR-NOTIFY-03 đòi; mười field xếp thành bốn hàng gồm một ô chỉ đọc; hai hộp kiểm; bốn ô chọn; một ô số; một ô giờ và một vùng văn bản; ba nút hành động cuối khối.
Chức năng và logic: Một dòng cấu hình cho mỗi loại event. Lưu là sinh phiên bản mới chứ không ghi đè; nên khối này không bao giờ sửa tại chỗ một dòng duy nhất.",,,,,,
"3.1","img-007","Ô Loại event","イベント種別","Event type","label","ô chỉ đọc kèm nhãn và dòng nhắc",,"string",,,,,,,"Mục đích và ngữ cảnh: Cho biết đang cấu hình cho loại event nào; đây là khoá của dòng cấu hình nên không sửa được từ màn.
Thành phần hiển thị: Nhãn Loại event; ô chỉ đọc nền xám hiện giá trị profile sắp hết hiệu lực; dòng nhắc ghi field số 1 là chỉ đọc và mỗi loại event của FR-NOTIFY-01 có một dòng.
Chức năng và logic: Chỉ đọc. Tập giá trị lấy theo các nhóm event mà FR-NOTIFY-01 liệt; nhưng yêu cầu khách viết là ví dụ nên tập này chưa đóng.",,,,,"CHƯA TỒN TẠI: thiết kế đòi một bảng cấu hình thông báo nhưng hệ hiện chưa có bảng nào giữ nó.","Tập loại event là danh sách đóng hay mở; yêu cầu khách viết bốn nhóm dưới dạng ví dụ?
Một loại event mới xuất hiện thì màn tự hiện dòng chưa cấu hình hay phải tạo tay?
Định dạng của giá trị loại event là chuỗi tiếng Việt hiển thị hay một mã cố định; ảnh chỉ cho thấy nhãn."
"3.2","img-008","Hộp kiểm Bật thông báo","通知を有効化","Enable notification","checkbox","hộp kiểm bắt buộc kèm nhãn và dòng nhắc",,"boolean","true",,,,"false","Điều kiện: bắt buộc có giá trị.
Lỗi: ""Hãy chọn trạng thái bật hoặc tắt cho loại event này.""","Mục đích và ngữ cảnh: Công tắc quyết định loại event này có sinh thông báo hay không.
Thành phần hiển thị: Nhãn Bật thông báo kèm dấu sao bắt buộc; hộp kiểm chưa chọn kèm chữ Bật và ghi chú dạng công tắc; dòng nhắc ghi field số 2 và mặc định tắt.
Chức năng và logic: Mặc định tắt là có chủ đích: không tự bật một loại event mà đường sinh event chưa tồn tại. Bật một event chưa có nguồn dữ liệu thì màn phải hiện nhãn sẽ không phát sinh.","on_click",,,,"CHƯA TỒN TẠI: thiết kế đòi một bảng cấu hình thông báo nhưng hệ hiện chưa có bảng nào giữ nó.","Bật một event chưa có nguồn dữ liệu thì chặn hẳn; hay cho lưu kèm nhãn cảnh báo?
Tắt thông báo cho một event có xoá cấu hình cũ hay chỉ tạm dừng?"
"3.3","img-009","Ô chọn Phân loại","重要度","Severity","dropdown","ô chọn bắt buộc kèm nhãn và dòng nhắc",,"string","true",,,,"thường","Điều kiện: chỉ nhận hai giá trị critical và thường.
Lỗi: ""Phân loại không hợp lệ.""","Mục đích và ngữ cảnh: Quyết định thông báo của loại event này có chịu mốc năm phút hay không; đây là field kéo theo hệ quả nặng nhất của khối.
Thành phần hiển thị: Nhãn Phân loại kèm dấu sao bắt buộc; ô chọn hiện giá trị thường kèm mũi chỉ xuống; dòng nhắc ghi field số 3 với hai giá trị critical và thường và nói rõ chọn critical là kéo theo mốc năm phút của FR-NOTIFY-02.
Chức năng và logic: Chọn critical làm mọi thông báo của loại event này phải gửi xong trong năm phút; nên đây không phải một nhãn trang trí.","on_click",,,,"CHƯA TỒN TẠI: thiết kế đòi một bảng cấu hình thông báo nhưng hệ hiện chưa có bảng nào giữ nó.","Đổi phân loại từ thường sang critical có áp cho các thông báo đã sinh trước đó không?
Định dạng giá trị gửi lên là chuỗi hiển thị hay mã cố định; ảnh chỉ cho thấy nhãn tiếng Việt."
"3.4","img-010","Hộp kiểm Kênh gửi","送信チャネル","Delivery channels","checkbox","nhóm hộp kiểm bắt buộc kèm nhãn và dòng nhắc",,"string","true",,,,"in_app","Điều kiện: phải chọn tối thiểu một kênh.
Lỗi: ""Hãy chọn ít nhất một kênh gửi.""
Điều kiện: chỉ nhận hai giá trị in_app và email.
Lỗi: ""Kênh gửi không hợp lệ.""","Mục đích và ngữ cảnh: Đặt kênh cho loại event này trong đúng ranh giới phạm vi của nhóm chức năng thông báo.
Thành phần hiển thị: Nhãn Kênh gửi kèm dấu sao bắt buộc; hai hộp kiểm in_app đã chọn và email chưa chọn; dòng nhắc ghi field số 4 với ràng buộc tối thiểu một kênh; chỉ hai kênh theo BR-NOTIFY-01; SMS và FAX ngoài phạm vi FN-12 nên giao diện không để chỗ cho chúng; và chọn email khi chưa có hạ tầng gửi thì vào trạng thái kênh chưa khả dụng.
Chức năng và logic: Giao diện chỉ có đúng hai hộp kiểm; không có chỗ nào thêm kênh thứ ba. Chọn email mà chưa có hạ tầng gửi thì cấu hình vẫn lưu được nhưng phải cảnh báo rõ là email sẽ không gửi.","on_click",,,,"CHƯA TỒN TẠI: thiết kế đòi một bảng cấu hình thông báo nhưng hệ hiện chưa có bảng nào giữ nó.","Chọn email khi chưa có hạ tầng gửi thì chặn lưu hay cho lưu kèm cảnh báo?
Bỏ chọn hết hai kênh có tương đương với tắt thông báo hay là một lỗi riêng?"
