No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu trang màn chi tiết giao hàng","配送詳細ヘッダー","Delivery detail page header","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: neo màn vào bốn tính năng của khâu giao nhận và năm yêu cầu khách mà màn phải thoả
Thành phần hiển thị: tiêu đề màn; hai dòng meta truy vết; nhãn trạng thái thi công
Chức năng và logic: tĩnh — chỉ định danh màn và phạm vi yêu cầu",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-16 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai đủ bốn tính năng; năm yêu cầu; ba miền dữ liệu và hai sơ đồ trạng thái của màn
Thành phần hiển thị: hai dòng meta: một dòng tính năng và ưu tiên; một dòng yêu cầu; miền dữ liệu và sơ đồ
Chức năng và logic: văn bản tĩnh",,,,,,
"1.3","img-004","Nhãn trạng thái thi công","実装状況タグ","Build status tag","label","status_tag",,,,,,,"Đã dựng",,"Mục đích và ngữ cảnh: cho biết màn đã có bản thi công để đối chiếu
Thành phần hiển thị: một nhãn chữ
Chức năng và logic: tĩnh — giá trị đến từ trạng thái roster",,,,,,
"2","img-005","Khối nhận dạng và liên kết giao hàng","識別と関連リンクパネル","Identity and link panel","others","detail_panel",,,,,,,,,"Mục đích và ngữ cảnh: cho biết đang xem giao hàng của giao dịch nào và mở được ba hướng liên quan; đây là phần thoả FR-DEL-04 về quan hệ giữa giao hàng và quyết toán
Thành phần hiển thị: bốn trường chỉ đọc trên một hàng; ba liên kết; một chú thích quan hệ hai chiều
Chức năng và logic: chỉ đọc; ba liên kết phải có ở mọi trạng thái chứ không chỉ sau khi ngày đã lock",,,,,,
"2.1","img-006","Trường mã giao dịch","取引番号","Transaction code","label","readonly_field",,"string",,,,,"TXN-0001",,"Mục đích và ngữ cảnh: neo mọi thứ trên màn về một giao dịch cụ thể
Thành phần hiển thị: nhãn hai ngôn ngữ và một ô chỉ đọc
Chức năng và logic: chỉ đọc; giá trị đến từ giao dịch cha của phiếu giao hàng",,,"transaction","txn_code","Prototype có cột này với ràng buộc duy nhất và dùng đúng nó làm tiêu đề màn chi tiết.","- Định dạng mã giao dịch còn thiếu trong nguồn thiết kế: tiền tố cố định cộng số thứ tự; hay có thêm phần theo ngày nghiệp vụ? Cần biết để hiển thị và tìm kiếm nhất quán."
"2.2","img-007","Trường người tham gia","買出人","Buyer participant","label","readonly_field",,"string",,,,,"Người tham gia B",,"Mục đích và ngữ cảnh: cho biết giao cho ai; là thông tin đầu tiên hiện trường cần khi tới nơi nhận
Thành phần hiển thị: nhãn hai ngôn ngữ và một ô chỉ đọc mang tên hiển thị
Chức năng và logic: chỉ đọc; chỉ hiện tên; không hiện thông tin liên hệ cá nhân",,,"participant","name","Prototype có cột tên và quan hệ từ giao dịch sang người mua nhưng màn chi tiết giao hàng hiện không hiển thị người tham gia.",
"2.3","img-008","Trường ngày nghiệp vụ của giao dịch","取引の業務日","Transaction business date","label","readonly_field",,"date",,"YYYY-MM-DD",,,"2026-09-09",,"Mục đích và ngữ cảnh: phân biệt rõ ngày của giao dịch với ngày của từng lần giao; hai ngày này khác nhau và quyết định số vào kỳ nào
Thành phần hiển thị: nhãn hai ngôn ngữ; một ô chỉ đọc; một chú thích phân biệt hai loại ngày
Chức năng và logic: chỉ đọc; giá trị đến từ giao dịch cha",,,"transaction","business_date","Prototype có cột này và dùng nó để tra khoá kỳ; nhãn màn không nói rõ đây là ngày của giao dịch chứ không phải ngày của lần giao.",
"2.4","img-009","Trường trạng thái giao hàng","配送状態","Delivery status","label","readonly_field",,"string",,"một trong bốn trạng thái của FR-DEL-01",,,"Đang giao · 配送中",,"Mục đích và ngữ cảnh: cho biết phiếu giao hàng đang ở bước nào của vòng đời
Thành phần hiển thị: nhãn hai ngôn ngữ; một ô chỉ đọc; một chú thích liệt bốn trạng thái
Chức năng và logic: chỉ đọc; trạng thái là kết quả của các lần giao và của thao tác chốt hoàn tất",,,"delivery","status","Prototype có đủ bốn giá trị ở tầng dữ liệu; hai đường ghi hiện có chỉ đặt được đang giao và hoàn tất.",
"2.5","img-010","Liên kết sang lô hàng","ロットへのリンク","Lot link","button",,"text_link",,,,,,,,"Mục đích và ngữ cảnh: truy ngược từ giao hàng về lô hàng gốc khi cần kiểm hàng hoá
Thành phần hiển thị: một liên kết chữ mang mã lô hàng
Chức năng và logic: điều hướng sang chi tiết lô hàng; không đổi dữ liệu","on_click","Mở SC-10 chi tiết lô hàng của lô đứng sau giao dịch này","lot","lot_code","Prototype có cột mã lô hàng nhưng màn chi tiết giao hàng chưa có liên kết nào sang chi tiết lô hàng.",
