No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn tạo và phê duyệt phiên bản biểu suất","画面ヘッダー","Screen header block","others","khối đầu trang",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn SC-24 — nơi quản trị rule tạo bản nháp biểu suất; rồi một người khác phê duyệt hoặc rollback.
Thành phần hiển thị: Tiêu đề màn ở dòng trên; dưới là dòng metadata gồm mã FE; mã FN; mức ưu tiên; danh sách yêu cầu khách; actor và thẻ trạng thái dựng.
Chức năng và logic: Thuần hiển thị; không có tương tác. Một mã SC ứng hai khung con: khung tạo phiên bản và khung phê duyệt kèm rollback.",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","tiêu đề trang",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết đây là màn có thao tác ghi; khác với SC-23 chỉ đọc danh sách.
Thành phần hiển thị: Một dòng chữ gồm mã màn SC-24 và tên màn Tạo và phê duyệt phiên bản biểu suất.
Chức năng và logic: Tĩnh; không đổi theo phiên bản đang mở hay theo vai người xem.",,,,,,
"1.2","img-003","Dòng metadata màn","画面メタ情報","Screen metadata line","label","dòng metadata",,,,,,,,,"Mục đích và ngữ cảnh: Truy được từ màn về đúng tính năng và đúng yêu cầu khách mà màn phải thoả.
Thành phần hiển thị: Chuỗi phân tách bằng dấu · gồm mã FE-031; mã FN-09; mức ưu tiên P0; bốn mã yêu cầu khách kèm baseline TBL-RATE-01; actor; hai mã thi công SCR023_RuleVersionNew và SCR024_RuleVersionDetail kèm route của từng khung và thẻ trạng thái.
Chức năng và logic: Tĩnh. Dòng này khai thẳng ràng buộc quan trọng nhất của màn: người lập và người duyệt là hai người khác nhau — điều kiện này không suy ra được từ vai trò.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn","実装状況タグ","Build status tag","label","thẻ trạng thái",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn đã có bản thi công để đối chiếu; không phải cam kết rằng thiết kế đã đạt.
Thành phần hiển thị: Một thẻ chữ nhỏ nằm cuối dòng metadata; sau route của hai khung con.
Chức năng và logic: Tĩnh. Mức đạt hay chưa đạt của từng yêu cầu nằm ở khối đối chiếu prototype cuối màn.",,,,,,
"2","img-005","Khối yêu cầu khách phải thấy trên màn","受入条件ブロック","Acceptance criteria block","others","khối tài liệu yêu cầu",,,,,,,,,"Mục đích và ngữ cảnh: Ghi lại đúng phần Nghiệm thu của bốn yêu cầu khách mà màn này phải chứng minh.
Thành phần hiển thị: Tiêu đề khối và một bảng hai cột: mã yêu cầu và điều phải thấy được trên màn.
Chức năng và logic: Thuần hiển thị tài liệu. Đây là chuẩn nghiệm thu cho cả hai khung con của màn.",,,,,,
"2.1","img-006","Bảng yêu cầu và điểm nghiệm thu","要求・受入条件テーブル","Requirement and acceptance table","table","bảng tài liệu",,,,,,,,,"Mục đích và ngữ cảnh: Bốn dòng yêu cầu mà màn phải thoả; mỗi dòng nói rõ điều gì phải nhìn thấy được.
Thành phần hiển thị: Bốn dòng: FR-INC-02 (tạo được phiên bản có ngày hiệu lực trong tương lai; bản nháp chưa có hiệu lực cho tới khi được phê duyệt; rollback theo từng version); GOV-RULE-01 (người duyệt khác người lập; tối đa 4 lần mỗi năm; có ngày hiệu lực; có rollback; thay đổi không làm biến dạng dữ liệu đã chốt trước ngày hiệu lực); FR-RULE-01 (lưu và hiện đủ người tạo; người phê duyệt; ngày hiệu lực; trạng thái); NFR-OPS-02 (đổi biểu suất bằng phiên bản mới; không sửa mã nguồn và không sửa dữ liệu lịch sử).
Chức năng và logic: Bảng tĩnh; không lọc; không sắp xếp. Bốn dòng là cố định theo Feature List của màn.",,,,,,
"3","img-007","Khung tạo phiên bản — vai người lập","バージョン作成フォーム","Create version form block","others","khối biểu mẫu tạo",,,,,,,,,"Mục đích và ngữ cảnh: Nơi người lập soạn một bản nháp phiên bản biểu suất có ngày hiệu lực trong tương lai.
Thành phần hiển thị: Tiêu đề khung; hàng đầu gồm ô chọn Ngày hiệu lực và ô hiển thị Hạn mức năm nay; rồi ô nhập Nội dung biểu suất; ô nhập Lý do thay đổi; hai biến thể của nút Tạo bản nháp và một ghi chú về các field server tự đặt.
Chức năng và logic: Gửi bằng phương thức ghi; tạo một dòng phiên bản ở trạng thái chờ duyệt. Bản nháp không chi phối cách tính ở SC-22 cho tới khi được phê duyệt và tới ngày hiệu lực.",,,,,,
"3.1","img-008","Ô chọn Ngày hiệu lực","発効日","Effective date input","date_picker","ô chọn ngày bắt buộc",,"date","true","YYYY-MM-DD",,,,"Điều kiện: giá trị phải đúng dạng YYYY-MM-DD và là một ngày lịch thật.
Lỗi: báo lỗi tại field và không gửi biểu mẫu.
Điều kiện: ngày hiệu lực phải ở tương lai; nghĩa là sau ngày nghiệp vụ JST hôm nay.
Lỗi: ô chọn ngày không cho chọn quá khứ ngay từ đầu; và server vẫn từ chối nếu bị gửi qua đường khác.","Mục đích và ngữ cảnh: Chọn mốc từ ngày nào phiên bản mới bắt đầu chi phối cách tính thưởng.
Thành phần hiển thị: Nhãn Ngày hiệu lực kèm dấu bắt buộc; ô ngày mang giá trị mẫu 2026-10-01; dòng gợi ý nói phải là ngày trong tương lai và ô chọn ngày không cho chọn quá khứ.
Chức năng và logic: Chặn hai tầng: ô chọn ngày không cho chọn quá khứ; và server vẫn kiểm lại. Chỉ dựa vào server báo lỗi sau khi gửi là chưa đủ theo thiết kế.",,,"incentive_rule_version","effective_from","Ngày phiên bản bắt đầu chi phối cách tính. Prototype có đúng cột này với ràng buộc không rỗng; nhưng ô chọn ngày phía trình duyệt không đặt giới hạn nhỏ nhất.","- Ngày hiệu lực có được đúng bằng ngày mai; hay phải cách hôm nay một số ngày tối thiểu để kịp thông báo?
- Hai phiên bản chờ duyệt cùng một ngày hiệu lực có được phép cùng tồn tại không?"
"3.2","img-009","Ô hiển thị Hạn mức năm nay","本年度の変更上限","Annual quota display","label","ô hiển thị chỉ đọc",,"integer",,"<đã dùng> / 4 lần đã dùng",,,"3 / 4 lần đã dùng",,"Mục đích và ngữ cảnh: Cho người lập biết còn được tạo phiên bản mấy lần trong năm trước khi bấm gửi.
Thành phần hiển thị: Nhãn Hạn mức năm nay; một ô chữ chỉ đọc mang giá trị 3 / 4 lần đã dùng; dòng gợi ý nói hết 4 trên 4 thì form không cho gửi kèm lý do GOV-RULE-01.
Chức năng và logic: Chỉ đọc; không nhận nhập. Hết hạn mức thì cả biểu mẫu tắt tại màn; không để người lập gửi rồi mới nhận lỗi.",,,,,"Thiết kế đòi một chỉ số đếm số lần đổi rule trong năm; hiện chưa có thực thể hay cột nào giữ mốc năm và số đếm này nên phần mapping để trống. Prototype không đếm và không chặn lần thứ 5.","- Mốc năm của hạn mức là năm dương lịch hay năm tài chính Nhật?
- Rollback có bị tính là một lần đổi trong hạn mức không?"
"3.3","img-010","Ô nhập Nội dung biểu suất","料率内容","Rate table input","text_form","ô nhập bắt buộc",,"string","true","none",,,,"Điều kiện: nội dung biểu suất không được để trống.
Lỗi: nút Tạo bản nháp giữ trạng thái vô hiệu cho tới khi có giá trị.","Mục đích và ngữ cảnh: Đây là chỗ NFR-OPS-02 đòi đổi biểu suất bằng cấu hình: tham số nào được phiên bản hoá thì phải nhập được ở đây chứ không nằm trong mã nguồn.
Thành phần hiển thị: Nhãn Nội dung biểu suất kèm dấu bắt buộc; ô nhập ghi hệ số 110/100 cố định theo BR-INC-01 và một chỗ trống cho tỷ lệ chi trả kèm chú thích xem [CHƯA CHỐT].
Chức năng và logic: Hệ số 110/100 do khách cố định nên không phải tham số người dùng đổi. Phần tham số thật sự được phiên bản hoá còn chờ khách chốt nên hình dạng ô nhập chưa khoá được.",,,"incentive_rule_version","rate_table","Nội dung biểu suất của phiên bản. Prototype có cột này nhưng biểu mẫu không có ô nào cho nó; giá trị được server ghi cứng và engine tính thưởng không đọc lại.","- Tham số nào của công thức được phiên bản hoá; và hệ số 110/100 có nằm trong đó không?
- Sau khi khách chốt; ô này là một chuỗi tự do; một số duy nhất; hay một bảng nhiều dòng theo bậc?
- Nội dung biểu suất có cần kiểm hợp lệ theo miền giá trị trước khi cho gửi không?"
