No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn tra cứu audit log",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết; cho biết đây là phía đọc của dữ liệu audit.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt kê FE-042 · FN-13 · ưu tiên P1 · FR-AUDIT-02 · NFR-PERF-01 · tham chiếu mục bảo vệ thông tin cá nhân · loại màn List · route đề xuất · actor · một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác nào.",,,,,,
"1.1","img-002","Tiêu đề màn","監査ログ照会","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở màn tra cứu dấu vết thao tác của toàn hệ.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-30 và tên màn.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về FE-042 và hai mã yêu cầu; khai luôn rằng màn chạm mục bảo vệ thông tin cá nhân của yêu cầu khách.
Thành phần hiển thị: Hai dòng chữ nhỏ liệt tính năng · nhóm chức năng · ưu tiên · FR-AUDIT-02 · NFR-PERF-01 · tham chiếu mục bảo vệ thông tin cá nhân · loại màn · route đề xuất · actor là bộ phận hành chính và kiểm toán nội bộ · thẻ trạng thái.
Chức năng và logic: Tĩnh. Actor mà yêu cầu khách gọi tên không khớp vai trò nào của hệ nên ánh xạ là một giả định phải chốt.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn chưa có bản thi công nào để đối chiếu.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn ở đầu dòng thứ hai của metadata với nội dung Chưa thi công.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu chứ không từ dữ liệu nghiệp vụ.",,,,,,
"2","img-005","Dải chú thích yêu cầu; nghiệm thu và quan hệ với phía ghi",,"Requirement acceptance and write-side notice","label","dải chú thích đầu màn",,,,,,,,,"Mục đích và ngữ cảnh: Ghim bốn tiêu chí bắt buộc; ngưỡng nghiệm thu; và điều quan trọng nhất của màn: dữ liệu tìm được phải do phía ghi lưu từ đầu.
Thành phần hiển thị: Một dải chú thích nền vàng nhạt ba đoạn: đoạn khai màn chưa thi công; đoạn dẫn FR-AUDIT-02 với bốn tiêu chí bắt buộc và ngưỡng NFR-PERF-01 là p95 không vượt hai giây kèm nghiệm thu bằng báo cáo load test; đoạn nêu quan hệ với tính năng ghi audit là phía ghi của cùng dữ liệu.
Chức năng và logic: Tĩnh. Kết luận của đoạn thứ ba là ràng buộc thiết kế: cái gì phía ghi không lưu thì phía đọc không có cách nào tìm.",,,,,,
"3","img-006","Khối bốn tiêu chí bắt buộc",,"Mandatory criteria filter block","others","khối bộ lọc sáu điều kiện và hai nút",,,,,,,,,"Mục đích và ngữ cảnh: Nơi người điều tra dựng câu hỏi của mình; bốn field đầu là đúng bốn tiêu chí FR-AUDIT-02 bắt buộc.
Thành phần hiển thị: Tiêu đề khối nêu phạm vi field số 1 tới số 4; hai hàng sáu điều kiện; hai nút hành động; một đoạn ghi chú về việc kết hợp tiêu chí.
Chức năng và logic: Bốn tiêu chí bắt buộc phải kết hợp được với nhau và mỗi tiêu chí phải đứng một mình cũng chạy được. Hai field cuối là tiện ích thêm để thu hẹp kết quả.",,,,,,
"3.1","img-007","Ô ID giao dịch","取引ID","Transaction ID","text_form","ô nhập một dòng kèm nhãn và dòng nhắc",,"string","true","uuid hoặc mã giao dịch nghiệp vụ",,,,"Điều kiện: nhận cả uuid và mã nghiệp vụ.
Lỗi: không phân tích được giá trị thì trả danh sách rỗng chứ không trả lỗi 4xx.","Mục đích và ngữ cảnh: Tiêu chí thứ nhất trong bốn tiêu chí bắt buộc; là đường vào thường dùng nhất khi điều tra một giao dịch cụ thể.
Thành phần hiển thị: Nhãn ID giao dịch kèm dấu sao bắt buộc; ô nhập một dòng hiện gợi ý uuid hoặc mã giao dịch; dòng nhắc ghi field số 1 là tiêu chí một trên bốn; nhận cả hai dạng; và không phân tích được thì trả danh sách rỗng.
Chức năng và logic: Giá trị lạ không làm lỗi mà chỉ trả rỗng — có chủ đích; vì người điều tra thường dán mã từ nơi khác.",,,"audit_log","entity; entity_id","Bảng audit đã tồn tại. Sắc thái: tra được nhưng chỉ qua MỘT CẶP CỘT loại thực thể và mã thực thể; không có cột riêng cho ID giao dịch; và mã thực thể lưu dạng chuỗi. Đây là chuyện hình dạng truy vấn; sửa được ở tầng đọc.","Nhập một uuid không thuộc giao dịch mà thuộc thực thể khác thì vẫn tra hay báo không hợp lệ?
Có cho tra theo một phần của mã hay bắt buộc khớp trọn?
Mã giao dịch nghiệp vụ và uuid có thể trùng dạng không; nếu có thì ưu tiên đường nào?"
"3.2","img-008","Ô Ngày nghiệp vụ","業務日","Business date","date_picker","ô chọn khoảng ngày kèm nhãn và dòng nhắc",,"date","true","YYYY-MM-DD — YYYY-MM-DD",,,,"Điều kiện: mốc đầu phải nhỏ hơn hoặc bằng mốc cuối.
Lỗi: ""Khoảng ngày không hợp lệ.""","Mục đích và ngữ cảnh: Tiêu chí thứ hai trong bốn tiêu chí bắt buộc; là trục thời gian mà mọi cuộc điều tra bắt đầu từ đó.
Thành phần hiển thị: Nhãn Ngày nghiệp vụ kèm dấu sao bắt buộc; ô chọn khoảng ngày hiện mẫu hai mốc dạng YYYY-MM-DD; dòng nhắc ghi field số 2 là tiêu chí hai trên bốn và nói rõ đây là ngày nghiệp vụ theo JST chứ không phải ngày hệ thống.
Chức năng và logic: Ngày nghiệp vụ khác ngày hệ thống: một điều chỉnh làm sau 10:00 thuộc về ngày nghiệp vụ trước đó; nên không suy được ngày nghiệp vụ từ thời điểm ghi.",,,,,"CHƯA TỒN TẠI: bảng audit không có cột nào chứa ngày nghiệp vụ; và không tính ngược được từ thời điểm ghi. Dữ liệu này phải do phía ghi truyền vào từ đầu nên dữ liệu cũ không lấp lại được.","Chỉ nhập mốc đầu mà bỏ trống mốc cuối thì hiểu là mở đến hôm nay hay báo lỗi?
Khoảng ngày có bị giới hạn độ dài tối đa để giữ ngưỡng thời gian phản hồi không?
Bản ghi không có ngày nghiệp vụ thì hiện dấu gạch và có bị loại khỏi kết quả khi lọc theo ngày không?"
"3.3","img-009","Ô chọn Người tham gia","参加者","Participant","dropdown","ô chọn một giá trị kèm nhãn và dòng nhắc",,"string","true",,,,,,"Mục đích và ngữ cảnh: Tiêu chí thứ ba trong bốn tiêu chí bắt buộc; là người tham gia của bản ghi nghiệp vụ; không phải người bấm nút.
Thành phần hiển thị: Nhãn Người tham gia kèm dấu sao bắt buộc; ô chọn hiện Chọn kèm mũi chỉ xuống; dòng nhắc ghi field số 3 là tiêu chí ba trên bốn và phân biệt rõ với field số 6 là người thực hiện thao tác.
Chức năng và logic: Hai khái niệm này khác nhau và không được gộp: người tham gia là đối tượng nghiệp vụ; người thực hiện là chủ thể thao tác.","on_click",,,,"CHƯA TỒN TẠI: bảng audit không có cột nào cho người tham gia của bản ghi. Chỉ tới được bằng cách nối bảng theo từng loại thực thể; mỗi loại một đường khác nhau; và có loại không tới được.","Chọn được nhiều người tham gia cùng lúc hay chỉ một?
Danh sách chọn hiện toàn bộ người tham gia hay chỉ những người có mặt trong khoảng ngày đang lọc?
Định dạng nhãn hiển thị một người tham gia là gì; ảnh chỉ cho thấy dòng mặc định."
"3.4","img-010","Ô chọn Loại thao tác","操作種別","Action type","dropdown","ô chọn một giá trị kèm nhãn và dòng nhắc",,"string","true",,,,"Tất cả","Điều kiện: chỉ nhận giá trị thuộc tập đóng do server nạp.
Lỗi: giá trị ngoài tập thì trả lỗi 422 chứ không lặng lẽ bỏ qua.","Mục đích và ngữ cảnh: Tiêu chí thứ tư trong bốn tiêu chí bắt buộc; quyết định cuộc điều tra nhìn vào loại hành vi nào.
Thành phần hiển thị: Nhãn Loại thao tác kèm dấu sao bắt buộc; ô chọn hiện Tất cả kèm mũi chỉ xuống; dòng nhắc ghi field số 4 là tiêu chí bốn trên bốn với tập giá trị đóng nạp từ server; ngoài tập thì trả 422; và ghi rõ tập phải tối thiểu phủ tạo · sửa · phê duyệt · lock · đổi quyền.
Chức năng và logic: Tập giá trị đóng và nạp từ server chứ không viết cứng ở giao diện; giá trị lạ trả lỗi tường minh vì đây là tiêu chí bắt buộc; khác với hai field tiện ích.","on_click",,"audit_log","action","Cột đã tồn tại. Sắc thái: hiện lưu dạng chuỗi tự do; không có ràng buộc tập giá trị và không có danh mục dùng chung; nên tập giá trị đóng cho ô chọn phải được chuẩn hoá ở phía ghi trước.","Tập giá trị của ô chọn nhóm theo năm hành vi mà yêu cầu khách liệt; hay liệt phẳng từng giá trị?
Chọn được nhiều loại thao tác cùng lúc hay chỉ một?
Định dạng nhãn hiển thị một loại thao tác là mã hay câu tiếng Việt; ảnh chỉ cho thấy dòng Tất cả."
