No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn quản lý batch xuất kế toán",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết của nó; cho biết đây là điểm vào duy nhất của nhóm tích hợp kế toán.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt kê FE-037 · FN-11 · ưu tiên P0 · yêu cầu IF-ACC-01 và DR-SETTLE-01 cùng actor; dòng tham chiếu phụ nêu route đề xuất và một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác nào.",,,,,,
"1.1","img-002","Tiêu đề màn","会計データ出力バッチ管理","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở màn quản lý các lần bàn giao dữ liệu đối chiếu sang hệ thống kế toán.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-27 và tên màn.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về đúng tính năng và điều khoản yêu cầu khách; nêu rõ IF-ACC-01 và DR-SETTLE-01 là hai yêu cầu chính.
Thành phần hiển thị: Hai dòng chữ nhỏ: dòng tính năng · nhóm chức năng · ưu tiên · yêu cầu · actor đề xuất; dòng tham chiếu phụ nêu route đề xuất và thẻ trạng thái.
Chức năng và logic: Tĩnh; không có liên kết điều hướng.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn chưa có bản thi công nào để đối chiếu.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn cuối dòng tham chiếu phụ với nội dung Chưa thi công.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu chứ không từ dữ liệu nghiệp vụ.",,,,,,
"2","img-005","Dải chú thích ranh giới phạm vi thiết kế",,"Design scope notice banner","label","dải chú thích đầu màn",,,,,,,,,"Mục đích và ngữ cảnh: Chặn cách đọc sai rằng cả phần tích hợp kế toán chưa làm; khoanh đúng phần thiết kế đòi mà chưa có.
Thành phần hiển thị: Một dải chú thích nền vàng nhạt; chữ đậm ở đầu câu; nội dung phân biệt phần đã chạy qua màn báo cáo và phần còn thiếu là tra cứu xuyên nhiều ngày cùng trạng thái bàn giao.
Chức năng và logic: Tĩnh; là ghi chú dành cho người đọc thiết kế và không hiện cho người dùng cuối.",,,,,,
"3","img-006","Khối 6 trường tối thiểu bắt buộc của dữ liệu bàn giao",,"Mandatory export fields block","others","khối bảng ba cột kèm ghi chú",,,,,,,,,"Mục đích và ngữ cảnh: Ghim đúng tập trường mà yêu cầu khách bắt buộc phải có trong mỗi lần bàn giao; là bảng kiểm khi nghiệm thu màn này.
Thành phần hiển thị: Tiêu đề khối dẫn DR-SETTLE-01; bảng ba cột sáu dòng cho từng trường tối thiểu; một đoạn ghi chú cuối khối về bên nhận và hai trường kèm bắt buộc.
Chức năng và logic: Chỉ đọc; nội dung là ràng buộc phạm vi áp lên khối danh sách và khối bộ lọc bên dưới.",,,,,,
"3.1","img-007","Bảng 6 trường tối thiểu","最小必須項目一覧","Mandatory field table","table","bảng ba cột sáu dòng dữ liệu",,,,,,,,,"Mục đích và ngữ cảnh: Liệt kê từng trường tối thiểu kèm nội dung mà yêu cầu khách gán cho nó; người đọc dùng bảng này để kiểm bản xuất có đủ trường hay không.
Thành phần hiển thị: Ba cột: số thứ tự · tên trường tối thiểu · nội dung theo yêu cầu khách; sáu hàng dữ liệu là ngày nghiệp vụ · người tham gia · tổng số tiền · thuế · trạng thái · batch code.
Chức năng và logic: Chỉ đọc; không phân trang; không sắp xếp lại được.",,,,,,
"3.1.1","img-008","Hàng tiêu đề bảng 6 trường",,"Mandatory field table header row","label","hàng tiêu đề bảng",,,,,,,,,"Mục đích và ngữ cảnh: Đặt tên ba cột để đọc được các hàng dữ liệu bên dưới.
Thành phần hiển thị: Một hàng nền xám nhạt với ba nhãn: dấu thăng · Trường tối thiểu · Nội dung theo yêu cầu khách.
Chức năng và logic: Tĩnh.",,,,,,
"3.1.2","img-009","Hàng một trường tối thiểu — đại diện sáu hàng",,"Mandatory field row (representative)","others","hàng dữ liệu bảng",,,,,,,,,"Mục đích và ngữ cảnh: Một hàng mô tả một trường tối thiểu; sáu hàng có cùng cấu trúc nên gộp thành một đại diện.
Thành phần hiển thị: Ba ô trên một hàng: số thứ tự · tên trường in đậm · câu mô tả nội dung; hàng đại diện đang hiện trường số 1 là Ngày nghiệp vụ với nội dung ngày nghiệp vụ đã lock.
Chức năng và logic: Chỉ đọc. Nội dung sáu hàng theo thứ tự: ngày nghiệp vụ đã lock; mã người tham gia hoặc nhóm người tham gia được gộp; tổng số tiền đã tính cả điều chỉnh sau lock đã duyệt; số thuế tương ứng tổng số tiền của dòng; trạng thái dòng gồm chờ · đã xác nhận · đã điều chỉnh; batch code là mã lần xuất cho ngày đã chốt và một ngày có thể có nhiều batch.",,,,,,
"3.2","img-010","Ghi chú bên nhận và hai trường kèm",,"Receiver and extra-field note","label","đoạn nhắc dưới khối",,,,,,,,,"Mục đích và ngữ cảnh: Khai bên nhận dữ liệu và hai trường phải kèm ngoài sáu trường tối thiểu; đồng thời khai phần chưa chốt của interface.
Thành phần hiển thị: Một đoạn chữ nhỏ: bên nhận là hệ thống kế toán hiện hành do bộ phận tài chính vận hành; mỗi bản xuất phải kèm thời điểm tạo và người khởi tạo; phương thức kết nối · xác thực · retry · nghiệm thu interface chốt tại buổi làm việc về interface.
Chức năng và logic: Tĩnh; nội dung này là lý do vì sao khối trạng thái bàn giao còn ở dạng đề xuất.",,,,,,
