No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối tiêu đề màn hình",,"Screen header block","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: dải đầu trang định vị người dùng và khai chuỗi truy vết của màn
Thành phần hiển thị: tiêu đề màn; một dòng meta liệt kê mã FE / FN / yêu cầu khách / state machine / actor; và hai thẻ ghi chú
Chức năng và logic: chỉ hiển thị — không có tương tác nào trong khối này",,,,,,
"1.1","img-002","Tiêu đề màn hình",,"Screen title","label","page_title",,,,,,,,,"Mục đích và ngữ cảnh: tên màn đặt ngay đầu trang
Thành phần hiển thị: một dòng chữ đậm ""SC-12 · Danh sách và chi tiết giao dịch""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu",,"Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: chuỗi truy vết của màn theo Feature List — ba mã tính năng và các yêu cầu khách mà màn phải thoả
Thành phần hiển thị: ba mã FE kèm ưu tiên; nhóm FN-04; danh sách mã yêu cầu khách; tham chiếu FIG-012; và actor kèm phân vai hành động so với tra cứu
Chức năng và logic: văn bản tĩnh — các phần tách nhau bằng dấu chấm giữa",,,,,,"- Dòng meta này là chú thích của wireframe hay nội dung sẽ có trên màn thật? Thiết kế không khai.
- Hai màn con dùng chung một mã SC- — trên sản phẩm thật đây là hai trang riêng hay một trang có hai khung? Ảnh vẽ chung một trang."
"1.3","img-004","Thẻ trạng thái thi công",,"Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn này đã có bản thi công để đối chiếu
Thành phần hiển thị: một thẻ chữ nhỏ viền bo với chữ ""Đã dựng""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"1.4","img-005","Thẻ ghi chú gộp hai màn con",,"Two sub-screen note tag","label","scope_tag",,,,,,,,,"Mục đích và ngữ cảnh: nhắc rằng một mã SC- ứng hai màn con vì cùng phục vụ FE-017
Thành phần hiển thị: một thẻ chữ nhỏ với chữ ""Một mã SC- ứng hai màn con""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"2","img-006","Khung 1 — Danh sách giao dịch",,"Transaction list frame","others","list_frame",,,,,,,,,"Mục đích và ngữ cảnh: điểm vào hằng ngày của ROLE-TRADE — tra cứu và theo dõi giao dịch theo FE-017 và FR-AITAI-01 (RFP:650)
Thành phần hiển thị: tiêu đề khung; ba bộ lọc kèm một nhóm nút; một bảng tám cột; và một dòng ghi chú về phân trang và hiệu năng
Chức năng và logic: lọc rồi đọc danh sách; mỗi dòng có đường sang chi tiết — thao tác ghi nằm ở khung chi tiết",,,"transaction",,"Đọc thực thể giao dịch của miền D-TRADE (RFP:604) kèm tên lô hàng (D-LOT) và tên người tham gia (D-PARTY).",
"2.1","img-007","Tiêu đề khung danh sách",,"List frame title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: mở đầu khung danh sách và dẫn mã tính năng tương ứng
Thành phần hiển thị: một dòng tiêu đề ""Khung 1 — Danh sách giao dịch · FE-017""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"2.2","img-008","Bộ lọc Ngày nghiệp vụ","業務日","Business date filter","date_picker","date_filter",,"date","false","YYYY-MM-DD",,,,"Điều kiện: giá trị phải đúng định dạng ngày.
Lỗi: ""Ngày nghiệp vụ không đúng định dạng."" — báo lỗi nhập tại trường; không được để thành lỗi hệ thống.","Mục đích và ngữ cảnh: tiêu chí lọc chính — ngày nghiệp vụ là đơn vị của kỳ đối chiếu theo FR-SETTLE-01 (RFP:659)
Thành phần hiển thị: nhãn tiếng Việt kèm 業務日; một ô chọn ngày; và một dòng chú thích nói rõ giá trị sai định dạng phải báo lỗi nhập
Chức năng và logic: lọc danh sách theo ngày nghiệp vụ của bản ghi; giá trị sai định dạng bị chặn ngay tại trường chứ không đẩy xuống tầng dưới","on_click",,"transaction","business_date","Lọc theo ngày nghiệp vụ của thực thể giao dịch trong D-TRADE — cùng khoá mà miền D-SETTLE dùng để lock kỳ.","- Ngày nghiệp vụ có giá trị mặc định là ngày đang mở khi vào màn không? Ảnh hiện một ngày cụ thể nhưng thiết kế không khai đó là mặc định.
- Có cần lọc theo khoảng ngày cho bộ phận đối chiếu không? Thiết kế chỉ đòi một ngày."
"2.3","img-009","Bộ lọc Trạng thái","状態","Status filter","dropdown","select_single",,"string","false","Tất cả | Nháp | Chờ xác nhận | Đã chốt | Hủy / Đính chính",,,"Tất cả","Điều kiện: option phải phủ đủ các trạng thái của FIG-012 (RFP:637) — kể cả Chờ xác nhận nếu khách chốt là có bước duyệt.
Lỗi: ""Giá trị trạng thái không hợp lệ."" — giá trị lạ phải báo lỗi; không được im lặng trả về tất cả bản ghi.","Mục đích và ngữ cảnh: lọc danh sách theo chặng của vòng đời FIG-012 để theo dõi tiến độ trong ngày
Thành phần hiển thị: nhãn tiếng Việt kèm 状態; một select với giá trị đầu Tất cả; và một dòng chú thích về tập option và cách xử lý giá trị lạ
Chức năng và logic: tập option bám đúng FIG-012; một giá trị ngoài tập phải bị báo lỗi vì trả về tất cả trong im lặng làm người dùng tưởng đang lọc","on_click",,"transaction","status","Lọc theo trạng thái của D-TRADE. Giá trị Chờ xác nhận của FIG-012 CHƯA TỒN TẠI trong ràng buộc trạng thái hiện có nên option này phụ thuộc quyết định của khách.","- Bộ lọc có cho chọn nhiều trạng thái cùng lúc không? Ảnh chỉ cho thấy một select đơn.
- Nếu khách chốt là không có bước duyệt thì option Chờ xác nhận bỏ khỏi bộ lọc — có cần một đường di dữ liệu nào không? Chưa có bản ghi nào ở chặng đó."
"2.4","img-010","Bộ lọc Người mua","買出人","Buyer filter","text_form","text_filter",,"string","false","<tên người tham gia>",,,,,"Mục đích và ngữ cảnh: lọc theo 買出人 — phục vụ RPT-01 giao dịch theo ngày và RPT-10 theo người tham gia
Thành phần hiển thị: nhãn tiếng Việt kèm 買出人; một ô nhập chữ; và một dòng chú thích dẫn hai báo cáo mà bộ lọc phục vụ
Chức năng và logic: lọc danh sách theo người mua của bản ghi; là tiêu chí mà bộ phận đối chiếu và báo cáo tháng đều dùng",,,"transaction; participant","buyer_participant_id; name","Lọc bắc qua khoá ngoại người mua của D-TRADE sang tên của thực thể người tham gia trong D-PARTY (RFP:602).","- Ô lọc khớp chính xác tên hay khớp một phần tên? Thiết kế không khai và hai cách cho hai kết quả khác nhau.
- Có cần lọc theo mã người tham gia thay vì theo tên để tránh trùng tên không? Thiết kế chỉ nói theo người mua.
- Có cần lọc theo phân loại người tham gia không? FR-PARTY-01 (RFP:629) đòi bốn phân loại không được gộp."
