No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu trang màn ghi ngoại lệ giao hàng","配送例外記録ヘッダー","Delivery exception page header","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: neo màn vào chuỗi truy vết FE-023 → FN-06 → FR-DEL-03 và chỉ ra báo cáo tiêu thụ dữ liệu của màn
Thành phần hiển thị: tiêu đề màn; dòng meta truy vết; nhãn trạng thái thi công
Chức năng và logic: tĩnh — chỉ định danh màn và phạm vi yêu cầu",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-17 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai chuỗi truy vết và chỉ ra màn này là điều kiện của một báo cáo bắt buộc
Thành phần hiển thị: mã FE-023; nhóm FN-06; ưu tiên P1; một yêu cầu chức năng; một miền dữ liệu; sơ đồ; mã báo cáo; route đề xuất; actor
Chức năng và logic: văn bản tĩnh",,,,,,
"1.3","img-004","Nhãn trạng thái thi công","実装状況タグ","Build status tag","label","status_tag",,,,,,,"Chưa thi công",,"Mục đích và ngữ cảnh: cảnh báo màn này chưa có bản thi công nên không có hiện trạng để đối chiếu từng dòng
Thành phần hiển thị: một nhãn chữ
Chức năng và logic: tĩnh — giá trị đến từ trạng thái roster",,,,,,
"2","img-005","Dải cảnh báo màn thuần thiết kế","設計のみ警告バナー","Design-only callout banner","label","callout",,,,,,,,,"Mục đích và ngữ cảnh: nói thẳng ngay đầu màn rằng nội dung bên dưới là thiết kế đọc từ yêu cầu khách chứ không phải mô tả code
Thành phần hiển thị: một dải cảnh báo bốn dòng nêu nguồn của thiết kế và bốn chỗ tiêu thụ dữ liệu của màn
Chức năng và logic: tĩnh; là ghi chú đọc bắt buộc trước khi đọc phần còn lại",,,,,,
"3","img-006","Khối sơ đồ FIG-014 luồng ngoại lệ khi giao hàng","FIG-014 パネル","FIG-014 panel","others","diagram_panel",,,,,,,,,"Mục đích và ngữ cảnh: đặt màn vào đúng một nhánh của sơ đồ FIG-014 và phân biệt nhánh đó với hai nhánh còn lại
Thành phần hiển thị: một sơ đồ chữ ba nhánh kèm một chú thích phân vai từng nhánh
Chức năng và logic: tĩnh; sơ đồ là nguồn của bốn loại ngoại lệ mà màn ghi",,,,,,
"3.1","img-007","Sơ đồ FIG-014 ba nhánh","FIG-014 フロー図","FIG-014 flow diagram","others","flow_diagram",,,,,,,,,"Mục đích và ngữ cảnh: vẽ đủ ba nhánh của sơ đồ yêu cầu khách kể cả nhánh không có yêu cầu chức năng nào đòi
Thành phần hiển thị: một sơ đồ chữ với ba nhánh rẽ từ cùng một cổng hỏi số lượng khớp
Chức năng và logic: tĩnh; nhánh có chênh lệch là nhánh của màn này; nhánh kiểm tra quyền nối sang cơ chế hiệu lực tham gia",,,,,,
"3.2","img-008","Ghi chú phân vai ba nhánh của FIG-014","三分岐注記","Three-branch note","label","inline_note",,,,,,,,,"Mục đích và ngữ cảnh: chặn việc gộp ba nhánh thành một luồng và nói rõ nhánh nào thuộc màn nào
Thành phần hiển thị: một đoạn chú thích hai dòng dẫn FE-007 và BR-PERM-01
Chức năng và logic: tĩnh; là ranh giới phạm vi giữa màn ghi ngoại lệ và cơ chế hiệu lực tham gia",,,,,,"- Nhánh kiểm tra quyền của sơ đồ có phải một loại ngoại lệ giao hàng thứ năm không? Yêu cầu FR-DEL-03 chỉ liệt bốn loại nên hiện không loại nào nhận được tình huống quyền mất hiệu lực giữa lúc giao."
"4","img-009","Khối form ghi ngoại lệ","例外記録フォーム","Exception record form","others","form_panel",,,,,,,,,"Mục đích và ngữ cảnh: đường ghi duy nhất của FE-023: lưu lý do và người xác nhận cho một trong bốn loại ngoại lệ
Thành phần hiển thị: tám trường xếp bốn hàng; một nút gửi; một chú thích hậu quả sau khi ghi
Chức năng và logic: hai trường hệ thống tự đặt; hai trường lấy từ ngữ cảnh; bốn trường người nhập điền; ghi xong thì trạng thái giao hàng chuyển sang ngoại lệ",,,,,,
"4.1","img-010","Trường giao hàng đang ghi ngoại lệ","配送","Delivery reference","label","readonly_field",,"string","true",,,,"TXN-0001 (lấy từ ngữ cảnh; không nhập)","Điều kiện: phiếu giao hàng trong ngữ cảnh không tồn tại
Lỗi: ""Không tìm thấy giao hàng này.""","Mục đích và ngữ cảnh: neo bản ghi ngoại lệ về đúng một phiếu giao hàng; đây là quan hệ bắt buộc của bản ghi
Thành phần hiển thị: nhãn hai ngôn ngữ có dấu bắt buộc và một ô chỉ đọc mang mã giao dịch
Chức năng và logic: lấy từ ngữ cảnh màn trước; không nhận từ dữ liệu người gửi lên",,,"delivery","id","Prototype có thực thể phiếu giao hàng và khoá chính của nó; chỗ thiếu là phía ngoại lệ chứ không phải phía này.",
"4.2","img-011","Trường lần giao liên quan","関連回数","Related shipment","dropdown","single_select",,"string","false",,,,"Lần 2 — SHP-0002 · 60.00","Điều kiện: lần giao đã chọn không thuộc phiếu giao hàng đang ghi
Lỗi: ""Lần giao này không thuộc giao hàng đang xem.""","Mục đích và ngữ cảnh: cho phép ngoại lệ gắn vào một lần giao cụ thể; đây là chiều phân tích mà báo cáo ngoại lệ cần
Thành phần hiển thị: nhãn hai ngôn ngữ; một danh sách chọn liệt số lần và số lượng; một chú thích nói rõ trường không bắt buộc
Chức năng và logic: danh sách chỉ liệt lần giao của chính phiếu giao hàng này; để trống nghĩa là ngoại lệ thuộc cấp phiếu giao hàng",,,"delivery_shipment","id; seq","Prototype có sổ từng lần giao và số thứ tự để chọn; chỗ CHƯA TỒN TẠI là cột nối từ bản ghi ngoại lệ sang lần giao.","- Ngoại lệ gắn vào cấp phiếu giao hàng hay cấp một lần giao cụ thể? Yêu cầu FR-DEL-03 chỉ nói lưu lý do và người xác nhận; chọn sai thì báo cáo ngoại lệ mất chiều phân tích theo lần giao.
- Định dạng nhãn của một lần giao trong danh sách chọn còn thiếu: số lần kèm mã lần giao và số lượng; hay thêm cả ngày nghiệp vụ? Nguồn thiết kế không quy định."
"4.3","img-012","Trường loại ngoại lệ","例外種別","Exception kind","dropdown","single_select",,"string","true","một trong bốn loại của FR-DEL-03: giao thiếu; giao thừa; hoàn trả; hủy một phần",,,"Giao thiếu","Điều kiện: loại ngoại lệ chưa được chọn
Lỗi: ""Vui lòng chọn loại ngoại lệ.""
Điều kiện: loại ngoại lệ không thuộc bốn giá trị của FR-DEL-03
Lỗi: ""Loại ngoại lệ không hợp lệ.""","Mục đích và ngữ cảnh: phân loại ngoại lệ để bảng đối chiếu và báo cáo nhóm được thay vì đọc chữ tự do
Thành phần hiển thị: nhãn có dấu bắt buộc; một danh sách chọn; một chú thích chốt đúng bốn giá trị
Chức năng và logic: đúng bốn giá trị của FR-DEL-03; không có giá trị khác và không có ô nhập tự do thay thế",,,,,"Thiết kế đòi trường này; prototype CHƯA TỒN TẠI bảng hay cột nào lưu ngoại lệ giao hàng nên để trống.","- Có cần một loại thứ năm cho tình huống quyền mất hiệu lực giữa lúc giao mà sơ đồ FIG-014 có vẽ không? Thêm giá trị ngoài bốn loại thì phải được chủ đầu tư chốt vì báo cáo nhóm theo đúng tập này."
"4.4","img-013","Trường số lượng liên quan","数量","Related quantity","text_form","number_input",,"integer","false","số với hai chữ số thập phân",,,"8.00","Điều kiện: số lượng nhỏ hơn hoặc bằng 0
Lỗi: ""Số lượng phải lớn hơn 0.""
Điều kiện: loại là giao thiếu hoặc hoàn trả và số lượng vượt phần đã giao
Lỗi: ""Số lượng vượt phần đã giao.""
Điều kiện: loại là hủy một phần và số lượng vượt số lượng còn lại
Lỗi: ""Số lượng vượt số lượng còn lại.""","Mục đích và ngữ cảnh: cho biết chênh lệch bao nhiêu; là con số bảng đối chiếu ngày dùng để giải thích phần lệch
Thành phần hiển thị: nhãn hai ngôn ngữ; một ô nhập số; một chú thích quy tắc chặn trên theo từng loại ngoại lệ
Chức năng và logic: chặn trên phụ thuộc loại ngoại lệ đã chọn; bắt buộc hay không cũng phụ thuộc loại",,,,,"Thiết kế đòi trường này; prototype CHƯA TỒN TẠI bảng hay cột nào lưu ngoại lệ giao hàng nên để trống.","- Với loại nào thì số lượng liên quan là bắt buộc? Giao thiếu và giao thừa hầu như luôn có con số; nhưng hủy một phần trước khi giao thì có thể chưa có số lượng nào để ghi."
