No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối tiêu đề màn","画面ヘッダー","Screen header block","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: dải đầu trang định vị người đọc — màn nào; thoả tính năng nào; ai là actor
Thành phần hiển thị: một tiêu đề màn; một dòng meta truy vết yêu cầu; và một thẻ trạng thái thi công
Chức năng và logic: chỉ hiển thị — không có tương tác và không có trường nhập",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","page_title",,,,,,,,,"Mục đích và ngữ cảnh: tên màn đặt ngay đầu trang
Thành phần hiển thị: một dòng chữ đậm gồm mã màn SC-02 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース情報","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: chuỗi truy vết của màn theo Feature List — màn này gánh hai tính năng và hai yêu cầu phi chức năng
Thành phần hiển thị: hai mã FE-002 và FE-004; nhóm FN-01; ưu tiên P0; hai mã NFR-SEC-01 và NFR-SEC-03; loại màn Form; và actor
Chức năng và logic: văn bản tĩnh — các mã không phải liên kết điều hướng",,,,,,"- Actor ghi ""các vai trò có quyền phê duyệt nội bộ"" nhưng RFP không liệt vai nào có quyền phê duyệt — diện actor thật là gì? Xem thêm ghi chú ở khối 1."
"1.3","img-004","Thẻ trạng thái thi công",,"Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn này chưa có bản thi công để đối chiếu
Thành phần hiển thị: một thẻ chữ nhỏ viền bo với chữ ""Chưa thi công""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"2","img-005","Khối chú dẫn nền thiết kế và ranh giới tài liệu","設計根拠と文書範囲の注記","Design ground and document scope note","label","scope_note",,,,,,,,,"Mục đích và ngữ cảnh: nói rõ màn vẽ theo nền thiết kế; và nói rõ những gì cố ý KHÔNG vẽ vì đây là tài liệu công khai
Thành phần hiển thị: một khối chú dẫn nền vàng gồm hai mã yêu cầu khách; câu khẳng định cả hai còn hiệu lực; và danh sách bốn thứ không vẽ
Chức năng và logic: bốn thứ không vẽ: cấu hình khoá; cách sinh yếu tố xác thực; nội dung mã dự phòng; luồng khôi phục thiết bị — chốt ở tài liệu bảo mật nội bộ chứ không ở đây",,,,,,"- Tài liệu bảo mật nội bộ chứa bốn hạng mục không vẽ ở đây đã có chưa; và ai là người chốt nội dung đó? Không có tài liệu đó thì màn không dựng được dù thiết kế đã đủ."
"3","img-006","Khối diện bắt buộc MFA","MFA必須対象ブロック","MFA scope block","others","policy_section",,,,,,,,,"Mục đích và ngữ cảnh: khai ai thuộc diện bắt buộc yếu tố xác thực thứ hai — phần ""tài khoản quản trị và các role phê duyệt nội bộ"" của NFR-SEC-01 (RFP:809)
Thành phần hiển thị: một nhãn khối; một bảng ba cột phủ 7 vai trò nội bộ; và một dòng ghi chú nêu rõ phần nào là suy luận
Chức năng và logic: diện bắt buộc phải khai được theo vai trò và đổi được bằng cấu hình — thêm hay bớt vai trò không được sửa màn",,,,,"Thiết kế đòi một nơi khai diện bắt buộc MFA theo vai trò. Thực thể tài khoản nội bộ của miền D-PARTY (RFP:602) CHƯA có cột hay bảng ánh xạ nào cho việc này.","- Diện bắt buộc MFA khai ở đâu — một cột trên thực thể tài khoản; hay một bảng ánh xạ vai trò sang mức bảo mật? Thiết kế đòi đổi được bằng cấu hình nên cách khai quyết định việc thêm vai trò có phải sửa mã hay không."
"3.1","img-007","Tiêu đề khối diện bắt buộc MFA",,"MFA scope block title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: nhãn khối kèm mã yêu cầu khách mà khối này thoả
Thành phần hiển thị: một dòng chữ in hoa nhỏ gồm số thứ tự khối; tên khối và mã NFR-SEC-01
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"3.2","img-008","Bảng diện bắt buộc MFA theo vai trò","ロール別MFA必須対象表","MFA scope by role table","table","policy_table",,,,,,,,,"Mục đích và ngữ cảnh: ánh xạ 7 vai trò nội bộ của TBL-ROLE-01 (RFP:245) sang hai câu hỏi: có quyền phê duyệt nội bộ hay không; và có thuộc diện bắt buộc MFA hay không
Thành phần hiển thị: một bảng ba cột với hàng tiêu đề ""Vai trò""; ""Có quyền phê duyệt nội bộ""; ""Thuộc diện bắt buộc MFA""; và 4 hàng dữ liệu — ba hàng cho ba vai trò lẻ và một hàng gộp bốn vai trò hiện trường
Chức năng và logic: cột thứ ba chỉ có hai giá trị Bắt buộc và Chưa chốt; giá trị Chưa chốt là chỗ chờ chủ đầu tư quyết chứ không phải chỗ đội dựng tự chọn",,,,,"Diện bắt buộc suy từ quyền phê duyệt thực tế của hệ thống; thực thể tài khoản nội bộ của D-PARTY (RFP:602) chưa có nơi lưu diện này.","- RFP KHÔNG định nghĩa vai nào ""có quyền phê duyệt nội bộ"". Cột thứ hai của bảng là suy luận từ trách nhiệm ở TBL-ROLE-01 (RFP:245) và từ GOV-RULE-01 (RFP:601) — chủ đầu tư có xác nhận đúng ba vai trò này không?
- Bốn vai trò hiện trường ở hàng cuối để ""Chưa chốt"" — có phải bật MFA cho họ không? Bật thì thao tác hiện trường trong khung giờ 02:00–10:00 JST (NFR-AVL-01; RFP:804) nặng thêm một bước; không bật thì phải nói rõ vì sao họ ngoài diện.
- SEC-IAM-02 (RFP:810) đòi nêu chính sách MFA cho người tham gia bên ngoài — màn này chỉ phủ người dùng nội bộ; diện bên ngoài thuộc màn nào?"
"3.2.1","img-009","Dòng vai trò trong diện bắt buộc (đại diện)",,"MFA scope row (representative)","others","table_row",,,,,,,,,"Mục đích và ngữ cảnh: một hàng của bảng diện bắt buộc — lấy hàng đầu tiên ROLE-SYS-ADMIN làm đại diện cho cả 4 hàng có cùng kết cấu
Thành phần hiển thị: ba ô: mã vai trò; mô tả quyền phê duyệt của vai đó; và kết luận thuộc diện hay chưa chốt
Chức năng và logic: lặp 4 lần với nội dung khác nhau; kết cấu giống nhau nên gộp về một hàng đại diện",,,,,,
"3.3","img-010","Ghi chú diện bắt buộc là suy luận",,"Inferred scope note","label","open_decision_note",,,,,,,,,"Mục đích và ngữ cảnh: khai thẳng chỗ thiết kế đi trước tài liệu khách — ba vai trò ở đầu bảng là suy luận; bốn vai trò hiện trường là giả định cần khách chốt
Thành phần hiển thị: một đoạn chú thích ba câu: điều NFR-SEC-01 (RFP:809) nói; điều bảng suy ra; và yêu cầu diện bắt buộc phải khai được theo vai trò
Chức năng và logic: không trình bày phần suy luận như thể RFP đã nói — đây là chỗ phải đưa vào biên bản với chủ đầu tư",,,,,,"- Nếu chủ đầu tư chốt một diện khác diện suy luận ở bảng thì phần nào của màn phải sửa? Thiết kế đòi diện đổi được bằng cấu hình nên câu trả lời phải là ""không sửa màn""; cần xác nhận điều đó là khả thi."
