No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Đầu trang màn tiếp nhận lô hàng","ロット受付ヘッダー","Lot intake page header","others","page_header",,,,,,,,,"Mục đích và ngữ cảnh: neo màn vào chuỗi truy vết FE-009 và FE-013 → FN-03 → FR-LOT-01 và NFR-USE-01
Thành phần hiển thị: tiêu đề màn; dòng meta yêu cầu; nhãn trạng thái thi công
Chức năng và logic: tĩnh — chỉ định danh màn và phạm vi yêu cầu",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-08 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai chuỗi truy vết và nêu rõ một yêu cầu phi chức năng cũng là yêu cầu nghiệm thu của màn
Thành phần hiển thị: mã FE-009 và FE-013; nhóm FN-03; ưu tiên P0; hai yêu cầu; loại màn Form; actor
Chức năng và logic: văn bản tĩnh",,,,,,
"1.3","img-004","Nhãn trạng thái thi công","実装状況タグ","Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn đã có bản thi công để đối chiếu; không phải trạng thái nghiệp vụ
Thành phần hiển thị: một nhãn chữ ngắn
Chức năng và logic: tĩnh — không đổi theo dữ liệu",,,,,,
"2","img-005","Khối yêu cầu dùng được bằng bàn phím","キーボード操作要件ブロック","Keyboard operability requirement block","label","requirement_note",,,,,,,,,"Mục đích và ngữ cảnh: NFR-USE-01 đòi luồng nhập lô hàng dùng được bằng bàn phím; thao tác diễn ra 02:00-03:00 sáng tại quầy nên người nhập không rời tay khỏi bàn phím
Thành phần hiển thị: tiêu đề khối và một đoạn diễn giải các ràng buộc cụ thể
Chức năng và logic: ba ràng buộc phải nghiệm thu được — con trỏ tự vào trường đầu khi mở màn; thứ tự chuyển trường khai tường minh theo thứ tự nghiệp vụ chứ không theo thứ tự dựng phần tử; và phím xác nhận ở bất kỳ trường văn bản nào cũng lưu",,,,,,"- Trường chọn tệp có được cướp phím xác nhận không? Nếu có thì đúng cái trường cần bàn phím nhất lại không mở được hộp chọn tệp."
"3","img-006","Khối trường nhập","入力項目ブロック","Input field block","others","form_block",,,,,,,,,"Mục đích và ngữ cảnh: bốn trường mà FR-LOT-01 đòi lưu khi lô hàng đến quầy — mặt hàng; kiện hàng; số lượng ban đầu; chứng từ tiếp nhận
Thành phần hiển thị: bốn trường nhập kèm nhãn song ngữ; số thứ tự chuyển trường; dòng gợi ý cho từng trường — cộng nút lưu
Chức năng và logic: thứ tự chuyển trường từ một tới năm theo thứ tự nghiệp vụ; toàn bộ khối dùng được bằng bàn phím",,,,,,
"3.1","img-007","Trường mặt hàng","品目","Item name","text_form","text_input",,"string","true",,"1","100",,"Điều kiện: mặt hàng rỗng hoặc chỉ gồm khoảng trắng
Lỗi: ""Vui lòng nhập tên mặt hàng.""","Mục đích và ngữ cảnh: mặt hàng của lô; là một trong bốn dữ liệu FR-LOT-01 đòi lưu khi tiếp nhận
Thành phần hiển thị: nhãn song ngữ Mặt hàng · 品目 kèm dấu bắt buộc; ô nhập có chữ gợi ý và số thứ tự chuyển trường một
Chức năng và logic: bắt buộc; cắt khoảng trắng hai đầu trước khi lưu; thông báo lỗi hiện trên đúng trường này",,,"lot","item","Prototype có cột không rỗng cho mặt hàng và kiểm rỗng ở tầng ứng dụng.","- Mặt hàng là chữ tự do hay chọn từ danh mục mặt hàng? Nhập tự do ở quầy 02:00 sẽ sinh nhiều biến thể tên cho cùng một loài."
"3.2","img-008","Trường số kiện","梱数","Package count","text_form","number_input",,"integer","true","số nguyên lớn hơn hoặc bằng 1",,,,"Điều kiện: giá trị không phải số nguyên
Lỗi: ""Số kiện phải là số nguyên.""
Điều kiện: giá trị nhỏ hơn 1
Lỗi: ""Số kiện phải lớn hơn hoặc bằng 1.""","Mục đích và ngữ cảnh: thông tin kiện hàng mà FR-LOT-01 đòi lưu; một lô luôn có ít nhất một kiện
Thành phần hiển thị: nhãn song ngữ Số kiện · 梱数 kèm dấu bắt buộc; ô nhập số với số thứ tự chuyển trường hai
Chức năng và logic: bắt buộc; số nguyên lớn hơn hoặc bằng một; cùng một ngưỡng phải khai một chỗ và áp dụng nhất quán ở cả tầng nhập và tầng dữ liệu",,,"lot","package_count","Prototype có ràng buộc lớn hơn không ở tầng dữ liệu; tầng nhập đặt tối thiểu một nên hai tầng lệch nhau một giá trị.",
"3.3","img-009","Trường số lượng ban đầu","初期数量","Initial quantity","text_form","number_input",,"integer","true","số dương với tối đa hai chữ số thập phân",,,,"Điều kiện: giá trị không phải số hữu hạn
Lỗi: ""Số lượng ban đầu phải là số.""
Điều kiện: giá trị nhỏ hơn hoặc bằng ngưỡng nhỏ nhất mà hai chữ số thập phân biểu diễn được
Lỗi: ""Số lượng ban đầu phải lớn hơn 0 và có tối đa hai chữ số thập phân.""
Điều kiện: giá trị vượt trần độ chính xác của trường số lượng
Lỗi: ""Số lượng ban đầu vượt giới hạn cho phép.""","Mục đích và ngữ cảnh: số lượng ban đầu của lô; là gốc của số lượng khả dụng mà BR-LOT-02 khoá không âm
Thành phần hiển thị: nhãn song ngữ Số lượng ban đầu · 初期数量 kèm dấu bắt buộc; ô nhập số với số thứ tự chuyển trường ba; dòng gợi ý về ngưỡng duy nhất
Chức năng và logic: một ngưỡng duy nhất khai ở một chỗ và áp dụng ở cả tầng nhập; tầng dịch vụ; tầng dữ liệu — nhập sai phải ra lỗi nhập kèm tên trường chứ không trở thành lỗi hệ thống",,,"lot","initial_qty","Prototype dùng số có hai chữ số thập phân với ràng buộc lớn hơn không; ba tầng lệch nhau nên một giá trị nhỏ hơn ngưỡng biểu diễn được sẽ vỡ ràng buộc và thành lỗi hệ thống.",
"3.4","img-010","Trường chứng từ tiếp nhận","受付証憑","Intake documents","file_or_image","multi_file_upload",,"string","true","ảnh hoặc PDF",,,,"Điều kiện: không chọn tệp nào
Lỗi: ""Vui lòng đính kèm chứng từ tiếp nhận.""
Điều kiện: loại tệp nằm ngoài danh sách cho phép
Lỗi: ""Chứng từ phải là ảnh hoặc PDF.""
Điều kiện: một tệp vượt trần dung lượng
Lỗi: ""Chứng từ vượt quá dung lượng cho phép.""
Điều kiện: số tệp vượt trần cho một lô
Lỗi: ""Vượt số tệp cho phép cho một lô hàng.""","Mục đích và ngữ cảnh: tiêu chí nghiệm thu của FR-LOT-01 ghi lưu được các chứng từ bắt buộc; nên chứng từ là trường bắt buộc chứ không phải tuỳ chọn
Thành phần hiển thị: nhãn song ngữ Chứng từ tiếp nhận · 受付証憑 kèm dấu bắt buộc; ô chọn tệp cho nhiều tệp với số thứ tự chuyển trường bốn; dòng gợi ý về loại tệp và trần dung lượng kèm một nhãn chưa chốt
Chức năng và logic: kiểm mọi tệp trước khi tạo lô để một tệp xấu không để lại lô mồ côi; loại tệp kiểm bằng nội dung tệp chứ không tin lời khai của trình duyệt",,,"lot_attachment","file_path; file_name; mime_type; file_size","Prototype có thực thể đính kèm và bốn cột này; trần dung lượng và danh sách loại tệp chỉ được kiểm ở tầng ứng dụng; trần số tệp thì không có.","- Loại chứng từ nào là bắt buộc theo nghiệp vụ — phiếu tiếp nhận; phiếu giao hàng; hay cả hai? Yêu cầu khách viết chứng từ bắt buộc nhưng không liệt loại nào."
