No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu trang màn danh sách giao hàng","配送一覧ヘッダー","Delivery list page header","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: neo màn vào chuỗi truy vết FE-020 → FN-06 → FR-DEL-01 và khai miền dữ liệu mà màn chạm
Thành phần hiển thị: tiêu đề màn; dòng meta truy vết yêu cầu; nhãn trạng thái thi công
Chức năng và logic: tĩnh — chỉ định danh màn và phạm vi yêu cầu; không có tương tác",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-15 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai chuỗi truy vết một tính năng một yêu cầu để đọc màn không phải tra chỗ khác
Thành phần hiển thị: mã FE-020; nhóm FN-06; ưu tiên P0; một yêu cầu chức năng; hai miền dữ liệu; sơ đồ liên quan; mã thi công; route; actor
Chức năng và logic: văn bản tĩnh",,,,,,
"1.3","img-004","Nhãn trạng thái thi công","実装状況タグ","Build status tag","label","status_tag",,,,,,,"Đã dựng",,"Mục đích và ngữ cảnh: cho biết màn này đã có bản thi công để đối chiếu; khác với màn còn là thiết kế thuần
Thành phần hiển thị: một nhãn chữ
Chức năng và logic: tĩnh — giá trị đến từ trạng thái roster; không đổi theo dữ liệu nghiệp vụ",,,,,,
"2","img-005","Khối bộ lọc danh sách","絞り込みパネル","Filter panel","others","filter_panel",,,,,,,,,"Mục đích và ngữ cảnh: thu hẹp danh sách theo bốn tiêu chí mà khâu giao nhận dùng thật trong khung giờ cập nhật giao nhận
Thành phần hiển thị: bốn ô lọc xếp một hàng kèm chú thích từng ô; một nút áp dụng
Chức năng và logic: gửi bốn tiêu chí về cùng một truy vấn danh sách; không tiêu chí nào bắt buộc; để trống là không lọc theo tiêu chí đó",,,,,,
"2.1","img-006","Ô lọc ngày nghiệp vụ","業務日フィルター","Business date filter","date_picker","single_date",,"date","false","YYYY-MM-DD",,,"2026-09-09","Điều kiện: ngày nhập lớn hơn ngày nghiệp vụ hiện tại theo JST
Lỗi: ""Ngày nghiệp vụ không nhận ngày tương lai.""
Điều kiện: chuỗi ngày không đúng dạng YYYY-MM-DD
Lỗi: ""Ngày nghiệp vụ không đúng định dạng.""","Mục đích và ngữ cảnh: chọn ngày nghiệp vụ cần theo dõi; mặc định là ngày đang diễn ra
Thành phần hiển thị: nhãn hai ngôn ngữ; một ô chọn ngày; một chú thích về mốc múi giờ
Chức năng và logic: neo theo giờ Nhật; không nhận ngày tương lai vì ngày nghiệp vụ là ngày đã hoặc đang diễn ra","on_click","Ở lại màn; nạp lại danh sách theo ngày đã chọn","transaction","business_date","Prototype có cột này với ràng buộc không rỗng và lọc theo đúng nó; nhưng ô lọc không có chặn trên nên ngày tương lai vẫn nhập được và cho ra danh sách rỗng không lời giải thích.","- Ngày nghiệp vụ của danh sách lọc theo ngày của giao dịch hay theo ngày của từng lần giao? Hai cách cho hai danh sách khác nhau vì một lần giao có ngày riêng."
"2.2","img-007","Ô lọc trạng thái giao hàng","状態フィルター","Delivery status filter","dropdown","single_select",,"string","false",,,,"Tất cả","Điều kiện: giá trị chọn không thuộc bốn trạng thái của FR-DEL-01
Lỗi: ""Trạng thái không hợp lệ.""","Mục đích và ngữ cảnh: thu hẹp danh sách về một bước của vòng đời giao hàng
Thành phần hiển thị: nhãn hai ngôn ngữ; một danh sách chọn có giá trị Tất cả; một chú thích liệt bốn trạng thái
Chức năng và logic: danh sách chọn phải đủ bốn trạng thái của FR-DEL-01 cộng giá trị Tất cả","on_click","Ở lại màn; nạp lại danh sách theo trạng thái đã chọn","delivery","status","Prototype có ràng buộc bốn giá trị trên cột này nhưng danh sách chọn chỉ đưa ra ba; giá trị ngoại lệ bị bỏ vì chưa đường ghi nào đặt được.","- Danh sách chọn nên đưa ra đủ bốn trạng thái ngay từ đầu; hay chỉ mở giá trị ngoại lệ sau khi màn ghi ngoại lệ chạy? Chọn sai thì người dùng gặp một bộ lọc luôn trả rỗng.
- Chọn được nhiều trạng thái cùng lúc hay chỉ một? Khâu giao nhận thường cần xem chờ và đang giao chung một danh sách.
- Định dạng hiển thị của giá trị trạng thái còn thiếu: hiện nguyên văn bốn nhãn của FR-DEL-01; hay có mã ngắn đi kèm để lọc bằng bàn phím?"
"2.3","img-008","Ô lọc mã giao dịch","取引番号フィルター","Transaction code filter","text_form","text_input",,"string","false",,,,"TXN-0001",,"Mục đích và ngữ cảnh: tìm nhanh một giao dịch cụ thể khi hiện trường đọc mã trên phiếu
Thành phần hiển thị: nhãn hai ngôn ngữ và một ô nhập chữ
Chức năng và logic: để trống là không lọc theo mã; cách khớp mã còn là câu hỏi mở","on_click","Ở lại màn; nạp lại danh sách theo mã giao dịch đã nhập","transaction","txn_code","Prototype có cột này với ràng buộc duy nhất nhưng chưa có đường lọc nào theo nó ở màn danh sách giao hàng.","- Ô này tìm khớp đúng cả mã hay khớp một phần mã? Người ở hiện trường thường chỉ đọc được vài ký tự cuối trên phiếu.
- Định dạng mã giao dịch còn thiếu trong nguồn thiết kế: mã có luôn là tiền tố cố định cộng số thứ tự; hay có thêm phần theo ngày? Cần biết trước khi kiểm định dạng ô nhập."
"2.4","img-009","Ô lọc người tham gia","買出人フィルター","Participant filter","dropdown","single_select",,"string","false",,,,"Tất cả",,"Mục đích và ngữ cảnh: xem tiến độ giao của một người tham gia; nhu cầu thường gặp khi có khiếu nại
Thành phần hiển thị: nhãn hai ngôn ngữ; một danh sách chọn; một chú thích cấm hiện thông tin liên hệ
Chức năng và logic: chỉ hiện tên người tham gia; không bao giờ hiện thông tin liên hệ cá nhân trên danh sách chọn","on_click","Ở lại màn; nạp lại danh sách theo người tham gia đã chọn","participant","name","Prototype có cột tên và quan hệ từ giao dịch sang người mua nhưng màn danh sách giao hàng chưa hiển thị và chưa lọc theo người tham gia.","- Danh sách chọn chỉ gồm người tham gia còn hiệu lực; hay gồm cả người đã mất hiệu lực? Giao hàng của giao dịch cũ vẫn phải giao nên có thể cần cả nhóm sau.
- Định dạng nhãn người tham gia còn thiếu: chỉ tên; hay tên kèm mã và phân loại người tham gia? Cần biết để danh sách chọn không có hai dòng trùng tên."
"2.5","img-010","Nút áp dụng bộ lọc","絞り込みボタン","Apply filter button","button",,"text_only",,,,,,,,"Mục đích và ngữ cảnh: gom bốn tiêu chí thành một lần truy vấn thay vì nạp lại mỗi lần đổi một ô
Thành phần hiển thị: một nút chữ
Chức năng và logic: gửi bốn tiêu chí; giữ nguyên tiêu chí sau khi nạp lại để người dùng thấy mình đang lọc theo gì","on_click","Ở lại màn; nạp lại bảng danh sách theo bốn tiêu chí đang đặt và giữ tiêu chí trên đường dẫn để chia sẻ lại được",,,,
