No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Đầu trang màn ghi kết quả đánh giá","目利き結果記録ヘッダー","Appraisal entry page header","others","page_header",,,,,,,,,"Mục đích và ngữ cảnh: neo màn vào chuỗi truy vết FE-010 → FN-03 → FR-LOT-02 và ràng buộc phạm vi SCOPE-OUT-01
Thành phần hiển thị: tiêu đề màn; dòng meta yêu cầu; nhãn trạng thái thi công
Chức năng và logic: tĩnh — chỉ định danh màn và phạm vi yêu cầu",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-09 và tên màn tiếng Việt kèm thuật ngữ tiếng Nhật
Chức năng và logic: văn bản tĩnh; tên màn còn phụ thuộc câu hỏi chưa chốt về hai thuật ngữ",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai chuỗi truy vết và nêu rõ một ràng buộc phạm vi cũng nằm trong yêu cầu của màn
Thành phần hiển thị: mã FE-010; nhóm FN-03; ưu tiên P0; một yêu cầu chức năng và một ràng buộc phạm vi; loại màn Form; actor
Chức năng và logic: văn bản tĩnh",,,,,,
"1.3","img-004","Nhãn trạng thái thi công","実装状況タグ","Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn đã có bản thi công để đối chiếu; không phải trạng thái nghiệp vụ
Thành phần hiển thị: một nhãn chữ ngắn
Chức năng và logic: tĩnh — không đổi theo dữ liệu",,,,,,
"2","img-005","Khối ranh giới phán đoán của con người","人の判断境界ブロック","Human judgment boundary block","label","requirement_note",,,,,,,,,"Mục đích và ngữ cảnh: SCOPE-OUT-01 loại hẳn khỏi phạm vi việc đánh giá tự động độ tươi; chất lượng; phân loại loài — nên màn này chỉ ghi nhận phán đoán của con người
Thành phần hiển thị: tiêu đề khối và một đoạn diễn giải ranh giới theo FIG-008
Chức năng và logic: rút ra bốn điều màn không được có — không chấm điểm; không gợi ý hạng; không xếp loại tự động; và không ô nào mang nghĩa hệ thống đánh giá",,,,,,
"3","img-006","Khối ngữ cảnh lô hàng","ロット情報ブロック","Lot context block","others","content_block",,,,,,,,,"Mục đích và ngữ cảnh: người đánh giá phải biết đang ghi cho lô nào và bản ghi rơi vào kỳ nào trước khi ghi
Thành phần hiển thị: bốn trường chỉ đọc gồm mã lô; mặt hàng; trạng thái hiện tại; ngày nghiệp vụ của lô
Chức năng và logic: chỉ đọc; đọc mở cho các vai vận hành vì đây là ngữ cảnh chứ không phải dữ liệu ghi",,,,,,
"3.1","img-007","Trường mã lô","ロット番号","Lot code","label","readonly_field",,"string",,,,,,,"Mục đích và ngữ cảnh: định danh lô đang ghi kết quả; là mã người đánh giá đối chiếu với mã ghi trên kiện hàng thật
Thành phần hiển thị: nhãn song ngữ Mã lô · ロット番号 và một ô chỉ đọc
Chức năng và logic: chỉ đọc; giá trị mang sang từ màn tiếp nhận hoặc từ màn chi tiết lô",,,"lot","lot_code","Prototype có cột mã lô duy nhất; màn đọc thẳng theo định danh lô trên đường dẫn.",
"3.2","img-008","Trường mặt hàng","品目","Item name","label","readonly_field",,"string",,,,,,,"Mục đích và ngữ cảnh: mặt hàng của lô; giúp người đánh giá xác nhận đang đứng trước đúng lô
Thành phần hiển thị: nhãn song ngữ Mặt hàng · 品目 và một ô chỉ đọc
Chức năng và logic: chỉ đọc; không sửa được ở màn này — sửa thuộc tính lô thuộc màn chi tiết lô",,,"lot","item","Prototype có cột mặt hàng không rỗng.",
"3.3","img-009","Trường trạng thái hiện tại của lô","現在の状態","Current lot status","label","readonly_field",,"string",,"một trong năm trạng thái của FIG-011",,,,,"Mục đích và ngữ cảnh: điều kiện tiền đề của màn — chỉ lô ở bước một của FIG-011 mới chờ ghi kết quả đánh giá
Thành phần hiển thị: nhãn song ngữ Trạng thái hiện tại · 状態; ô chỉ đọc ghi trạng thái kèm vị trí bước; dòng gợi ý về điều kiện tiền đề
Chức năng và logic: chỉ đọc; lô ở bước khác thì màn không hiện form nhập mà hiện kết quả đã có",,,"lot","status","Prototype có bốn giá trị trên cột này và thiếu giá trị cho bước hai của FIG-011.",
"3.4","img-010","Trường ngày nghiệp vụ của lô","ロットの業務日","Lot business date","label","readonly_field",,"date",,"YYYY-MM-DD",,,,,"Mục đích và ngữ cảnh: bản ghi kết quả thừa hưởng ngày nghiệp vụ của lô; nên người ghi phải thấy ngày đó trước khi ghi để biết bản ghi thuộc kỳ nào
Thành phần hiển thị: nhãn song ngữ Ngày nghiệp vụ của lô · 業務日; ô chỉ đọc; dòng gợi ý về lý do phải hiện
Chức năng và logic: chỉ đọc; đây là dữ liệu quyết định việc kỳ đã lock có chặn hay không nên không được ẩn",,,"lot","business_date","Prototype có cột này và bản ghi đánh giá sao lại giá trị đó; nhưng màn hiện không hiển thị ngày này ở đâu.",
