No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn quản lý tranh chấp",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết của nó; cho biết đây là nhánh quản lý tồn đọng của nhóm đối chiếu và chốt kỳ.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt kê FE-027 · FN-07 · ưu tiên P1 · FR-SETTLE-03 · miền dữ liệu D-SETTLE · báo cáo tiêu thụ RPT-09 · thông báo FR-NOTIFY-01; dòng tham chiếu phụ nêu chưa có mã thi công và route đề xuất cùng một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác.",,,,,,
"1.1","img-002","Tiêu đề màn","紛争管理","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở màn mở · theo dõi và đóng tranh chấp phát sinh khi rà số cuối ngày.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-19 và tên màn.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về đúng tính năng và điều khoản yêu cầu; đồng thời khai route còn là đề xuất chứ chưa phải đường thật.
Thành phần hiển thị: Hai dòng chữ nhỏ: dòng tính năng · ưu tiên · yêu cầu · miền dữ liệu · báo cáo và thông báo; dòng tham chiếu phụ nêu chưa có mã thi công cùng route đề xuất và actor.
Chức năng và logic: Tĩnh; không có liên kết điều hướng.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn chưa có bản thi công nào để đối chiếu; mọi mô tả trên màn là thiết kế phải dựng.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn cuối dòng tham chiếu phụ với nội dung Chưa thi công.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu.",,,,,,
"2","img-005","Dải cảnh báo màn chưa có bản thi công",,"Not-yet-built banner","label","dải cảnh báo đầu màn",,,,,,,,,"Mục đích và ngữ cảnh: Nói thẳng khoảng trống: mọi trường trên màn đọc từ FR-SETTLE-03 và cột nghiệm thu của nó chứ không từ một bản cài đặt nào.
Thành phần hiển thị: Dải chữ nhỏ nền vàng nhạt viền nét đứt nằm ngay dưới khối đầu màn; câu đầu in đậm.
Chức năng và logic: Chỉ trình bày; là ghi chú tài liệu chứ không phải thành phần sản phẩm.",,,,,,
"3","img-006","Khối 1 — sáu trường FR-SETTLE-03 đòi",,"Required field inventory block","others","khối bảng ba cột",,,,,,,,,"Mục đích và ngữ cảnh: Liệt kê đủ các trường FR-SETTLE-03 và cột nghiệm thu của nó đòi; đây là bảng kiểm để không thiết kế thiếu trường nào.
Thành phần hiển thị: Khối viền nét đứt tiêu đề dẫn FR-SETTLE-03; bên dưới là bảng ba cột Trường · Nguồn · Vì sao có với sáu dòng.
Chức năng và logic: Chỉ đọc; nội dung là ràng buộc phạm vi áp lên khối chi tiết tranh chấp và khối lịch sử cập nhật.",,,,,,
"3.1","img-007","Bảng sáu trường và nguồn yêu cầu",,"Field-to-requirement mapping table","table","bảng ba cột",,,,,,,,,"Mục đích và ngữ cảnh: Truy từng trường về đúng câu chữ của yêu cầu khách hàng; bốn trường lấy từ thân yêu cầu và hai trường lấy từ cột nghiệm thu.
Thành phần hiển thị: Sáu dòng: Trạng thái tranh chấp · Nguyên nhân · Người phụ trách xử lý đến từ FR-SETTLE-03; Ngày dự kiến xử lý và Lịch sử cập nhật đến từ nghiệm thu FR-SETTLE-03; Kết quả cuối cùng đến từ FR-SETTLE-03.
Chức năng và logic: Chỉ đọc; kết luận quan trọng nhất của bảng là Lịch sử cập nhật phải là một bảng con chỉ thêm chứ không phải một ô ghi chú.",,,,,"Miền dữ liệu D-SETTLE. Thiết kế đòi trường này nhưng bản thi công CHƯA có bảng tranh chấp nào nên không có bảng và cột thật để dẫn.","Nghiệm thu FR-SETTLE-03 đòi danh sách tranh chấp đang mở nên trạng thái tối thiểu phải phân biệt đang mở với đã đóng; tập giá trị đầy đủ do khách chốt."
"4","img-008","Khối 2 — danh sách tranh chấp đang mở",,"Open dispute list block","others","khối lọc và bảng danh sách",,,,,,,,,"Mục đích và ngữ cảnh: Hàng đợi việc của bộ phận đối chiếu; nghiệm thu FR-SETTLE-03 đòi đúng chữ danh sách tranh chấp đang mở nên đây là hạng mục bắt buộc chứ không phải tiện ích.
Thành phần hiển thị: Khối viền nét đứt gồm một hàng bốn ô lọc; bảng tám cột ba dòng mẫu; hai nút Lọc và Mở tranh chấp mới; một đoạn ghi chú nguồn tiêu thụ.
Chức năng và logic: Mặc định lọc theo trạng thái đang mở; là nguồn dữ liệu của báo cáo RPT-09 và của thông báo tranh chấp đang mở thuộc phạm vi FR-NOTIFY-01.",,,,,"Miền dữ liệu D-SETTLE. Thiết kế đòi trường này nhưng bản thi công CHƯA có bảng tranh chấp nào nên không có bảng và cột thật để dẫn.","Danh sách có phân trang không; và sắp xếp mặc định theo ngày dự kiến gần nhất hay theo số ngày tồn đọng lớn nhất?"
"4.1","img-009","Ô lọc Trạng thái","状態","Status filter","dropdown","ô chọn một giá trị",,"string","false",,,,"Đang mở","Điều kiện: chỉ nhận giá trị thuộc tập trạng thái tranh chấp đã chốt với chủ đầu tư.
Lỗi: giá trị ngoài tập phải bị từ chối và nói rõ là lọc sai chứ không trả danh sách rỗng im lặng.","Mục đích và ngữ cảnh: Chọn nhóm tranh chấp cần xem; mặc định là đang mở vì màn này là hàng đợi việc chứ không phải kho lưu trữ.
Thành phần hiển thị: Nhãn Trạng thái; ô chọn hiện Đang mở kèm mũi tên; dòng nhắc bên dưới giải thích lý do chọn mặc định đó.
Chức năng và logic: Giá trị mặc định đang mở; tập giá trị đầy đủ chưa được yêu cầu khách hàng liệt nên phải chốt trước khi cài.","on_click","Đổi giá trị rồi bấm Lọc thì tải lại bảng danh sách theo trạng thái mới; không rời màn.",,,"Miền dữ liệu D-SETTLE. Thiết kế đòi trường này nhưng bản thi công CHƯA có bảng tranh chấp nào nên không có bảng và cột thật để dẫn.","Tập giá trị trạng thái tranh chấp gồm những giá trị nào; yêu cầu khách hàng không liệt tập này ở đâu.
Bộ lọc có nhớ lựa chọn lần trước khi người dùng trở lại màn không?"
"4.2","img-010","Ô lọc Ngày nghiệp vụ","業務日","Business date filter","date_picker","ô chọn ngày một dòng",,"date","false","YYYY-MM-DD",,,,"Điều kiện: đúng định dạng YYYY-MM-DD và là một ngày thật.
Lỗi: định dạng sai thì báo lỗi tại ô lọc và giữ nguyên danh sách cũ.","Mục đích và ngữ cảnh: Khoanh danh sách về một ngày nghiệp vụ cụ thể khi cần rà lại số của ngày đó.
Thành phần hiển thị: Nhãn Ngày nghiệp vụ · 業務日 và ô nhập ngày hiện mẫu 2026-09-08.
Chức năng và logic: Không bắt buộc; bỏ trống thì danh sách không giới hạn theo ngày.","on_click","Lọc danh sách theo ngày nghiệp vụ của tranh chấp; không rời màn.",,,"Miền dữ liệu D-SETTLE. Thiết kế đòi trường này nhưng bản thi công CHƯA có bảng tranh chấp nào nên không có bảng và cột thật để dẫn.","Lọc theo một ngày duy nhất là đủ hay cần lọc theo khoảng ngày cho việc rà tồn đọng nhiều ngày?"
"4.3","img-011","Ô lọc Nguồn phát sinh","発生元","Source type filter","dropdown","ô chọn một giá trị",,"string","false",,,,"Tất cả","Điều kiện: chỉ nhận ba loại nguồn của bảng đối chiếu ngày — giao dịch thoả thuận · đấu giá · giao hàng — hoặc giá trị Tất cả.
Lỗi: giá trị khác phải bị từ chối.","Mục đích và ngữ cảnh: Cho phép tách tranh chấp theo nơi phát sinh vì cách xử lý ba nhánh khác nhau.
Thành phần hiển thị: Nhãn Nguồn phát sinh; ô chọn hiện Tất cả; dòng nhắc liệt ba nguồn của bảng đối chiếu ngày FE-025.
Chức năng và logic: Tập giá trị lấy đúng ba nguồn của bảng đối chiếu ngày để tranh chấp luôn trỏ về một dòng có thật.","on_click","Lọc danh sách theo loại nguồn phát sinh; không rời màn.",,,"Miền dữ liệu D-SETTLE. Thiết kế đòi trường này nhưng bản thi công CHƯA có bảng tranh chấp nào nên không có bảng và cột thật để dẫn.","Ngoài ba nguồn của bảng đối chiếu ngày có nguồn tranh chấp nào khác cần mở không; ví dụ tranh chấp về tiền thưởng?"
