No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn trạng thái vận hành suy giảm",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh thành phần và chuỗi truy vết; khai ngay rằng đây là Component cắt ngang chứ không phải một trang có route.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt FE-045 · FN-14 · ưu tiên P1 · mã yêu cầu NFR-AVL-02 · loại Component · actor là người dùng tại hiện trường · một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác nào.",,,,,,
"1.1","img-002","Tiêu đề màn","縮退運転ステータス","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người đọc biết thành phần này là chỉ báo trạng thái vận hành suy giảm của hệ.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã SC-32 và tên thành phần.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối thành phần về FE-045 và mã yêu cầu duy nhất chi phối nó; khai luôn rằng không có URL để mở.
Thành phần hiển thị: Hai dòng chữ nhỏ liệt tên tính năng · nhóm chức năng · ưu tiên P1 · NFR-AVL-02 · chữ Component kèm ghi chú không có route riêng và không có URL để mở · bốn vai trò hiện trường · một thẻ trạng thái.
Chức năng và logic: Tĩnh; không có liên kết điều hướng.",,,,,,"Bốn vai trò hiện trường ghi ở dòng metadata có phải danh sách đóng của người thấy banner trong màn không?"
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết thành phần chưa có bản thi công nào để đối chiếu.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn cuối dòng metadata với nội dung Chưa thi công.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu chứ không từ dữ liệu nghiệp vụ.",,,,,,
"2","img-005","Dải chú thích yêu cầu và ranh giới thành phần cắt ngang",,"Requirement and boundary notice","label","dải chú thích đầu màn",,,,,,,,,"Mục đích và ngữ cảnh: Ghim nguyên văn yêu cầu duy nhất của thành phần; và khai ranh giới quan trọng nhất là đây là Component chồng lên màn khác.
Thành phần hiển thị: Một dải chú thích nền vàng nhạt ba đoạn: đoạn khai chưa thi công và nói hiện trạng code dồn xuống khối đối chiếu cuối trang; đoạn dẫn nguyên văn NFR-AVL-02 gồm hai nửa là tối thiểu tiếp tục thực hiện tác vụ khi kết nối bị ngắt trong thời gian ngắn và cách đồng bộ lại khi dịch vụ trở lại; kèm nghiệm thu là kịch bản diễn tập business continuity cho từng tác vụ quan trọng; đoạn khai đây là Component không phải trang nên wireframe vẽ chồng lên khung giả lập của SC-16.
Chức năng và logic: Tĩnh. Kết luận của đoạn thứ ba là ràng buộc thiết kế: không có route; không có 404 riêng; và cả hai nửa của yêu cầu đều phải thấy được trên thành phần.",,,,,,"Hai nửa của yêu cầu có cùng một phạm vi nghiệm thu; hay nửa đồng bộ lại được nghiệm thu riêng?"
"3","img-006","Khối danh sách tác vụ quan trọng",,"Critical task scope block","others","khối bảng bốn cột kèm hai ghi chú",,,,,,,,,"Mục đích và ngữ cảnh: Khai danh sách tác vụ cần chạy được khi mất kết nối; và khai luôn rằng danh sách này là suy ra chứ không phải trích dẫn.
Thành phần hiển thị: Tiêu đề khối nói yêu cầu không liệt kê tác vụ nào và ba tác vụ dưới đây cần khách xác nhận; một bảng bốn cột ba hàng dữ liệu; hai đoạn ghi chú về nguồn của con số ba và về hai màn nhập tại chỗ không được gọi tên.
Chức năng và logic: Chỉ đọc; nội dung là phạm vi nghiệm thu đề xuất của thành phần.",,,,,,"Danh sách tác vụ quan trọng là cấu hình được hay cố định trong bản dựng?"
"3.1","img-007","Bảng ba tác vụ quan trọng","重要業務一覧表","Critical task table","table","bảng bốn cột ba dòng dữ liệu",,,,,,,,,"Mục đích và ngữ cảnh: Cho thấy chính xác ba tác vụ được đề xuất tính là tác vụ quan trọng và rủi ro đồng bộ lại của từng tác vụ.
Thành phần hiển thị: Bốn cột: tác vụ · màn · vì sao là tác vụ hiện trường · đồng bộ lại; ba hàng dữ liệu cho nhập lô hàng; chốt giao dịch và ghi nhận giao hàng.
Chức năng và logic: Chỉ đọc; mỗi hàng gắn một màn có ghi dữ liệu và một ca đồng bộ lại có thể thất bại.",,,,,,"Nếu khách chốt thêm tác vụ thì bảng này và phạm vi banner sinh lại theo cấu hình hay phải sửa mã?"
"3.1.1","img-008","Hàng tiêu đề bảng tác vụ",,"Task table header row","label","hàng tiêu đề bảng",,,,,,,,,"Mục đích và ngữ cảnh: Đặt tên bốn cột để đọc được ba hàng dữ liệu bên dưới.
Thành phần hiển thị: Bốn ô tiêu đề: Tác vụ · Màn · Vì sao là tác vụ hiện trường · Đồng bộ lại.
Chức năng và logic: Tĩnh; không sắp xếp được.",,,,,,
"3.1.2","img-009","Hàng tác vụ Nhập lô hàng",,"Lot intake task row","others","hàng dữ liệu bảng",,,,,,,,,"Mục đích và ngữ cảnh: Tác vụ thứ nhất trong danh sách suy ra; gắn với màn tiếp nhận lô hàng.
Thành phần hiển thị: Bốn ô: tên tác vụ Nhập lô hàng; màn SC-08 với route tạo lô; lý do là lô đến trong khung dịch vụ 02:00–10:00 JST và nhập ngay tại bến; rủi ro đồng bộ lại là cấp mã lô thuộc server nên trùng mã khi replay phải chặn được.
Chức năng và logic: Chỉ đọc. Hàng này nói ra một ràng buộc thật: mã lô do server cấp nên thao tác nằm trong hàng đợi chưa có mã cho tới khi đồng bộ thành công.",,,,,"CHƯA TỒN TẠI: bảng hàng đợi đồng bộ chưa tồn tại ở phía máy chủ; mọi giá trị của thành phần đọc từ hàng đợi cục bộ trên thiết bị.","Khi mất kết nối thì mã lô hàng hiển thị tạm cho người dùng là gì; và đổi sang mã thật lúc đồng bộ ra sao?"
"3.1.3","img-010","Hàng tác vụ Chốt giao dịch",,"Trade confirmation task row","others","hàng dữ liệu bảng",,,,,,,,,"Mục đích và ngữ cảnh: Tác vụ thứ hai; gắn với màn tạo giao dịch trực tiếp.
Thành phần hiển thị: Bốn ô: tên tác vụ Chốt giao dịch; màn SC-11 với route tạo giao dịch; lý do là chốt giá tại sàn và không chờ được; rủi ro đồng bộ lại là số lượng khả dụng có thể đã đổi lúc replay nên xung đột là thật và không tự giải được.
Chức năng và logic: Chỉ đọc. Hàng này là ca xung đột nặng nhất của danh sách: một giao dịch hợp lệ lúc nhập có thể vô hiệu lúc đồng bộ.",,,,,"CHƯA TỒN TẠI: bảng hàng đợi đồng bộ chưa tồn tại ở phía máy chủ; mọi giá trị của thành phần đọc từ hàng đợi cục bộ trên thiết bị.","Người dùng thấy gì khi giao dịch trong hàng đợi bị từ chối vì số lượng đã hết; và ai chịu trách nhiệm nhập lại?"
"3.1.4","img-011","Hàng tác vụ Ghi nhận giao hàng",,"Delivery recording task row","others","hàng dữ liệu bảng",,,,,,,,,"Mục đích và ngữ cảnh: Tác vụ thứ ba; gắn với màn chi tiết giao hàng và các lần giao.
Thành phần hiển thị: Bốn ô: tên tác vụ Ghi nhận giao hàng; màn SC-16 với route chi tiết giao hàng; lý do là ghi từng lần giao ngoài hiện trường trên tablet; rủi ro đồng bộ lại là lần giao thuộc ngày nghiệp vụ lúc nhập và ngày đó có thể đã lock lúc replay.
Chức năng và logic: Chỉ đọc. Hàng này là nguồn của field số bảy: phải giữ ngày nghiệp vụ lúc nhập mới trả lời được thao tác thuộc ngày nào.",,,,,"CHƯA TỒN TẠI: bảng hàng đợi đồng bộ chưa tồn tại ở phía máy chủ; mọi giá trị của thành phần đọc từ hàng đợi cục bộ trên thiết bị.","Thao tác nhập trước 10:00 mà chỉ đồng bộ được sau đó thì hiển thị thuộc ngày nghiệp vụ nào trên màn?"
