No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn tạo yêu cầu điều chỉnh",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết của nó; cho biết đây là điểm vào của nhóm điều chỉnh sau khi chốt.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt kê FE-028 · FN-08 · ưu tiên P0 · FR-CORR-01 cùng các ràng buộc kèm và actor; dòng tham chiếu phụ nêu mã thi công · loại màn · route và một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác.",,,,,,
"1.1","img-002","Tiêu đề màn","修正依頼の作成","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở màn tạo yêu cầu điều chỉnh cho một giao dịch thuộc ngày đã chốt.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-20 và tên màn.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về đúng tính năng và điều khoản yêu cầu; nêu rõ FR-CORR-01 là yêu cầu chính và ba mã còn lại là ràng buộc kèm.
Thành phần hiển thị: Hai dòng chữ nhỏ: dòng tính năng · ưu tiên · yêu cầu và actor; dòng tham chiếu phụ nêu mã thi công · loại màn Form · route và thẻ trạng thái.
Chức năng và logic: Tĩnh; không có liên kết điều hướng.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn đã có bản thi công để đối chiếu.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn cuối dòng tham chiếu phụ với nội dung Đã dựng.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu.",,,,,,
"2","img-005","Khối thiết kế đòi theo cột nghiệm thu",,"Acceptance-criteria block","others","khối bảng hai cột",,,,,,,,,"Mục đích và ngữ cảnh: Dịch cột nghiệm thu của yêu cầu khách hàng thành điều phải thấy được trên màn; là bảng kiểm khi nghiệm thu màn này.
Thành phần hiển thị: Tiêu đề khối; bên dưới là bảng hai cột ba dòng cho FR-CORR-01 · cặp FR-CORR-03 và BR-CLOSE-01 · FR-AUDIT-01.
Chức năng và logic: Chỉ đọc; nội dung là ràng buộc phạm vi áp lên ba khối bước bên dưới.",,,,,,
"2.1","img-006","Bảng yêu cầu và điều phải thấy trên màn",,"Requirement-to-screen mapping table","table","bảng hai cột",,,,,,,,,"Mục đích và ngữ cảnh: Neo từng khối của màn về đúng câu chữ nghiệm thu để không thiết kế thêm hay bớt.
Thành phần hiển thị: Ba dòng: FR-CORR-01 đòi bản ghi yêu cầu riêng kèm lý do · bằng chứng đính kèm · trạng thái phê duyệt và giao dịch gốc không đổi trước khi được phê duyệt; FR-CORR-03 cùng BR-CLOSE-01 đòi yêu cầu điều chỉnh là đường ghi hợp lệ duy nhất sau khi chốt kỳ; FR-AUDIT-01 đòi thao tác tạo truy được chủ thể · thời điểm · lý do và bằng chứng.
Chức năng và logic: Chỉ đọc; cụm giao dịch gốc không bị thay đổi và cụm đường ghi hợp lệ duy nhất là hai bất biến của màn.",,,"correction_request","target_txn_id; reason; evidence_path; status; requested_by; created_at","Miền dữ liệu D-SETTLE và D-TRADE. Bảng thi công có thật và khớp thiết kế: bản ghi yêu cầu điều chỉnh là bản ghi riêng; INSERT vào bảng này không chịu tầng chặn ghi theo ngày lock.",
"3","img-007","Khối Bước 1 — chọn giao dịch đã chốt",,"Step 1 transaction lookup block","others","khối tra mã",,,,,,,,,"Mục đích và ngữ cảnh: Bước đầu của luồng: tìm ra giao dịch đích. Không có giao dịch đích thì không có gì để điều chỉnh nên hai khối sau chưa hiện.
Thành phần hiển thị: Tiêu đề khối; một ô nhập mã giao dịch chiếm gần hết chiều ngang và một nút Tra mã ở mép phải.
Chức năng và logic: Kết quả tra quyết định màn ở trạng thái rỗng hay đã có giao dịch đích.",,,,,,
"3.1","img-008","Ô nhập Mã giao dịch","取引番号","Transaction code","text_form","ô nhập một dòng",,"string","true","TXN-NNNN theo mẫu hiển thị TXN-0001",,,,"Điều kiện: mã phải khớp đúng một giao dịch có thật.
Lỗi: ""Không tìm thấy giao dịch với mã này."" / 「この取引番号は見つかりません。」 — hiện ngay tại chỗ chứ không điều hướng.","Mục đích và ngữ cảnh: Chỗ người quyết toán nhập mã giao dịch cần điều chỉnh; mã này là khoá duy nhất để tìm ra bản ghi đích.
Thành phần hiển thị: Nhãn Mã giao dịch kèm dấu sao bắt buộc; ô nhập một dòng hiện mẫu TXN-0001; dòng nhắc bên dưới nêu thông báo lỗi khi không tìm thấy ở cả tiếng Việt và tiếng Nhật.
Chức năng và logic: Tra không khớp bản ghi nào thì hiện lỗi ngay tại ô nhập; người dùng sửa mã rồi tra lại mà không mất ngữ cảnh.",,,"transaction","txn_code","Mã giao dịch là khoá duy nhất dùng để tra ra giao dịch đích. Màn chỉ ĐỌC theo cột này và không bao giờ ghi vào bảng giao dịch.","Mã giao dịch có buộc đúng mẫu TXN-NNNN hay chấp nhận mã tự do?
Có cần chặn độ dài và ký tự lạ ngay tại ô nhập trước khi gửi tra không?
Tra không thấy thì có giữ lại giá trị vừa nhập trong ô để sửa tiếp không?"
"3.2","img-009","Nút Tra mã","照会","Lookup button","button","nút phụ trong hàng","text_only",,,,,,,,"Mục đích và ngữ cảnh: Kích hoạt việc tra cứu giao dịch đích; đây là hành động duy nhất khả dụng khi màn còn ở trạng thái rỗng.
Thành phần hiển thị: Nút chữ Tra mã đặt ngang hàng với ô nhập mã giao dịch ở mép phải khối Bước 1.
Chức năng và logic: Không đổi dữ liệu; chỉ nạp giao dịch đích để hiện hai khối sau.","on_click","Tra giao dịch theo mã đã nhập. Tìm thấy thì Bước 2 và Bước 3 hiện ra; không tìm thấy thì chỉ hiện lỗi ngay tại ô nhập.",,,,"Bấm Tra mã khi ô nhập còn rỗng thì hiện lỗi gì hay bỏ qua không làm gì?
Trong lúc tra có cần trạng thái đang tải riêng cho nút này không?"
"4","img-010","Khối Bước 2 — giao dịch đích chỉ đọc",,"Step 2 read-only target block","others","khối ba ô chỉ đọc",,,,,,,,,"Mục đích và ngữ cảnh: Hiện giá trị hiện tại của giao dịch đích để người lập nhìn thấy mình đang đề nghị sửa cái gì; toàn khối chỉ đọc vì thiết kế cấm sửa giao dịch gốc.
Thành phần hiển thị: Tiêu đề khối dẫn FR-CORR-01; một hàng ba ô chỉ đọc nền xám là Số lượng gốc · Đơn giá gốc · Ngày nghiệp vụ; một đoạn ghi chú cuối khối.
Chức năng và logic: Không có ô nào ghi vào giao dịch gốc; điều này đúng cả trước khi yêu cầu được duyệt.",,,"transaction","qty; unit_price; business_date","Chỉ đọc từ bảng giao dịch của miền D-TRADE; không có đường ghi nào từ màn này vào bảng đó.","Ngoài số lượng · đơn giá · ngày nghiệp vụ thì người lập còn cần thấy trường nào của giao dịch gốc để viết lý do chính xác?"
"4.1","img-011","Ô hiển thị Số lượng gốc","元の数量","Original quantity","label","ô chỉ đọc",,,,,,,,,"Mục đích và ngữ cảnh: Cho người lập thấy số lượng đang được ghi nhận của giao dịch đích.
Thành phần hiển thị: Nhãn Số lượng gốc và ô chỉ đọc nền xám hiện mẫu 120.00 với hai chữ số thập phân.
Chức năng và logic: Chỉ đọc; là một trong hai số mà người duyệt ở SC-21 dùng để tính lại phần chênh lệch.",,,"transaction","qty","Chỉ đọc; giá trị này không đổi cho tới khi yêu cầu điều chỉnh được duyệt.",
"4.2","img-012","Ô hiển thị Đơn giá gốc","元の単価","Original unit price","label","ô chỉ đọc",,,,,,,,,"Mục đích và ngữ cảnh: Cho người lập thấy đơn giá đang được ghi nhận của giao dịch đích.
Thành phần hiển thị: Nhãn Đơn giá gốc và ô chỉ đọc nền xám hiện mẫu 1 850 JPY.
Chức năng và logic: Chỉ đọc; đơn giá là số nguyên JPY nên mọi phần chênh lệch đơn giá cũng phải là số nguyên.",,,"transaction","unit_price","Chỉ đọc; đơn giá tính bằng JPY và không có phần lẻ.",
"4.3","img-013","Ô hiển thị Ngày nghiệp vụ của giao dịch đích","業務日","Business date","label","ô chỉ đọc",,,,"YYYY-MM-DD",,,,"Điều kiện: chỉ giao dịch thuộc ngày nghiệp vụ ĐÃ chốt kỳ đi qua màn này.
Lỗi: ngày chưa chốt thì không nhận yêu cầu và chỉ đường về màn giao dịch để sửa trực tiếp.","Mục đích và ngữ cảnh: Trường quyết định màn có nhận yêu cầu hay không; đây là điều kiện đảo ngược so với các màn sửa trực tiếp.
Thành phần hiển thị: Nhãn Ngày nghiệp vụ và ô chỉ đọc hiện ngày kèm nhãn đã chốt kỳ; dòng nhắc bên dưới nói rõ ngày chưa chốt thì sửa thẳng ở màn giao dịch.
Chức năng và logic: Điều kiện bắt buộc là ngày đã chốt; đường điều chỉnh chỉ mở SAU khi ngày đã lock chứ không phải trước.",,,"transaction","business_date","Ngày nghiệp vụ của giao dịch đích được đối chiếu với bảng lock kỳ của miền D-SETTLE: phải có dòng lock cho ngày đó mới nhận yêu cầu.","Người lập vào màn khi ngày chưa chốt thì màn chỉ hiện thông báo hay điều hướng thẳng sang màn giao dịch?"
"4.4","img-014","Ghi chú khối chỉ đọc",,"Read-only block note","label","đoạn nhắc dưới khối",,,,,,,,,"Mục đích và ngữ cảnh: Nhấn lại bất biến của FR-CORR-01 ngay tại chỗ dễ cài sai nhất: một ô nhập lọt vào khối này là phá bất biến.
Thành phần hiển thị: Một đoạn chữ nhỏ cuối khối Bước 2.
Chức năng và logic: Chỉ trình bày; nội dung là ràng buộc áp lên ba ô chỉ đọc của khối.",,,,,,
