No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Đầu trang màn cảnh báo hiệu lực","有効期限警告ヘッダー","Expiry warning page header","others","page_header",,,,,,,,,"Mục đích và ngữ cảnh: neo màn vào chuỗi truy vết FE-008 → FN-02 → FR-PARTY-03 và khai rõ màn chưa thi công
Thành phần hiển thị: tiêu đề màn; dòng meta yêu cầu; nhãn trạng thái thi công
Chức năng và logic: tĩnh — chỉ định danh màn và phạm vi yêu cầu",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","heading",,,,,,,,,"Mục đích và ngữ cảnh: định danh màn trong bộ 32 màn của thiết kế
Thành phần hiển thị: mã màn SC-07 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース行","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: khai chuỗi truy vết và ưu tiên P1 để phân biệt màn này với hai màn P0 còn lại của FN-02
Thành phần hiển thị: mã FE-008; nhóm FN-02; ưu tiên P1; yêu cầu FR-PARTY-03; loại màn List; actor
Chức năng và logic: văn bản tĩnh",,,,,,"- Actor của FE-008 ghi là nhân viên vận hành chợ nhưng không khớp trực tiếp vai trò nào trong bảy vai trò nội bộ — màn này thuộc vai nào?"
"1.3","img-004","Nhãn trạng thái chưa thi công","未実装タグ","Not built tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: khai rõ toàn bộ màn là thiết kế phải dựng chứ không phải ảnh của bản thi công
Thành phần hiển thị: một nhãn chữ ngắn
Chức năng và logic: tĩnh — không đổi theo dữ liệu",,,,,,
"2","img-005","Khối tiêu chí nghiệm thu FR-PARTY-03","受入基準の注記","Acceptance criteria note","label","acceptance_note",,,,,,,,,"Mục đích và ngữ cảnh: chép nguyên tiêu chí nghiệm thu của FR-PARTY-03 vì hai chữ cấu hình được quyết định toàn bộ hình dạng màn
Thành phần hiển thị: một khối ghi chú nổi bật ở đầu màn
Chức năng và logic: tĩnh; rút ra hai hệ quả — ngưỡng phải là dữ liệu cấu hình có người sửa và có lịch sử sửa; và ngưỡng phải tách theo căn cứ tham gia vì RFP §02-08 cấm gộp 許可 với 承認",,,,,,
"3","img-006","Khối cấu hình ngưỡng cảnh báo","警告しきい値設定ブロック","Warning threshold config block","others","config_block",,,,,,,,,"Mục đích và ngữ cảnh: chỗ đáp ứng hai chữ cấu hình được của FR-PARTY-03; không có khối này thì màn chỉ là một báo cáo có ngưỡng cứng
Thành phần hiển thị: bảng ngưỡng hiện hành theo căn cứ tham gia; hai trường nhập ngưỡng và lý do; nút lưu; ghi chú về câu hỏi chưa chốt
Chức năng và logic: ngưỡng lưu theo từng căn cứ tham gia; mỗi lần đổi ngưỡng ghi audit kèm lý do và giá trị trước và sau",,,,,,
"3.1","img-007","Bảng ngưỡng hiện hành theo căn cứ tham gia","しきい値一覧","Threshold table","table","config_table",,,,,,,,,"Mục đích và ngữ cảnh: cho thấy ngưỡng đang áp dụng cho từng căn cứ tham gia; cột người sửa và thời điểm sửa là bằng chứng cho FR-AUDIT-01
Thành phần hiển thị: năm cột và ba dòng — một dòng cho mỗi căn cứ tham gia giấy phép; chấp thuận; đăng ký chợ
Chức năng và logic: chỉ đọc; ba dòng độc lập vì thủ tục gia hạn của ba căn cứ khác nhau; dòng đăng ký chợ áp cho hai phân loại nên phân loại áp dụng liệt cả hai",,,,,"Thiết kế đòi một thực thể cấu hình ngưỡng cảnh báo khoá theo căn cứ tham gia; prototype chưa có thực thể nào cho việc này nên để trống có ý thức chứ không phải bỏ sót.","- Lịch sử đổi ngưỡng cần giữ bao lâu; và có cần xem lại được ngưỡng đã áp dụng ở một thời điểm quá khứ không? Bảng hiện chỉ hiện lần sửa gần nhất."
"3.1.1","img-008","Dòng ngưỡng theo căn cứ (đại diện cho ba dòng)","しきい値行","Threshold row","label","table_row",,"integer",,"số nguyên dương; đơn vị ngày",,,,,"Mục đích và ngữ cảnh: một căn cứ tham gia và ngưỡng cảnh báo của nó; ba dòng cùng cấu trúc nên gộp một đại diện
Thành phần hiển thị: tên căn cứ tham gia; các phân loại áp dụng; số ngày ngưỡng; tên người sửa gần nhất; thời điểm sửa kèm hậu tố múi giờ
Chức năng và logic: chỉ đọc; số ngày là số nguyên dương; các giá trị mẫu trên wireframe là minh hoạ và không phải con số khách đã chốt",,,,,"Thiết kế đòi khoá theo căn cứ tham gia để ba ngưỡng tách được; prototype chưa có thực thể cấu hình nên để trống.","- Ba con số ngưỡng mẫu trên wireframe chỉ là minh hoạ — giá trị khởi tạo cho mỗi căn cứ là bao nhiêu? Yêu cầu khách không cho con số nào."
"3.2","img-009","Trường ngưỡng số ngày","しきい値（日数）","Threshold in days","text_form","number_input",,"integer","true","số nguyên dương; đơn vị ngày",,,,"Điều kiện: giá trị không phải số nguyên
Lỗi: ""Ngưỡng phải là số nguyên.""
Điều kiện: giá trị nhỏ hơn hoặc bằng không
Lỗi: ""Ngưỡng phải lớn hơn 0 ngày.""","Mục đích và ngữ cảnh: số ngày trước ngày hết hiệu lực mà profile bắt đầu vào danh sách cảnh báo; là tham số cấu hình được mà FR-PARTY-03 đòi
Thành phần hiển thị: nhãn Ngưỡng số ngày kèm dấu bắt buộc; một ô nhập số; một dòng gợi ý nói mỗi căn cứ một giá trị riêng
Chức năng và logic: bắt buộc; số nguyên dương; lưu cho đúng căn cứ tham gia đang chọn chứ không lưu một giá trị dùng chung",,,,,"Thiết kế đòi cột số ngày trong thực thể cấu hình ngưỡng; prototype chưa có thực thể đó nên để trống.","- Ngưỡng có trần trên không; ví dụ 365 ngày? Không có trần thì một giá trị quá lớn làm danh sách cảnh báo mất tác dụng."
"3.3","img-010","Trường lý do đổi ngưỡng","しきい値変更理由","Threshold change reason","text_form","text_input",,"string","true",,"1",,,"Điều kiện: lý do rỗng hoặc chỉ gồm khoảng trắng
Lỗi: ""Vui lòng nhập lý do đổi ngưỡng.""","Mục đích và ngữ cảnh: đổi ngưỡng là đổi quy tắc vận hành chứ không phải đổi một tuỳ chọn hiển thị; nên FR-AUDIT-01 đòi truy được lý do
Thành phần hiển thị: nhãn Lý do đổi ngưỡng kèm dấu bắt buộc; một ô nhập; một dòng gợi ý về audit
Chức năng và logic: bắt buộc; ghi vào bản ghi kiểm toán cùng giá trị ngưỡng trước và sau",,,"audit_log","reason","Thực thể kiểm toán đã có trong prototype và dùng lại được; nhưng thao tác đổi ngưỡng thì chưa tồn tại.",
