No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn xem và xuất báo cáo","画面ヘッダー","Screen header block","others","khối đầu trang",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn SC-26 — nơi mọi người dùng nội bộ xem một mã báo cáo theo bộ lọc rồi xuất CSV.
Thành phần hiển thị: Tiêu đề màn ở dòng trên; dưới là dòng metadata gồm ba mã FE; mã FN; mức ưu tiên; danh sách yêu cầu khách; actor và thẻ trạng thái dựng.
Chức năng và logic: Thuần hiển thị; không có tương tác. Màn dùng chung cho cả 12 mã báo cáo; mã đang xem nằm ở tham số route.",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","tiêu đề trang",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết đang ở màn xem dữ liệu báo cáo; không phải màn danh mục báo cáo SC-25.
Thành phần hiển thị: Một dòng chữ gồm mã màn SC-26 và tên màn Xem và xuất báo cáo.
Chức năng và logic: Tĩnh; không đổi theo mã báo cáo đang xem.",,,,,,
"1.2","img-003","Dòng metadata màn","画面メタ情報","Screen metadata line","label","dòng metadata",,,,,,,,,"Mục đích và ngữ cảnh: Truy được từ màn về đúng ba nhóm tính năng và đúng yêu cầu khách mà màn phải thoả.
Thành phần hiển thị: Chuỗi phân tách bằng dấu · gồm ba mã FE kèm dải mã báo cáo của từng nhóm; mã FN-10; mức ưu tiên tách theo nhóm; ba mã yêu cầu khách; actor cả 7 vai trò kèm ngoại lệ tạo batch chỉ dành cho bộ phận quyết toán; mã thi công SCR026_ReportViewer; route /reports/[reportCode] và thẻ trạng thái.
Chức năng và logic: Tĩnh. Dòng này khai rõ hai mức ưu tiên khác nhau trong cùng một màn: nhóm ngày và nhóm kế toán là P0; nhóm tháng là P1.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn","実装状況タグ","Build status tag","label","thẻ trạng thái",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn đã có bản thi công để đối chiếu; không phải cam kết rằng cả 12 mã báo cáo đã chạy thật.
Thành phần hiển thị: Một thẻ chữ nhỏ nằm cuối dòng metadata.
Chức năng và logic: Tĩnh. Số mã chạy thật và số mã còn dùng dữ liệu mẫu nằm ở khối đối chiếu prototype cuối màn.",,,,,,
"2","img-005","Khối ba nhóm báo cáo và bộ lọc bắt buộc","レポートカタログブロック","Report catalog block","others","khối tài liệu danh mục",,,,,,,,,"Mục đích và ngữ cảnh: Liệt đủ 12 mã báo cáo bắt buộc của khách; kèm bộ lọc bắt buộc của từng mã.
Thành phần hiển thị: Tiêu đề khối; một bảng bốn cột gộp dòng theo ba nhóm FE và một ghi chú về yêu cầu báo cáo tháng.
Chức năng và logic: Thuần hiển thị tài liệu. Đây là toàn bộ bề mặt báo cáo: 12 mã cố định; không có đường tự tạo mã mới hay tự tạo mẫu báo cáo.",,,,,,
"2.1","img-006","Bảng danh mục 12 mã báo cáo","12レポートカタログテーブル","Twelve report catalog table","table","bảng tài liệu",,,,,,,,,"Mục đích và ngữ cảnh: Đầy đủ 12 mã báo cáo của TBL-REPORT-01; chia theo ba nhóm tính năng và kèm bộ lọc bắt buộc.
Thành phần hiển thị: Mười hai dòng trong bốn cột nhóm FE; mã; nội dung; bộ lọc bắt buộc. Nhóm FE-034 gồm RPT-01 đến RPT-05; nhóm FE-035 gồm RPT-06 đến RPT-09; nhóm FE-036 gồm RPT-10 đến RPT-12.
Chức năng và logic: Bảng tĩnh; không lọc. Cột bộ lọc bắt buộc quyết định biểu mẫu bên dưới hiện field nào cho mã đang xem.",,,,,,"- Với mỗi mã; tập cột đầu ra được chốt ở đâu: trong tài liệu này; hay trong một phụ lục riêng theo mã?
- Khi khách đổi bộ lọc bắt buộc của một mã thì đây là thay đổi phạm vi; hay là cấu hình?"
"2.2","img-007","Ghi chú yêu cầu báo cáo tháng","月次レポート要件の注記","Monthly report requirement note","label","ghi chú khối",,,,,,,,,"Mục đích và ngữ cảnh: Khai ràng buộc riêng của nhóm báo cáo tháng: số tháng không được trộn hai phiên bản biểu suất mà không nói rõ.
Thành phần hiển thị: Một đoạn ghi chú dưới bảng danh mục: nhóm tháng phải tổng hợp theo ngày nghiệp vụ và phiên bản rule; RPT-12 hiện thẳng version và ngày hiệu lực; RPT-10 và RPT-11 phải ghi version đã dùng cho kỳ tổng hợp.
Chức năng và logic: Thuần hiển thị. Đây là hệ quả của việc phiên bản biểu suất có thể đổi giữa tháng: một con số tháng không nêu version là con số không giải thích được.",,,,,,"- Khi một tháng có hai phiên bản biểu suất thì RPT-10 và RPT-11 tách dòng theo version; hay gộp một dòng và liệt các version đã dùng?"
"3","img-008","Khối bộ lọc dùng chung","共通絞り込みブロック","Shared filter block","others","khối bộ lọc",,,,,,,,,"Mục đích và ngữ cảnh: Một biểu mẫu lọc dùng chung cho cả 12 mã; mỗi mã chỉ hiện những field mà danh mục khai là bắt buộc của nó.
Thành phần hiển thị: Tiêu đề khối; hàng đầu gồm ô chọn Ngày nghiệp vụ và ô chọn Kỳ đối tượng hoặc Tháng; hàng sau gồm ô chọn Người tham gia; ô chọn Bộ lọc riêng của mã và ô nhập Batch code; cuối cùng là nút Lọc và nút Xoá điều kiện.
Chức năng và logic: Gửi bằng phương thức GET về chính màn; không ghi dữ liệu. Bộ lọc thiếu hoặc sai phải báo lỗi tại field và không được âm thầm thay bằng giá trị mặc định.",,,,,,
"3.1","img-009","Ô chọn Ngày nghiệp vụ","営業日","Business date input","date_picker","ô chọn ngày bắt buộc",,"date","true","YYYY-MM-DD",,,,"Điều kiện: giá trị phải đúng dạng YYYY-MM-DD và là một ngày lịch thật.
Lỗi: báo lỗi ngay tại field; tuyệt đối không âm thầm thay bằng ngày hôm nay.
Điều kiện: field là bắt buộc với các mã khai nó trong danh mục.
Lỗi: báo lỗi tại field và không chạy truy vấn.","Mục đích và ngữ cảnh: Chọn ngày nghiệp vụ cần xem; là bộ lọc bắt buộc của năm mã RPT-01; RPT-04; RPT-05; RPT-06 và RPT-08.
Thành phần hiển thị: Nhãn Ngày nghiệp vụ kèm dấu bắt buộc; ô ngày mang giá trị mẫu 2026-09-08; dòng gợi ý liệt kê các mã dùng field này và nhắc giá trị sai định dạng phải báo lỗi ngay tại field.
Chức năng và logic: Đọc lệch ngày là sai số liệu đối chiếu; nên hành vi bắt buộc là báo lỗi chứ không thay giá trị. Field này chỉ hiện với các mã có khai nó trong danh mục.",,"Không điều hướng; nạp lại chính màn với ngày đã chọn.",,,"Ngày nghiệp vụ là trục lọc chung; mỗi mã báo cáo áp nó lên thực thể riêng của mình như giao dịch; giao hàng; dòng đối chiếu hay log điều chỉnh. Vì một field lọc trải nhiều thực thể nên phần mapping cột để trống.","- Ngày nghiệp vụ mặc định khi mở màn là hôm nay; hay ngày nghiệp vụ đã chốt gần nhất?
- Có cho chọn ngày ở tương lai không; vì báo cáo ngày tương lai luôn rỗng?"
"3.2","img-010","Ô chọn Kỳ đối tượng hoặc Tháng","対象期間・対象月","Period or month input","date_picker","ô chọn kỳ bắt buộc",,"date","true","YYYY-MM",,,,"Điều kiện: giá trị phải đúng dạng YYYY-MM và là một tháng lịch thật.
Lỗi: báo lỗi ngay tại field; không âm thầm thay bằng kỳ khác.
Điều kiện: field là bắt buộc với các mã khai nó trong danh mục.
Lỗi: báo lỗi tại field và không chạy truy vấn.","Mục đích và ngữ cảnh: Chọn kỳ tính thưởng hoặc tháng tổng hợp; không phải ngày nghiệp vụ.
Thành phần hiển thị: Nhãn Kỳ đối tượng / Tháng kèm dấu bắt buộc; ô mang giá trị mẫu 2026-09; dòng gợi ý nói đây là kỳ tính 完納奨励金 của RPT-07 và tháng tổng hợp của RPT-10 và RPT-11.
Chức năng và logic: Field này khác ô Ngày nghiệp vụ về ý nghĩa và về độ chi tiết; gộp hai field là nguồn của đọc lệch số liệu.",,"Không điều hướng; nạp lại chính màn với kỳ đã chọn.",,,"Với RPT-07 đây là kỳ tính thưởng nên áp lên kỳ của kết quả tính thưởng; với RPT-10 và RPT-11 đây là tháng tổng hợp trải nhiều ngày nghiệp vụ. Vì một field lọc phục vụ hai nghĩa khác nhau nên phần mapping cột để trống.","- Kỳ của RPT-07 là một tháng; hay là một ngày nghiệp vụ đã chốt như ở SC-22?
- Nếu là một ngày thì hai field này nên tách hẳn nhãn và định dạng để không bị nhập lẫn?"
