No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn quản lý file đính kèm",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết; cho biết đây là màn quản lý chứng từ xuyên lô hàng.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; dòng metadata liệt kê FE-044 · FN-14 · ưu tiên P1 · ba mã yêu cầu · các mục tham chiếu · loại màn List và Detail · hai route đề xuất · actor · một thẻ trạng thái.
Chức năng và logic: Chỉ trình bày; không nhận thao tác nào.",,,,,,
"1.1","img-002","Tiêu đề màn","添付ファイル管理","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở màn quản lý toàn bộ file đính kèm của hệ.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-31 và tên màn.
Chức năng và logic: Tĩnh.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về FE-044 và ba mã yêu cầu; khai luôn rằng màn chạm mục bảo vệ thông tin cá nhân.
Thành phần hiển thị: Hai dòng chữ nhỏ liệt tính năng · nhóm chức năng · ưu tiên · TBL-ATTACH-01 · DR-RET-01 · DR-IMAGE-01 · các mục tham chiếu · loại màn · hai route đề xuất · actor là bộ phận đối chiếu · thẻ trạng thái.
Chức năng và logic: Tĩnh; không có liên kết điều hướng.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn chưa có bản thi công nào để đối chiếu.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn cuối dòng metadata với nội dung Chưa thi công.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu chứ không từ dữ liệu nghiệp vụ.",,,,,,
"2","img-005","Dải chú thích ba mã yêu cầu và ranh giới phán định",,"Requirement and boundary notice","label","dải chú thích đầu màn",,,,,,,,,"Mục đích và ngữ cảnh: Ghim ba mã yêu cầu chi phối màn; và khai một ranh giới quan trọng: không có phân loại tự động.
Thành phần hiển thị: Một dải chú thích nền vàng nhạt ba đoạn: đoạn khai màn chưa thi công; đoạn dẫn TBL-ATTACH-01 và DR-RET-01 với policy bảy năm và ba năm rồi chuyển tầng nguội kèm nghiệm thu là kiểm tra policy lưu trữ và diễn tập phục hồi; đoạn dẫn DR-IMAGE-01 nêu yêu cầu khách không đòi phán định chất lượng tự động và mọi gán nhãn phải giữ yêu cầu con người xác nhận.
Chức năng và logic: Tĩnh. Kết luận của đoạn thứ ba là ràng buộc thiết kế: phân loại tài liệu do người đặt và người xác nhận; không suy tự động.",,,,,,
"3","img-006","Khối policy lưu trữ hai tầng",,"Two-tier retention policy block","others","khối bảng bốn cột kèm ghi chú",,,,,,,,,"Mục đích và ngữ cảnh: Trích nguyên văn bảng policy lưu trữ của yêu cầu khách; là nguồn của bốn field trên màn.
Thành phần hiển thị: Tiêu đề khối dẫn TBL-ATTACH-01 và nêu rõ đây là nguồn của field số 3 · 4 · 11 · 12; bảng bốn cột ba hàng dữ liệu; một đoạn ghi chú về lý do màn tồn tại.
Chức năng và logic: Chỉ đọc; nội dung là ràng buộc phạm vi áp lên bộ lọc và danh sách bên dưới.",,,,,,
"3.1","img-007","Bảng policy lưu trữ","保管ポリシー表","Retention policy table","table","bảng bốn cột ba dòng dữ liệu",,,,,,,,,"Mục đích và ngữ cảnh: Cho thấy chính xác ba nhóm tài liệu mà yêu cầu khách chia; và nhóm nào thuộc phạm vi màn.
Thành phần hiển thị: Bốn cột: loại tài liệu · thời gian lưu online · sau đó · trong phạm vi màn này; ba hàng dữ liệu cho nhóm bảy năm; nhóm ba năm và nhóm hồ sơ dự án.
Chức năng và logic: Chỉ đọc. Cột cuối là phần khoanh phạm vi của chúng tôi chứ không phải nội dung của yêu cầu khách.",,,,,,
"3.1.1","img-008","Hàng tiêu đề bảng policy",,"Retention table header row","label","hàng tiêu đề bảng",,,,,,,,,"Mục đích và ngữ cảnh: Đặt tên bốn cột của bảng policy lưu trữ.
Thành phần hiển thị: Một hàng nền xám nhạt với bốn nhãn: Loại tài liệu · Thời gian lưu online · Sau đó · Trong phạm vi màn này.
Chức năng và logic: Tĩnh.",,,,,,
"3.1.2","img-009","Hàng nhóm lưu trữ bảy năm",,"Seven-year retention row","others","hàng dữ liệu bảng",,,,,,,,,"Mục đích và ngữ cảnh: Nhóm thứ nhất của policy: chứng từ nghiệp vụ giữ online lâu nhất.
Thành phần hiển thị: Bốn ô: phiếu tiếp nhận và phiếu giao dịch và bảng đối chiếu · bảy năm in đậm · theo policy lưu trữ của Chủ đầu tư · Có thuộc nhóm bảy năm.
Chức năng và logic: Chỉ đọc. Hết bảy năm thì yêu cầu khách để ngỏ bước sau nên màn không tự quyết bước đó.",,,,,"CHƯA TỒN TẠI: bảng đính kèm đã có thật nhưng không có cột phân loại tài liệu nào; nên hiện không phân biệt được nhóm bảy năm với nhóm ba năm.","Ba loại tài liệu của nhóm này có phải là ba giá trị riêng biệt hay là một nhóm chung khi người dùng chọn?
Hết bảy năm thì màn hiện trạng thái gì; yêu cầu khách chỉ nói theo policy của Chủ đầu tư."
"3.1.3","img-010","Hàng nhóm lưu trữ ba năm",,"Three-year retention row","others","hàng dữ liệu bảng",,,,,,,,,"Mục đích và ngữ cảnh: Nhóm thứ hai của policy; và là nhóm duy nhất có vòng đời chuyển tầng thật.
Thành phần hiển thị: Bốn ô: hình ảnh và chứng từ phụ trợ về tranh chấp hoặc giao hàng · ba năm in đậm · tầng nguội in đậm kèm mốc phục hồi trong tối đa hai ngày làm việc · Có thuộc nhóm ba năm.
Chức năng và logic: Chỉ đọc. Mốc tối đa hai ngày làm việc là con số của yêu cầu khách và là lý do tầng lưu trữ phải thấy được trên từng file.",,,,,"CHƯA TỒN TẠI: không có cột tầng lưu trữ và không có mốc chuyển tầng nào trên bảng đính kèm đã có.","Hai ngày làm việc tính theo lịch nào; lịch ngày nghiệp vụ của chợ hay lịch hành chính?
Một file thuộc cả tranh chấp và giao hàng thì xếp nhóm nào?"
"3.1.4","img-011","Hàng nhóm ngoài phạm vi màn",,"Out-of-scope retention row","others","hàng dữ liệu bảng",,,,,,,,,"Mục đích và ngữ cảnh: Khoanh rõ nhóm thứ ba nằm ngoài phạm vi màn; để không ai mở rộng màn sang hồ sơ dự án.
Thành phần hiển thị: Bốn ô: tài liệu diễn tập chuyển đổi và hồ sơ nghiệm thu · theo vòng đời dự án · theo phương châm lưu trữ của dự án · Không in đậm kèm lý do là hồ sơ dự án chứ không phải dữ liệu chạy trong hệ.
Chức năng và logic: Chỉ đọc. Đây là quyết định khoanh phạm vi của chúng tôi và cần khách xác nhận.",,,,,,"Nhóm hồ sơ dự án có cần một chỗ quản lý trong hệ không; hay giữ ngoài hệ như đề xuất?"
"3.2","img-012","Ghi chú lý do màn tồn tại",,"Why-this-screen note","label","đoạn nhắc dưới khối",,,,,,,,,"Mục đích và ngữ cảnh: Nêu hệ quả của việc không phân loại được tài liệu; đây là lý lẽ chính để dựng màn.
Thành phần hiển thị: Một đoạn chữ nhỏ: hai tầng lưu trữ là lý do màn tồn tại vì không phân loại được thì không biết file nào thuộc nhóm nào; tức không thi hành được DR-RET-01; xếp sai nhóm là hoặc chuyển tầng nguội sớm bốn năm và mất bằng chứng không lấy lại được; hoặc giữ online quá hạn.
Chức năng và logic: Tĩnh; là căn cứ ưu tiên; không phải mô tả giao diện.",,,,,,
"4","img-013","Khối bộ lọc file đính kèm",,"Attachment filter block","others","khối bộ lọc sáu điều kiện và ba nút",,,,,,,,,"Mục đích và ngữ cảnh: Nơi người đối chiếu tìm chứng từ xuyên lô hàng và xuyên loại tài liệu.
Thành phần hiển thị: Tiêu đề khối nêu phạm vi field số 1 tới số 6; hai hàng sáu điều kiện; ba nút hành động cuối khối.
Chức năng và logic: Mọi điều kiện đều không bắt buộc. Nút thứ ba là một bộ lọc nhanh cho nhóm quá hạn online mà chưa chuyển tầng nguội.",,,,,,
"4.1","img-014","Ô Ngày tải lên từ","アップロード日 開始","Upload date from","date_picker","ô chọn ngày kèm nhãn và dòng nhắc",,"date","false","YYYY-MM-DD",,,,"Điều kiện: phải nhỏ hơn hoặc bằng Ngày tải lên đến.
Lỗi: ""Khoảng ngày không hợp lệ.""","Mục đích và ngữ cảnh: Mốc đầu của khoảng ngày tải lên; là trục thời gian tự nhiên nhất khi tìm một chứng từ đã nộp.
Thành phần hiển thị: Nhãn Ngày tải lên từ; ô chọn ngày hiện mẫu YYYY-MM-DD; dòng nhắc ghi field số 1 với ràng buộc nhỏ hơn hoặc bằng đến ngày.
Chức năng và logic: Lọc theo ngày tải lên chứ không theo ngày nghiệp vụ; vì chứng từ có thể nộp muộn hơn ngày phát sinh.","on_click",,"lot_attachment","created_at","Cột thời điểm tải lên đã tồn tại thật trên bảng đính kèm.","Chỉ nhập từ ngày mà bỏ trống đến ngày thì hiểu là mở đến hôm nay hay báo lỗi?
Khoảng ngày có bị giới hạn độ dài tối đa để giữ ngưỡng thời gian phản hồi không?"
"4.2","img-015","Ô Ngày tải lên đến","アップロード日 終了","Upload date to","date_picker","ô chọn ngày kèm nhãn và dòng nhắc",,"date","false","YYYY-MM-DD",,,,"Điều kiện: phải lớn hơn hoặc bằng Ngày tải lên từ.
Lỗi: ""Khoảng ngày không hợp lệ.""","Mục đích và ngữ cảnh: Mốc cuối của khoảng ngày tải lên.
Thành phần hiển thị: Nhãn Ngày tải lên đến; ô chọn ngày hiện mẫu YYYY-MM-DD; dòng nhắc ghi field số 2 với ràng buộc lớn hơn hoặc bằng từ ngày.
Chức năng và logic: Khoảng ngày bao gồm cả hai đầu mút.","on_click",,"lot_attachment","created_at","Cùng cột với ô từ ngày; cột đã tồn tại thật.","Để trống đến ngày mà có từ ngày thì mặc định lấy tới đâu?"
"4.3","img-016","Ô chọn Loại tài liệu","書類種別","Document type filter","dropdown","ô chọn một giá trị kèm nhãn và dòng nhắc",,"string","false",,,,"Tất cả",,"Mục đích và ngữ cảnh: Field quan trọng nhất của màn: phân loại tài liệu là điều kiện để thi hành được policy lưu trữ.
Thành phần hiển thị: Nhãn Loại tài liệu; ô chọn hiện Tất cả kèm mũi chỉ xuống; dòng nhắc ghi field số 3 với tập giá trị lấy từ cột thứ nhất của bảng policy; do người đặt; và nói rõ không phán định tự động theo DR-IMAGE-01.
Chức năng và logic: Tập giá trị lấy từ bảng policy ở khối trên. Giá trị do người đặt và người xác nhận; không có đường suy tự động từ nội dung file.","on_click",,,,"CHƯA TỒN TẠI: bảng đính kèm đã có thật nhưng không có cột phân loại tài liệu nào; nên hiện không phân biệt được nhóm bảy năm với nhóm ba năm.","Tập giá trị loại tài liệu gồm những giá trị nào; yêu cầu khách chia ba nhóm nhưng không cho tập giá trị dữ liệu?
Ai được đặt và đổi loại tài liệu của một file đã tải lên?
Đổi loại tài liệu có làm đổi nhóm lưu trữ và hạn online của file đó không?
Định dạng giá trị gửi lên là chuỗi tiếng Việt hiển thị hay một mã cố định; ảnh chỉ cho thấy dòng Tất cả."
"4.4","img-017","Ô chọn Nhóm lưu trữ","保管グループ","Retention group filter","dropdown","ô chọn một giá trị dẫn xuất kèm nhãn và dòng nhắc",,"string","false",,,,"Tất cả",,"Mục đích và ngữ cảnh: Cho người dùng lọc thẳng theo nhóm bảy năm hay ba năm mà không phải nhớ loại tài liệu nào thuộc nhóm nào.
Thành phần hiển thị: Nhãn Nhóm lưu trữ; ô chọn hiện Tất cả kèm hai giá trị bảy năm và ba năm; dòng nhắc ghi field số 4 là dẫn xuất từ field số 3 theo bảng policy và nói rõ không nhập tay để hai giá trị không lệch nhau.
Chức năng và logic: Là giá trị dẫn xuất; không có ô nhập riêng ở phía ghi. Đây là cách chặn rủi ro hai nguồn chân lý giữa loại tài liệu và nhóm lưu trữ.","on_click",,,,"CHƯA TỒN TẠI: bảng đính kèm đã có thật nhưng không có cột phân loại tài liệu nào; nên hiện không phân biệt được nhóm bảy năm với nhóm ba năm. Nhóm lưu trữ là giá trị dẫn xuất từ loại tài liệu nên cũng chưa có nguồn.","Nhóm lưu trữ có bao giờ khác kết quả suy từ loại tài liệu không; nếu có thì lấy giá trị nào?
Định dạng nhãn hai nhóm là bảy năm và ba năm; hay dùng mã nội bộ; ảnh cho thấy nhãn tiếng Việt."
"4.5","img-018","Ô chọn Lô hàng","ロット","Lot filter","dropdown","ô chọn một giá trị kèm nhãn và dòng nhắc",,"string","false","LOT-NNNN theo mẫu hiển thị LOT-0001",,,,"Điều kiện: mã lô không tồn tại thì trả danh sách rỗng.
Lỗi: không trả lỗi 4xx cho mã lô lạ.","Mục đích và ngữ cảnh: Đường tra khi người dùng đã biết chứng từ mình cần thuộc lô hàng nào.
Thành phần hiển thị: Nhãn Lô hàng; ô chọn hiện mẫu LOT-0001 kèm mũi chỉ xuống; dòng nhắc ghi field số 5 và nói rõ mã không tồn tại thì trả danh sách rỗng.
Chức năng và logic: Mã lô lạ trả rỗng chứ không báo lỗi; cùng nguyên tắc với các ô tra mã khác của hệ.","on_click",,"lot_attachment","lot_id","Cột khoá ngoại tới lô hàng đã tồn tại thật. Sắc thái: mọi chứng từ hiện đều buộc phải gắn một lô hàng; nên chứng từ không thuộc lô nào thì chưa có chỗ lưu.","Chứng từ không gắn lô hàng nào — ví dụ bảng đối chiếu ngày — thì màn này quản thế nào?
Danh sách chọn lô hàng lấy toàn bộ lô hay chỉ lô có chứng từ?"
"4.6","img-019","Ô chọn Người tải lên","アップロード者","Uploader filter","dropdown","ô chọn một giá trị kèm nhãn và dòng nhắc",,"string","false",,,,,,"Mục đích và ngữ cảnh: Tiêu chí phụ; dùng khi cần truy lại ai đã nộp một chứng từ.
Thành phần hiển thị: Nhãn Người tải lên; ô chọn hiện Chọn kèm mũi chỉ xuống; dòng nhắc ghi field số 6 với ràng buộc hiện tên hiển thị và không hiện thư điện tử theo mục bảo vệ thông tin cá nhân; và rỗng thì hiện chữ không rõ chứ không ẩn dòng.
Chức năng và logic: Không hiện thư điện tử là ràng buộc bảo mật áp cho toàn màn. Người tải lên rỗng vẫn hiện dòng vì file vẫn là bằng chứng.","on_click",,"lot_attachment","uploaded_by","Cột đã tồn tại thật và trỏ tới bảng người dùng nội bộ; chỉ lấy tên hiển thị. Cột cho phép rỗng nên phía đọc phải chịu được ca rỗng.","Danh sách chọn có bao gồm tài khoản đã bị vô hiệu không?
Định dạng nhãn hiển thị một người tải lên là gì; ảnh chỉ cho thấy dòng mặc định."
"4.7","img-020","Nút Tra cứu","照会","Search button","button","nút hành động chính cuối khối","text_only",,,,,,,,"Mục đích và ngữ cảnh: Kích hoạt tra cứu; là hành động duy nhất làm đổi nội dung khối danh sách.
Thành phần hiển thị: Nút chữ Tra cứu ở đầu hàng nút cuối khối bộ lọc.
Chức năng và logic: Không đổi dữ liệu; chỉ đọc. Trong lúc tra cứu thì khối danh sách vào trạng thái đang tải.","on_click","Nạp lại khối danh sách theo các điều kiện đang đặt; ở lại cùng màn.",,,,"Bấm Tra cứu khi chưa đặt điều kiện nào thì trả toàn bộ hay yêu cầu tối thiểu một điều kiện?
Điều kiện tra cứu có được giữ lại trên đường dẫn để chia sẻ lại kết quả không; nếu có thì có rủi ro gì với dữ liệu nhạy?"
"4.8","img-021","Nút Xoá điều kiện","条件クリア","Clear filter button","button","nút phụ cuối khối","text_only",,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng bắt đầu lại một câu hỏi mới mà không phải sửa từng ô.
Thành phần hiển thị: Nút chữ Xoá điều kiện cạnh nút Tra cứu; kiểu nút phụ.
Chức năng và logic: Đặt các ô ngày về rỗng và các ô chọn về giá trị Tất cả.","on_click","Trả mọi điều kiện về giá trị mặc định.",,,,"Xoá điều kiện có tự tra cứu lại ngay hay chỉ xoá rồi chờ người dùng bấm Tra cứu?"
"4.9","img-022","Nút Chỉ hiện quá hạn online mà chưa chuyển tầng nguội","オンライン期限切れのみ表示","Overdue-only filter button","button","nút lọc nhanh cuối khối","text_only",,,,,,,,"Mục đích và ngữ cảnh: Đường vào công việc thật của policy lưu trữ: gom đúng những file đang vi phạm hạn online.
Thành phần hiển thị: Nút chữ Chỉ hiện quá hạn online mà chưa chuyển cold ở cuối hàng nút; kiểu nút phụ.
Chức năng và logic: Là một bộ lọc dựng sẵn chứ không phải một hành động ghi. Không hiện được nhóm này thì policy lưu trữ chỉ là chữ trên giấy.","on_click","Đặt bộ lọc về đúng nhóm file đã quá hạn online mà chưa được đánh dấu chuyển tầng nguội.",,,"CHƯA TỒN TẠI: không có cột tầng lưu trữ và không có mốc chuyển tầng nào trên bảng đính kèm đã có. Điều kiện lọc này cần cả hạn online dẫn xuất và tầng lưu trữ; nên hiện chưa có nguồn.","Nút này là bộ lọc bật tắt hay một chế độ xem riêng?
Bật nút này có bỏ qua các điều kiện đang đặt hay cộng thêm vào chúng?"
"5","img-023","Khối danh sách file đính kèm",,"Attachment list block","others","khối bảng mười cột kèm ghi chú",,,,,,,,,"Mục đích và ngữ cảnh: Nơi trả lời câu hỏi của người đối chiếu; khối chạm dữ liệu nhạy nên chỉ vẽ khung và nhãn.
Thành phần hiển thị: Tiêu đề khối nêu phạm vi field số 7 tới số 13 và nói rõ chỉ vẽ khung và nhãn; bảng mười cột với ba hàng mẫu ở ba trạng thái vòng đời khác nhau; một đoạn ghi chú.
Chức năng và logic: Danh sách chỉ đọc với ba hành động theo hàng tuỳ trạng thái. Phải phân trang từ đầu vì số file tăng theo số lô nhân số chứng từ mỗi lô.",,,,,,
"5.1","img-024","Bảng danh sách file","添付ファイル一覧","Attachment list table","table","bảng mười cột chỉ đọc",,,,,,,,,"Mục đích và ngữ cảnh: Trình bày từng file trên một hàng; đủ để người đối chiếu biết trước file mở được ngay hay phải chờ phục hồi.
Thành phần hiển thị: Mười cột: tên file · loại tài liệu · nhóm lưu trữ · loại MIME · dung lượng · ngày tải lên · hết hạn lưu online · tầng lưu trữ · thời gian truy xuất · ô hành động; ba hàng mẫu chỉ chứa nhãn dạng.
Chức năng và logic: Bảng cố ý KHÔNG có cột nào cho đường dẫn lưu trữ của file. Cột hết hạn lưu online là giá trị dẫn xuất từ ngày tải lên cộng hạn của nhóm lưu trữ.",,,"lot_attachment","file_name; mime_type; file_size; created_at; lot_id; uploaded_by","Sáu cột này đã tồn tại thật trên bảng đính kèm; dung lượng có ràng buộc lớn hơn 0. Bảng cũng có một cột đường dẫn lưu trữ; nhưng cột đó CỐ Ý không ánh xạ ra bất kỳ cột giao diện nào và không ra bất kỳ bản xuất nào. Bốn cột loại tài liệu · nhóm lưu trữ · hết hạn online · tầng lưu trữ thì CHƯA TỒN TẠI.","Bảng phân trang bao nhiêu dòng một trang và có trần kết quả không?
Có cho đổi cách sắp xếp theo cột không; nếu có thì cột nào?
Định dạng hiển thị dung lượng là byte thuần hay quy đổi sang đơn vị đọc được?"
