No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối tiêu đề màn hình",,"Screen header block","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: dải đầu trang định vị người dùng và khai chuỗi truy vết của màn
Thành phần hiển thị: tiêu đề màn; một dòng meta liệt kê mã FE / FN / yêu cầu khách / ràng buộc phạm vi / actor; và hai thẻ ghi chú
Chức năng và logic: chỉ hiển thị — không có tương tác nào trong khối này",,,,,,
"1.1","img-002","Tiêu đề màn hình",,"Screen title","label","page_title",,,,,,,,,"Mục đích và ngữ cảnh: tên màn đặt ngay đầu trang
Thành phần hiển thị: một dòng chữ đậm ""SC-13 · Nhập kết quả せり""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu",,"Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: chuỗi truy vết của màn — khai cả bốn yêu cầu kế thừa từ tầng nghiệp vụ vì chúng viết trung tính về kênh
Thành phần hiển thị: mã FE-018 và nhóm FN-05; ưu tiên P0; hai yêu cầu FR-SERI; ràng buộc phạm vi SCOPE-OUT-02; bốn yêu cầu kế thừa; và actor kèm vai ROLE-TRADE
Chức năng và logic: văn bản tĩnh — dòng này là căn cứ để màn せり áp cùng hai cửa kiểm với màn 相対取引",,,,,,"- Dòng meta này là chú thích của wireframe hay nội dung sẽ có trên màn thật? Thiết kế không khai.
- TBL-ROLE-01 (RFP:245) giao ROLE-TRADE cả việc ""ghi nhận kết quả đấu giá"" — có cần tách một vai người điều hành đấu giá riêng không? Thiết kế dùng chung một vai."
"1.3","img-004","Thẻ trạng thái thi công",,"Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn này đã có bản thi công để đối chiếu
Thành phần hiển thị: một thẻ chữ nhỏ viền bo với chữ ""Đã dựng""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"1.4","img-005","Thẻ ghi chú ranh giới số hóa",,"Digitisation boundary tag","label","scope_tag",,,,,,,,,"Mục đích và ngữ cảnh: nhắc ranh giới phạm vi ngay ở đầu màn — chỉ nhập tay và không nhận dạng tự động
Thành phần hiển thị: một thẻ chữ nhỏ với chữ ""Chỉ nhập tay · không nhận dạng""
Chức năng và logic: nhãn tĩnh — bám SCOPE-OUT-02 (RFP:405) và FR-SERI-01 (RFP:653)",,,,,,
"2","img-006","Khối form nhập tay kết quả cuối cùng",,"Final result manual input section","others","form_section",,,,,,,,,"Mục đích và ngữ cảnh: toàn bộ phần nhập tay của màn — năm trường mà FR-SERI-02 (RFP:654) đòi lưu cho một kết quả せり cộng trường lô hàng
Thành phần hiển thị: tiêu đề khối; sáu trường xếp hai cột mỗi trường kèm một dòng chú thích quy tắc; và một nút lưu
Chức năng và logic: người vận hành nhập kết quả đã chốt tại sàn; FR-SERI-01 (RFP:653) chỉ cho ghi nhận kết quả CUỐI CÙNG do người nhập — không có đường nhận dạng tự động nào",,,"seri_result",,"Ghi vào thực thể kết quả đấu giá của miền D-TRADE (RFP:604) — thực thể riêng khác với thực thể giao dịch 相対取引.",
"2.1","img-007","Tiêu đề khối form nhập tay",,"Manual input section title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: nói rõ khối này chứa đúng năm trường mà yêu cầu khách đòi và chỉ nhận nhập tay
Thành phần hiển thị: một dòng tiêu đề ""Form nhập tay kết quả cuối cùng — năm trường FR-SERI-02 đòi""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"2.2","img-008","Trường Lô hàng","ロット","Lot selector","dropdown","select_single",,"string","true","LOT-<NNNN> — <tên mặt hàng>",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: option chỉ gồm lô đang ở chặng bán được của FIG-011 (RFP:616).
Điều kiện: một lô có ĐÚNG MỘT kết quả せり cuối cùng — FR-SERI-01 (RFP:653) chỉ cho ghi nhận kết quả cuối cùng nên tính duy nhất phải là ràng buộc dữ liệu chứ không phải một lần đọc trước khi ghi.
Lỗi: ""Lô LOT-0003 đã có kết quả せり; hãy chỉnh sửa bản ghi hiện có thay vì tạo mới."" — chỉ đường sang SC-14.","Mục đích và ngữ cảnh: chọn lô hàng vừa đấu giá xong — lô là cái định danh bản ghi kết quả
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một select hiện mã lô và tên mặt hàng; và một dòng chú thích về tính duy nhất theo lô
Chức năng và logic: hai người nhập cùng một lô cùng lúc thì đúng một người ghi được; tính duy nhất theo lô là ràng buộc dữ liệu chứ không phải quy tắc ở tầng ứng dụng","on_click",,"seri_result","lot_id","Khoá ngoại tới thực thể lô hàng của miền D-LOT (RFP:603). Thiết kế đòi tính duy nhất theo lô là ràng buộc dữ liệu — ràng buộc này CHƯA TỒN TẠI trên thực thể hiện có.","- Danh sách lô có lọc theo chặng bán được của FIG-011 giống SC-11 không? Thiết kế nói có nhưng cần xác nhận vì hai màn dùng hai tiêu chí khác nhau ở bản thi công.
- Option có cần hiện số lượng khả dụng còn lại để người nhập tự cân số lượng không? Thiết kế không khai.
- Lô đã có kết quả せり thì bị loại khỏi danh sách hay vẫn hiện kèm cảnh báo? Thiết kế chỉ nói chặn tạo mới."
"2.3","img-009","Trường Người thắng","落札者","Winner selector","dropdown","select_single",,"string","true","<tên người tham gia>",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: người thắng phải có 許可 hoặc 承認 CÒN HIỆU LỰC tại thời điểm chốt kết quả — BR-PERM-01 (RFP:595) và FR-PARTY-02 (RFP:630) viết ở tầng quy tắc nghiệp vụ và không giới hạn kênh.
Lỗi: ""Người tham gia B đã mất hiệu lực từ <ngày>; không thể ghi kết quả せり."" — không ghi bản ghi.","Mục đích và ngữ cảnh: người thắng phiên đấu giá — một trong năm trường FR-SERI-02 (RFP:654) đòi lưu
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một select hiện tên người tham gia; và một dòng chú thích nói rõ vì sao cửa hiệu lực áp cho cả kênh せり
Chức năng và logic: ghi kết quả せり đúng là một lần chốt giao dịch nên cửa hiệu lực 許可/承認 áp y như ở SC-11; lý do từ chối phải nêu tên người tham gia và ngày mất hiệu lực","on_click",,"seri_result","winner_participant_id","Khoá ngoại tới thực thể người tham gia của miền D-PARTY (RFP:602). Thiết kế đòi cửa hiệu lực tại thời điểm chốt kết quả — cửa này CHƯA CÓ trên nhánh せり của bản thi công.","- Danh sách có lọc theo phân loại người tham gia nào không? FR-PARTY-01 (RFP:629) đòi bốn phân loại không được gộp nhưng thiết kế màn này không nói phân loại nào được thắng đấu giá.
- Người tham gia mất hiệu lực có bị loại khỏi danh sách hay vẫn hiện rồi bị từ chối ở bước lưu? Thiết kế đặt cửa ở thời điểm chốt kết quả.
- Danh sách dài thì select có tìm theo tên không? Thiết kế không khai."
"2.4","img-010","Trường Số lượng","数量","Quantity input","text_form","number_input",,"number","true","<số> với dấu phẩy thập phân — ảnh cho thấy 2 chữ số lẻ",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: không vượt số lượng khả dụng của lô và không làm số đó âm — FR-LOT-03 (RFP:634) đòi kiểm trước khi cho phép giao dịch; BR-LOT-02 (RFP:596) đòi truy vết được.
Lỗi: ""LOT-0003 chỉ còn <số> khả dụng; kết quả せり cần <số>."" — không ghi bản ghi.","Mục đích và ngữ cảnh: số lượng của kết quả đấu giá — một trong năm trường FR-SERI-02 đòi lưu
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một ô nhập số; và một dòng chú thích nói rõ tồn của lô là tồn dùng chung cho cả hai kênh bán
Chức năng và logic: tồn của lô dùng chung nên số lượng ghi ở kênh せり phải trừ vào cùng một số khả dụng mà kênh 相対取引 đang dùng — nếu không thì một lô bán được hai lần",,,"seri_result","qty","Số lượng của kết quả đấu giá trong D-TRADE. Thiết kế đòi trừ vào số lượng khả dụng của thực thể lô hàng (D-LOT) — đường trừ này CHƯA CÓ trên nhánh せり.","- Đơn vị đo có hiện cạnh ô nhập không? Thiết kế không khai.
- Số chữ số thập phân tối đa là bao nhiêu? Ảnh cho thấy hai chữ số nhưng thiết kế không khai ngưỡng.
- Một lô có thể đấu giá một phần rồi bán phần còn lại qua 相対取引 không? Thiết kế nói tồn dùng chung nhưng không khai có được chia lô theo kênh hay không."
"2.5","img-011","Trường Đơn giá","単価 (JPY)","Unit price input","text_form","number_input",,"integer","true","<số nguyên JPY> — không có phần thập phân",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: JPY không có phần thập phân nên chỉ nhận số nguyên.
Điều kiện: là giá thắng CUỐI CÙNG của phiên — màn không tính hay suy ra giá.","Mục đích và ngữ cảnh: giá thắng cuối cùng của phiên đấu giá — một trong năm trường FR-SERI-02 đòi lưu
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một ô nhập số nguyên; và một dòng chú thích nói rõ đây là giá thắng cuối cùng
Chức năng và logic: chỉ nhận số nguyên JPY; giá hình thành ở sàn đấu giá chứ không do hệ thống suy ra",,,"seri_result","unit_price","Đơn giá của kết quả đấu giá trong D-TRADE. Đơn vị JPY và không có phần thập phân là ràng buộc dữ liệu.","- Ô nhập có tự định dạng nhóm nghìn khi gõ như giá trị 2 400 trong ảnh hay chỉ nhận số trần?
- Có ngưỡng trên nào cho đơn giá cần cảnh báo nhập sai không? Thiết kế không khai."
"2.6","img-012","Trường Thời điểm quyết định","決定時刻","Decided at input","date_picker","datetime_input",,"date","true","YYYY-MM-DD hh:mm",,,,"Điều kiện: bắt buộc — nhãn có dấu sao đỏ.
Điều kiện: KHÔNG nhận thời điểm tương lai.
Lỗi: ""Thời điểm quyết định không được ở tương lai.""
Điều kiện: có thể sớm hơn lúc nhập liệu vì phiên đấu giá chạy trước khi người vận hành nhập.","Mục đích và ngữ cảnh: thời điểm phiên đấu giá chốt tại sàn — một trong năm trường FR-SERI-02 đòi lưu và là nửa của cặp người xác nhận cộng thời điểm
Thành phần hiển thị: nhãn kèm dấu sao bắt buộc; một ô nhập ngày kèm giờ phút; và một dòng chú thích nói rõ giá trị có thể sớm hơn lúc nhập liệu
Chức năng và logic: do người vận hành nhập chứ không lấy đồng hồ hệ thống; thời điểm tương lai bị chặn vì một phiên chưa diễn ra thì không có kết quả cuối cùng","on_click",,"seri_result","decided_at","Thời điểm quyết định của kết quả đấu giá trong D-TRADE — mốc mà cửa hiệu lực 許可/承認 của BR-PERM-01 nên được đánh giá theo.","- Thời điểm quyết định nhập theo múi giờ nào? BR-INC-01 (RFP:598) dùng JST cho ngày nghiệp vụ nhưng thiết kế không khai múi giờ của trường này.
- Có giới hạn nhập bù về quá khứ không? Thiết kế chỉ chặn tương lai.
- Thời điểm quyết định có phải nằm trong khung giờ dịch vụ 02:00–10:00 JST của FIG-020 (RFP:819) không? Thiết kế không đòi."
