No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối đầu màn đối chiếu và lock kỳ",,"Screen header block","others","khối tiêu đề màn",,,,,,,,,"Mục đích và ngữ cảnh: Định danh màn và chuỗi truy vết của nó về tính năng và yêu cầu khách hàng; người đọc biết ngay màn này thuộc nhóm đối chiếu và chốt kỳ.
Thành phần hiển thị: Tiêu đề cấp hai kèm mã màn; bên dưới là dòng metadata liệt kê FE-024 · FE-025 · FE-026 · FN-07 · FN-06 · ưu tiên P0 · P1 · các mã yêu cầu · miền dữ liệu · sơ đồ FIG-013 · báo cáo RPT-05 và một thẻ trạng thái dựng.
Chức năng và logic: Chỉ trình bày; không nhận thao tác và không gọi dữ liệu.",,,,,,"Dòng metadata truy vết này có phải hiện trên bản chạy thật cho người vận hành hay chỉ dùng trong tài liệu thiết kế?"
"1.1","img-002","Tiêu đề màn","業務日照合と締め","Screen title","label","tiêu đề cấp hai",,,,,,,,,"Mục đích và ngữ cảnh: Cho người dùng biết đang ở màn lập bảng đối chiếu ngày và lock kỳ của bộ phận đối chiếu.
Thành phần hiển thị: Một dòng chữ đậm cỡ lớn nhất trên màn: mã màn SC-18 và tên màn cách nhau bằng dấu chấm giữa.
Chức năng và logic: Tĩnh; không thay đổi theo ngày nghiệp vụ đang chọn hay theo trạng thái lock.",,,,,,
"1.2","img-003","Dòng metadata truy vết",,"Traceability metadata line","label","đoạn văn nhiều dòng",,,,,,,,,"Mục đích và ngữ cảnh: Nối màn về đúng tính năng và điều khoản yêu cầu mà nó phải thoả; là chỗ kiểm tra phạm vi khi nghiệm thu.
Thành phần hiển thị: Ba dòng chữ nhỏ: dòng tính năng và ưu tiên; dòng mã yêu cầu khách hàng cùng miền dữ liệu và sơ đồ; dòng tham chiếu phụ gồm mã thi công · route · actor và thẻ trạng thái.
Chức năng và logic: Tĩnh; không có liên kết điều hướng.",,,,,,
"1.2.1","img-004","Thẻ trạng thái dựng màn",,"Build status tag","label","thẻ nhỏ trong dòng",,,,,,,,,"Mục đích và ngữ cảnh: Cho biết màn này đã có bản thi công để đối chiếu; ảnh hưởng tới cách đọc khối đối chiếu prototype ở cuối màn.
Thành phần hiển thị: Thẻ chữ nhỏ viền tròn nằm cuối dòng tham chiếu phụ với nội dung Đã dựng.
Chức năng và logic: Tĩnh; giá trị đến từ trạng thái quản lý tài liệu chứ không từ dữ liệu nghiệp vụ.",,,,,,
"2","img-005","Khối 1 — chọn ngày nghiệp vụ và trạng thái kỳ",,"Business date and period status block","others","khối form bốn ô ngang",,,,,,,,,"Mục đích và ngữ cảnh: Đặt ngữ cảnh cho cả màn: mọi số liệu bên dưới thuộc đúng một ngày nghiệp vụ và trạng thái lock của ngày đó quyết định màn ở chế độ ghi hay chỉ đọc.
Thành phần hiển thị: Một hàng bốn ô: ngày nghiệp vụ có thể nhập; ba ô chỉ đọc là trạng thái kỳ · thời điểm lock · người lock.
Chức năng và logic: Đổi ngày nghiệp vụ thì tải lại bảng đối chiếu và trạng thái lock của ngày mới; ba ô chỉ đọc luôn phản ánh đúng ngày đang chọn.",,,"business_day_lock","business_date; locked_at; locked_by","Miền dữ liệu D-SETTLE. Bảng thi công có thật và khớp thiết kế: sự tồn tại của một dòng theo business_date chính là trạng thái đã lock.","Khi ngày nghiệp vụ đổi mà bảng đang tải thì ba ô chỉ đọc giữ giá trị cũ hay xoá trắng?"
"2.1","img-006","Ô nhập Ngày nghiệp vụ","業務日","Business date","date_picker","ô chọn ngày một dòng",,"date","true","YYYY-MM-DD",,,,"Điều kiện: đúng định dạng YYYY-MM-DD và là một ngày thật.
Điều kiện: ngày nghiệp vụ neo theo JST và không nhận ngày tương lai.
Lỗi: phải báo lỗi rõ ràng ngay tại ô nhập; tuyệt đối không âm thầm đổi sang ngày hôm nay.","Mục đích và ngữ cảnh: Chọn ngày nghiệp vụ cần đối chiếu và chốt; đây là tham số duy nhất quyết định toàn bộ nội dung màn.
Thành phần hiển thị: Nhãn Ngày nghiệp vụ · 業務日 kèm dấu sao bắt buộc; ô nhập một dòng hiện mẫu 2026-09-09; dòng nhắc bên dưới nêu rõ neo JST và không nhận ngày tương lai.
Chức năng và logic: Giá trị đi vào truy vấn tổng hợp ba nguồn của ngày đó và truy vấn trạng thái lock; nhập sai thì dừng lại ở lỗi chứ không tự chuyển ngày.","on_click","Đổi giá trị thì tải lại toàn màn theo ngày nghiệp vụ mới: bảng đối chiếu ở khối 2 và trạng thái kỳ ở khối 1 đều đổi theo.","business_day_lock","business_date","Khoá chính của bảng lock kỳ; cũng là tham số lọc của nguồn bảng đối chiếu ngày.","Mở màn lần đầu thì ngày nghiệp vụ mặc định là ngày hôm nay theo JST hay ngày gần nhất còn chưa lock?
Người dùng gõ tay một ngày quá khứ rất xa thì có chặn theo một biên dưới nào không?
Ngày nghiệp vụ có được đưa lên địa chỉ trang để chia sẻ lại và tải lại đúng ngày không?"
"2.2","img-007","Ô hiển thị Trạng thái kỳ","ロック状態","Period lock status","label","ô chỉ đọc",,,,,,,,,"Mục đích và ngữ cảnh: Nói ngay màn đang ở chế độ nào: chưa lock thì còn đường ghi trực tiếp; đã lock thì chỉ còn đường yêu cầu điều chỉnh.
Thành phần hiển thị: Nhãn Trạng thái kỳ · ロック状態 và một ô chỉ đọc nền xám hiện Chưa lock · 未ロック.
Chức năng và logic: Giá trị dẫn xuất từ việc ngày nghiệp vụ đang chọn có bản ghi lock hay không; quyết định nút lock ở khối 4 có hiện hay không.",,,"business_day_lock","business_date","Trạng thái dẫn xuất: có dòng theo ngày nghiệp vụ thì là đã lock; không có dòng thì là chưa lock. Không phải một cột riêng.","Trạng thái này có hai giá trị hay cần thêm một giá trị trung gian cho lúc đang gửi lệnh lock?"
"2.3","img-008","Ô hiển thị Thời điểm lock","ロック日時","Locked at","label","ô chỉ đọc",,,,"YYYY-MM-DD HH:mm JST",,,,,"Mục đích và ngữ cảnh: Cho biết kỳ được chốt lúc nào; là một trong các thông tin FR-AUDIT-01 đòi truy được cho thao tác lock.
Thành phần hiển thị: Nhãn Thời điểm lock · ロック日時 và ô chỉ đọc; khi chưa lock hiện dấu gạch kèm ghi chú sẽ hiện kèm JST khi đã lock.
Chức năng và logic: Chỉ có giá trị khi ngày đã lock; phải hiện kèm mốc múi giờ JST để không lệch với ngày nghiệp vụ.",,,"business_day_lock","locked_at","Dấu thời gian của lần lock; ngày nghiệp vụ neo JST nên giá trị phải hiện kèm JST.","Khi hiện thời điểm lock có cần hiện thêm giờ theo múi giờ của trình duyệt cho người dùng ở múi giờ khác không?"
"2.4","img-009","Ô hiển thị Người lock","実施者","Locked by","label","ô chỉ đọc",,,,,,,,,"Mục đích và ngữ cảnh: FR-AUDIT-01 đòi truy được chủ thể của thao tác lock nên trường này phải hiện trên màn chứ không chỉ nằm trong log.
Thành phần hiển thị: Nhãn Người lock · 実施者 kèm ô chỉ đọc; dòng nhắc bên dưới dẫn FR-AUDIT-01 làm lý do trường này phải hiện.
Chức năng và logic: Lấy tên hiển thị của tài khoản đã thực hiện lock; không bao giờ hiện email hay mã tài khoản.",,,"business_day_lock","locked_by","Khoá ngoại về tài khoản người dùng nội bộ; chỉ lấy tên hiển thị của tài khoản.","Nếu tài khoản đã lock sau đó bị vô hiệu hoá thì màn hiện tên hiển thị cũ hay hiện thêm nhãn đã vô hiệu?"
"3","img-010","Khối 2 — bảng đối chiếu ngày gom ba nguồn",,"Daily reconciliation table block","others","khối bảng có ghi chú",,,,,,,,,"Mục đích và ngữ cảnh: Đây là hạng mục chính của FE-025: tổng hợp giao dịch · giao hàng · ngoại lệ đủ điều kiện của một ngày nghiệp vụ thành một bảng để đối chiếu trước khi chốt.
Thành phần hiển thị: Tiêu đề khối dẫn FE-025 và FR-SETTLE-01; bên dưới là bảng tám cột có dòng tổng cuối bảng và hai đoạn ghi chú quy tắc.
Chức năng và logic: Bảng chỉ đọc; nội dung phụ thuộc ngày nghiệp vụ đang chọn ở khối 1 và không bị lock chặn vì lock chỉ chặn ghi.",,,"reconciliation_line","business_date; source_type; source_id; participant_id; qty; amount_jpy; variance","Miền dữ liệu D-SETTLE gom từ D-TRADE và D-DELIVERY. Nguồn thi công là một view tính khi gọi. Sắc thái: view hiện chỉ hợp ba nhánh giao dịch thoả thuận · đấu giá · lần giao; thiết kế còn đòi nhánh thứ tư là ngoại lệ giao hàng đã xác nhận.","Bảng có cần phân trang hay sắp xếp theo cột khi một ngày cao điểm có hàng trăm dòng không?"
