No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối tiêu đề màn","画面ヘッダー","Screen header block","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: dải đầu trang định vị người đọc — màn nào; thoả tính năng nào; ai là actor
Thành phần hiển thị: một tiêu đề màn; một dòng meta truy vết yêu cầu; và một thẻ trạng thái thi công
Chức năng và logic: chỉ hiển thị — không có tương tác và không có trường nhập",,,,,,
"1.1","img-002","Tiêu đề màn","画面タイトル","Screen title","label","page_title",,,,,,,,,"Mục đích và ngữ cảnh: tên màn đặt ngay đầu trang
Thành phần hiển thị: một dòng chữ đậm gồm mã màn SC-03 và tên màn tiếng Việt
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu","要件トレース情報","Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: chuỗi truy vết của màn theo Feature List — màn này và SC-04 cùng thoả một FE-003
Thành phần hiển thị: mã FE-003; nhóm FN-01; ưu tiên P0; yêu cầu khách FR-IAM-02; loại màn List; và actor là quản trị hệ thống
Chức năng và logic: văn bản tĩnh — các mã không phải liên kết điều hướng",,,,,,
"1.3","img-004","Thẻ trạng thái thi công",,"Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn này chưa có bản thi công để đối chiếu
Thành phần hiển thị: một thẻ chữ nhỏ viền bo với chữ ""Chưa thi công""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"2","img-005","Khối chú dẫn nền thiết kế và ranh giới tài liệu","設計根拠と文書範囲の注記","Design ground and document scope note","label","scope_note",,,,,,,,,"Mục đích và ngữ cảnh: nói rõ màn vẽ theo nền thiết kế; và nói rõ những gì cố ý KHÔNG vẽ vì đây là tài liệu công khai
Thành phần hiển thị: một khối chú dẫn nền vàng gồm mã FR-IAM-02; nội dung yêu cầu; câu khẳng định yêu cầu còn hiệu lực; và ba thứ không vẽ
Chức năng và logic: ba thứ không vẽ: cấu hình khoá; bí mật của tài khoản; dữ liệu định danh thật — dữ liệu trên bảng mẫu là giá trị minh hoạ",,,,,,"- Dữ liệu định danh trên bảng mẫu là giá trị minh hoạ — màn thật hiện định danh đầy đủ hay che một phần? Đây là thông tin cá nhân theo RFP §09-06 (RFP:886) nên cách hiển thị phải chốt."
"3","img-006","Khối vòng đời quyền tài khoản","アカウント権限ライフサイクル","Account permission lifecycle block","others","lifecycle_section",,,,,,,,,"Mục đích và ngữ cảnh: khai đúng ba chuyển tiếp mà FR-IAM-02 (RFP:628) đòi: cấp; tạm ngừng; mở lại quyền tài khoản
Thành phần hiển thị: một nhãn khối; một bảng bốn cột với ba hàng chuyển tiếp; và một dòng ghi chú tách khoá tạm ra khỏi vòng đời
Chức năng và logic: ba chuyển tiếp này là hợp đồng trạng thái của quyền tài khoản; đổi vai trò KHÔNG nằm ở màn này vì cần trang before/after nên thuộc SC-04",,,"app_user","is_active","Cột trạng thái quyền của thực thể tài khoản nội bộ trong miền D-PARTY (RFP:602); đã tồn tại thật. Trạng thái quyền chỉ có hai giá trị nên ba chuyển tiếp chạy trên cùng một cột.",
"3.1","img-007","Tiêu đề khối vòng đời quyền tài khoản",,"Lifecycle block title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: nhãn khối kèm số lượng chuyển tiếp mà yêu cầu khách đòi
Thành phần hiển thị: một dòng chữ in hoa nhỏ gồm số thứ tự khối; tên khối và cụm ""ba chuyển tiếp FR-IAM-02 đòi""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"3.2","img-008","Bảng ba chuyển tiếp vòng đời quyền","権限遷移表","Permission transition table","table","transition_table",,,,,,,,,"Mục đích và ngữ cảnh: ba chuyển tiếp của quyền tài khoản; kèm trạng thái nguồn; trạng thái đích; và những gì bắt buộc phải kèm mỗi lần chuyển
Thành phần hiển thị: một bảng bốn cột với hàng tiêu đề ""Chuyển tiếp""; ""Từ""; ""Sang""; ""Bắt buộc kèm""; và ba hàng: Cấp quyền; Tạm ngừng; Mở lại
Chức năng và logic: cột ""Bắt buộc kèm"" là chỗ nghiệm thu FR-IAM-02 (RFP:628) rơi vào: mỗi chuyển tiếp phải có chủ thể và thời điểm; hàng cấp quyền thêm vai trò",,,"app_user","is_active; role","Hai cột trạng thái quyền và vai trò của thực thể tài khoản nội bộ trong D-PARTY (RFP:602); đã tồn tại thật. Bảng lưu lịch sử ba chuyển tiếp này thì CHƯA tồn tại — đề xuất ở SC-04.","- Cột ""Bắt buộc kèm"" liệt lý do cho cả ba chuyển tiếp; nhưng FR-IAM-02 (RFP:628) chỉ đòi before/after; chủ thể và timestamp — KHÔNG đòi lý do. Lý do ở đây suy từ FR-AUDIT-01 (RFP:710). Chủ đầu tư có đòi lý do bắt buộc không; hay đây là mức chặt hơn RFP?
- Có chuyển tiếp nào đưa tài khoản ra khỏi hệ thống hoàn toàn không — thu hồi vĩnh viễn? Bảng chỉ có ba chuyển tiếp và không có trạng thái kết thúc.
- Cấp quyền cho một định danh đã từng bị tạm ngừng thì tính là ""Cấp quyền"" mới hay ""Mở lại""? Hai hàng có yêu cầu kèm khác nhau."
"3.2.1","img-009","Dòng chuyển tiếp vòng đời (đại diện)",,"Lifecycle transition row (representative)","others","table_row",,,,,,,,,"Mục đích và ngữ cảnh: một hàng chuyển tiếp — lấy hàng đầu tiên ""Cấp quyền"" làm đại diện cho cả ba hàng có cùng kết cấu
Thành phần hiển thị: bốn ô: tên chuyển tiếp; trạng thái nguồn; trạng thái đích; và danh sách nội dung bắt buộc kèm
Chức năng và logic: lặp ba lần với ba chuyển tiếp khác nhau; kết cấu giống nhau nên gộp về một hàng đại diện",,,,,,
"3.3","img-010","Ghi chú khoá tạm là trục độc lập",,"Lock as independent axis note","label","design_note",,,,,,,,,"Mục đích và ngữ cảnh: chốt hai điều dễ sai nhất: khoá tạm không phải một trạng thái của vòng đời quyền; và đổi vai trò không thuộc màn này
Thành phần hiển thị: một đoạn chú thích ba câu: khoá tạm sinh từ đâu và tự hết ra sao; một tài khoản đang hoạt động vẫn có thể đang bị khoá tạm; và lý do đổi vai trò thuộc SC-04
Chức năng và logic: hai trục phải hiển thị tách nhau và lọc được độc lập; gộp hai trục thành một cột là mất khả năng đọc đúng trạng thái tài khoản",,,,,,"- Tài khoản đã tạm ngừng mà vẫn còn mốc khoá tạm chưa hết thì hiển thị thế nào? Hai trục độc lập nên có thể cùng bật; thiết kế không khai thứ tự ưu tiên khi hiển thị."
