No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"1","img-001","Khối tiêu đề màn hình",,"Screen header block","others","screen_header",,,,,,,,,"Mục đích và ngữ cảnh: dải đầu trang định vị người dùng và khai chuỗi truy vết của màn
Thành phần hiển thị: tiêu đề màn; một dòng meta liệt kê mã FE / FN / yêu cầu khách kèm nghiệm thu / actor; và hai thẻ ghi chú
Chức năng và logic: chỉ hiển thị — không có tương tác nào trong khối này",,,,,,
"1.1","img-002","Tiêu đề màn hình",,"Screen title","label","page_title",,,,,,,,,"Mục đích và ngữ cảnh: tên màn đặt ngay đầu trang
Thành phần hiển thị: một dòng chữ đậm ""SC-14 · Tra cứu bản ghi せり""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"1.2","img-003","Dòng meta truy vết yêu cầu",,"Requirement trace meta line","label","screen_meta",,,,,,,,,"Mục đích và ngữ cảnh: chuỗi truy vết của màn — dẫn nguyên văn FR-SERI-03 (RFP:655) cùng nghiệm thu của nó
Thành phần hiển thị: mã FE-019 và nhóm FN-05; ưu tiên P1; nguyên văn FR-SERI-03 kèm nghiệm thu ""tra cứu lại được before/after và lý do chỉnh sửa""; các yêu cầu kế thừa; và actor gồm hai vai
Chức năng và logic: văn bản tĩnh — nghiệm thu trong dòng này là điều kiện đóng của cả màn",,,,,,"- Dòng meta này là chú thích của wireframe hay nội dung sẽ có trên màn thật? Thiết kế không khai.
- Hai màn con dùng chung một mã SC- — trên sản phẩm thật đây là hai trang riêng hay một trang có hai khung? Ảnh vẽ chung một trang."
"1.3","img-004","Thẻ trạng thái thi công",,"Build status tag","label","status_tag",,,,,,,,,"Mục đích và ngữ cảnh: cho biết màn này đã có bản thi công để đối chiếu
Thành phần hiển thị: một thẻ chữ nhỏ viền bo với chữ ""Đã dựng""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"1.4","img-005","Thẻ ghi chú gộp hai màn con",,"Two sub-screen note tag","label","scope_tag",,,,,,,,,"Mục đích và ngữ cảnh: nhắc rằng một mã SC- ứng hai màn con vì cùng phục vụ FE-019
Thành phần hiển thị: một thẻ chữ nhỏ với chữ ""Một mã SC- ứng hai màn con""
Chức năng và logic: nhãn tĩnh — không tương tác",,,,,,
"2","img-006","Khung 1 — Danh sách kết quả せり",,"Seri result list frame","others","list_frame",,,,,,,,,"Mục đích và ngữ cảnh: tra cứu lại bản ghi せり theo lô hàng; kỳ hoặc người thắng — nửa đầu của FR-SERI-03 (RFP:655)
Thành phần hiển thị: tiêu đề khung; ba tiêu chí tìm kiếm kèm một nhóm nút; một bảng chín cột; và một dòng ghi chú về cột bắt buộc và hiệu năng
Chức năng và logic: tìm rồi đọc danh sách; mỗi dòng có đường sang chi tiết — thao tác sửa nằm ở khung chi tiết",,,"seri_result",,"Đọc thực thể kết quả đấu giá của miền D-TRADE (RFP:604) kèm mã lô (D-LOT) và tên người tham gia (D-PARTY).",
"2.1","img-007","Tiêu đề khung danh sách",,"List frame title","label","section_title",,,,,,,,,"Mục đích và ngữ cảnh: mở đầu khung danh sách
Thành phần hiển thị: một dòng tiêu đề ""Khung 1 — Danh sách kết quả せり""
Chức năng và logic: văn bản tĩnh — không tương tác",,,,,,
"2.2","img-008","Tiêu chí tìm Mã lô hàng","ロット番号","Lot code search input","text_form","text_filter",,"string","false","LOT-<NNNN> hoặc một phần của mã",,,,"Điều kiện: tìm được cả khi nhập MỘT PHẦN mã — thiếu một ký tự không được ra rỗng mà không có lời giải thích.
Lỗi: ""Không có bản ghi nào khớp mã lô đã nhập."" — nêu rõ tiêu chí đang áp thay vì một danh sách rỗng im lặng.","Mục đích và ngữ cảnh: tìm bản ghi theo mã lô — lô là cái định danh bản ghi kết quả せり
Thành phần hiển thị: nhãn tiếng Việt kèm ロット番号; một ô nhập chữ; và một dòng chú thích nói rõ phải khớp được một phần mã
Chức năng và logic: khớp một phần mã chứ không khớp chính xác; khi không có kết quả thì màn phải nói rõ tiêu chí đang áp",,,"seri_result; lot","lot_id; lot_code","Tìm bắc qua khoá ngoại lô của D-TRADE sang mã lô của thực thể lô hàng trong D-LOT.","- Khớp một phần mã có phân biệt hoa thường không? Thiết kế không khai.
- Có cần chặn ký tự đại diện để một ký tự phần trăm không khớp toàn bộ danh sách không? Thiết kế không khai."
"2.3","img-009","Tiêu chí tìm Ngày nghiệp vụ","業務日","Business date search input","date_picker","date_filter",,"date","false","YYYY-MM-DD",,,,"Điều kiện: giá trị phải đúng định dạng ngày.
Lỗi: ""Ngày nghiệp vụ không đúng định dạng."" — báo lỗi nhập tại trường; không được để thành lỗi hệ thống.","Mục đích và ngữ cảnh: tiêu chí của bộ phận đối chiếu — bản ghi thuộc kỳ nào theo FR-SETTLE-01 (RFP:659)
Thành phần hiển thị: nhãn tiếng Việt kèm 業務日; một ô chọn ngày; và một dòng chú thích nói rõ sai định dạng phải báo lỗi nhập
Chức năng và logic: lọc theo ngày nghiệp vụ của bản ghi; vì là tiêu chí lọc nên ngày nghiệp vụ BẮT BUỘC phải có mặt trong cột của bảng kết quả","on_click",,"seri_result","business_date","Lọc theo ngày nghiệp vụ của D-TRADE — cùng khoá mà miền D-SETTLE (RFP:606) dùng để lock kỳ.","- Có cần tìm theo khoảng ngày cho bộ phận đối chiếu không? Thiết kế chỉ đòi một ngày.
- Ngày nghiệp vụ có giá trị mặc định khi vào màn không? Ảnh hiện một ngày cụ thể nhưng thiết kế không khai đó là mặc định."
"2.4","img-010","Tiêu chí tìm Người thắng","落札者","Winner search input","text_form","text_filter",,"string","false","<tên người tham gia>",,,,,"Mục đích và ngữ cảnh: tìm theo người thắng — phục vụ RPT-10 theo người tham gia và RPT-11 theo loại giao dịch
Thành phần hiển thị: nhãn tiếng Việt kèm 落札者; một ô nhập chữ; và một dòng chú thích dẫn hai báo cáo mà tiêu chí này phục vụ
Chức năng và logic: lọc danh sách theo người thắng của bản ghi; là tiêu chí mà báo cáo tháng dựa vào",,,"seri_result; participant","winner_participant_id; name","Tìm bắc qua khoá ngoại người thắng của D-TRADE sang tên của thực thể người tham gia trong D-PARTY (RFP:602).","- Ô tìm khớp chính xác tên hay khớp một phần tên? Thiết kế không khai và hai cách cho hai kết quả khác nhau.
- Có cần chặn ký tự đại diện trong ô này không? Thiết kế không khai.
- Có cần tìm theo mã người tham gia thay vì theo tên để tránh trùng tên không?"
"2.5","img-011","Nhóm nút tìm và nhập mới",,"Search and create action group","others","action_group",,,,,,,,,"Mục đích và ngữ cảnh: gom hai hành động của khung danh sách vào một chỗ cạnh các tiêu chí tìm
Thành phần hiển thị: hai nút xếp cạnh nhau và một dòng chú thích về điều kiện hiện nút nhập mới
Chức năng và logic: nút ""Tìm"" áp ba tiêu chí hiện tại; nút ""Nhập kết quả せり"" chỉ hiện với ROLE-TRADE theo TBL-ROLE-01 (RFP:245)",,,,,,
"2.5.1","img-012","Nút Tìm",,"Search button","button","secondary_action","text_only",,,,,,,,"Mục đích và ngữ cảnh: áp tiêu chí tìm để thu hẹp danh sách
Thành phần hiển thị: một nút phụ nhãn chữ
Chức năng và logic: gửi ba tiêu chí và tải lại bảng; giá trị sai định dạng bị chặn trước khi gửi","on_click","Áp ba tiêu chí tìm hiện tại và tải lại danh sách trên cùng màn. NFR-PERF-01 (RFP:807) đòi tìm kiếm thông thường p95 không vượt 2 giây.",,,,"- Tiêu chí tìm đang áp có được giữ lại khi quay về từ màn chi tiết không? Thiết kế không khai."
"2.5.2","img-013","Nút Nhập kết quả せり",,"Create seri result button","button","primary_action","text_only",,,,,,,"Điều kiện: chỉ hiện với ROLE-TRADE — ROLE-SETTLEMENT sửa được bản ghi đã có nhưng KHÔNG tạo mới được.","Mục đích và ngữ cảnh: đường vào màn nhập kết quả mới cho vai được ghi
Thành phần hiển thị: một nút chính nhãn chữ
Chức năng và logic: điều hướng sang SC-13; ROLE-SETTLEMENT và các vai còn lại không thấy nút này và mục đó đổi thành chỉ dẫn","on_click","Dẫn sang SC-13 để nhập một kết quả せり mới. Chỉ hiện với ROLE-TRADE.",,,,"- Với ROLE-SETTLEMENT thì nút biến mất hoàn toàn hay hiện ở dạng tắt kèm chỉ dẫn? Thiết kế nói đổi thành chỉ dẫn ở màn kề."
"2.6","img-014","Bảng danh sách kết quả せり",,"Seri result list table","table","data_table",,,,,,,,,"Mục đích và ngữ cảnh: danh sách bản ghi せり khớp tiêu chí tìm — nửa tra cứu của FR-SERI-03 (RFP:655)
Thành phần hiển thị: bảng chín cột song ngữ: Lô hàng ロット; Người thắng 落札者; Số lượng 数量; Đơn giá 単価; Thời điểm quyết định 決定時刻; Ngày nghiệp vụ 業務日; Trạng thái 状態; Đã sửa 修正; Thao tác 操作 — hai dòng mẫu
Chức năng và logic: cột Ngày nghiệp vụ bắt buộc có vì nó là tiêu chí lọc; cột Trạng thái gắn thẻ [CHƯA CHỐT] vì cách ánh xạ FIG-012 lên bản ghi せり còn chờ khách chốt; cột Đã sửa là đường vào tự nhiên của FR-SERI-03",,,"seri_result; lot; participant","lot_id; winner_participant_id; qty; unit_price; decided_at; business_date","Đọc thực thể kết quả đấu giá của D-TRADE kèm mã lô của D-LOT và tên người tham gia của D-PARTY. Cột Trạng thái chưa có nguồn dữ liệu vì thực thể hiện có KHÔNG CÓ cột trạng thái nào.","- Cột Đã sửa đếm số lần sửa hay chỉ đánh dấu có hay không? Ảnh hiện số lần nên nghiêng về đếm.
- Bảng sắp theo tiêu chí nào khi không có yêu cầu sắp riêng? Thiết kế không khai.
- Khi một lô có hai bản ghi せり thì màn cảnh báo trùng ở đâu? Thiết kế đòi mỗi lô đúng một kết quả nhưng không khai chỗ hiển thị cảnh báo."
"2.6.1","img-015","Nút Xem chi tiết trên dòng (đại diện)",,"Row detail button (representative)","button","row_action","text_only",,,,,,,,"Mục đích và ngữ cảnh: đường vào chi tiết của một bản ghi — nút này lặp trên mọi dòng nên chỉ đặc tả một lần
Thành phần hiển thị: một nút phụ nhãn chữ ""Xem chi tiết"" trong ô Thao tác của dòng đầu tiên
Chức năng và logic: lặp trên hai dòng của bảng; chỉ khác bản ghi đích nên gộp thành một thành phần đại diện","on_click","Mở khung chi tiết của bản ghi せり trên dòng đó. Có mặt trên mọi dòng và với mọi vai vì tra cứu mở cho các vai đang hoạt động.",,,,"- Chi tiết mở trên cùng trang hay trang riêng? Ảnh vẽ hai khung trên một trang."
"2.7","img-016","Ghi chú cột bắt buộc và hiệu năng",,"Required column and performance note","label","rule_note",,,,,,,,"Điều kiện: lọc theo một trường thì trường đó PHẢI có mặt trong kết quả — người dùng không tự kiểm được nếu thiếu.
Điều kiện: danh sách phải phân trang và KHÔNG được cắt kết quả trong im lặng.
Điều kiện: tìm kiếm thông thường phải đạt p95 không vượt 2 giây — NFR-PERF-01 (RFP:807).","Mục đích và ngữ cảnh: khai ba quy tắc áp thẳng lên bảng danh sách — cột bắt buộc; nhãn chưa chốt của cột trạng thái; và ngưỡng hiệu năng
Thành phần hiển thị: một đoạn ghi chú nêu lý do cột Ngày nghiệp vụ phải có; lý do cột Trạng thái mang nhãn [CHƯA CHỐT]; ý nghĩa cột Đã sửa; và ngưỡng p95
Chức năng và logic: văn bản tĩnh — là điều kiện nghiệm thu cho bảng phía trên",,,,,,"- Khi kết quả vượt một trang thì màn hiện tổng số bản ghi không? Thiết kế chỉ cấm cắt âm thầm."
